"LEV.6.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", "#Nka 5.5-8"
"LEV.6.2", "Sɛ obiara yɛ bɔn, dɛ odzi EWURADZE afomfonsɛm, na odzi akɔhwi wɔ ne nyɛnko adzesiedze ho asɛm mu, anaa ahobadze, anaa afoadze, anaa odzi ne nyɛnko emim;", ""
"LEV.6.3", "anaa oehu dza ɔyewee na odzi akɔhwi wɔ mu, na ɔka ntanhun a, ɔayɛ bɔn wɔ iyinom mu.", ""
"LEV.6.4", "Sɛ ɔba dɛ ɔayɛ bɔn, na odzi so a, ɔmfa adze a ɔfaa no afoadze mu, anaa adze a onyaa no emim mu, anaa adzesiedze a wɔdze hyɛɛ ne nsa, anaa adze a ɔyewee a ohunii,", ""
"LEV.6.5", "anaa adze biara a ɔaka ho ntanhun no no nsan mbra; na ɔmbɛhyɛ ananmu ara pɛ, na ɔmfa ebupɛn enum mu kor so nto do mfa mma nyia adze no yɛ nedze no, wɔ da a woehu no dɛ odzi so no ara mu.", ""
"LEV.6.6", "Na ɔmfa n'asodzii ho afɔr mbrɛ EWURADZE, nguan mu oguannyin a onndzii dzɛm, dɛ mbrɛ ebo a etwa tse, mfa mbrɛ ɔsɔfo no nyɛ asodzi ho afɔr:", ""
"LEV.6.7", "na ɔsɔfo no mpata mma no wɔ EWURADZE enyim, na wɔdze adze biara a ɔayɛ a odzi ho so no bɛkyɛ no.", ""
"LEV.6.8", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.6.9", "Hyɛ Aaron nye ne mbabanyin no dɛ, Iyi nye ɔhyew afɔr ho mbra: ɔhyew afɔr no nko mbukyia no do wɔ afɔrmbukyia no do anadwe araa nkodu anapa; na afɔrmbukyia no do ogya no nsuo mu ndzɛw.", ""
"LEV.6.10", "Na ɔsɔfo no nhyɛ no ndwera atar, na ɔnhyɛ no ndwera ntwontwo nkata noho; na ɔnsesaw nso no a ogya a ɔhyeew ɔhyew afɔr no gyae wɔ afɔrmbukyia no do no, na ɔmfa ngu afɔrmbukyia no nkyɛn.", ""
"LEV.6.11", "Na onyi ne ntar no, na ɔnhyɛ ntar fofor, na ɔmfa nso no mfir edzi nkɔ nseraban no ekyir nkogu beebi mbrɛ ɔtsew.", ""
"LEV.6.12", "Na afɔrmbukyia no do ogya no nda ho ndzɛw wɔ do, mma onndum ara da; na ɔsɔfo no nhyew do nyena anapa daa: na onsiesie ɔhyew afɔr no yie wɔ do, na ɔnhyew asomdwee afɔr no seradze no wɔ do.", ""
"LEV.6.13", "Ogya nkɔ do ndzɛw afɔrmbukyia no do daa; mma onndum ara da.", ""
"LEV.6.14", "Na iyi nye edziban afɔr ho mbra: Aaron ne mbabanyin no mfa mbra EWURADZE enyim, wɔ afɔrmbukyia no enyim.", ""
"LEV.6.15", "Na ɔmfa mu ne nsapuw, edziban afɔr isiam pa no bi, nye no ngo no bi, nye edziban afɔr no do krɔbɔw no nyinara, na ɔnhyew no wɔ afɔrmbukyia no do, nyi nka huanhuam, dɛ ne nkaadze, mma EWURADZE.", ""
"LEV.6.16", "Na ne nkaa no, Aaron nye ne mbabanyin no ndzi: wondzi no epitsi wɔ mbrɛ ɔyɛ krɔnkrɔn; ehyiadzibuw no ne pampamu mu na wondzi.", ""
"LEV.6.17", "Mma wɔmmfa mbɔrkaw nnka ho nnto. Hɔn kyɛfa a medze ama wɔ me gya afɔr mu nye no; ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn, dɛ bɔn ho afɔr, na asodzi ho afɔr no.", ""
"LEV.6.18", "Aaron ne mba mu banyin biara ndzi bi, dɛ EWURADZE ogya afɔr ho daa ahyɛdze, nkodu hom ebusuasantsen do: obiara a ɔka no no nyɛ krɔnkrɔn.", ""
"LEV.6.19", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.6.20", "Iyi nye Aaron nye ne mbabanyin ayɛyɛdze a wɔmfa mbrɛ EWURADZE wɔ da a wɔasera no ngo no mu; isiam pa efa ebupɛn du mu kor nyɛ daa edziban afɔr, anapa dze, fa, na ewimbir dze, fa.", ""
"LEV.6.21", "Wɔmfa ngo nka ho nyɛ no wɔ ɔtosɛn mu; sɛ ɔhon a, fa bra: yɛ no dɛ edziban afɔr a wɔato ebubu mu esinesin bra, ma onyi nka huanhuam mma EWURADZE.", ""
"LEV.6.22", "Na ɔsɔfo no a wɔasera no ngo no a ɔbɛhyɛ n'ananmu wɔ ne mbabanyin mu no mfa mbra: wɔnhyew no mu nyɛ EWURADZE daa mmom.", ""
"LEV.6.23", "Na ɔsɔfo no n'edziban afɔr biara wɔnhyew no mu: mma wonndzi bi.", ""
"LEV.6.24", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.6.25", "Kasa kyerɛ Aaron nye ne mbabanyin no dɛ, Iyi nye bɔn ho afɔr abowa ho mbra: beebi mbrɛ woku ɔhyew abowa afɔr no hɔ ara na wonku bɔn ho afɔr no wɔ EWURADZE enyim: Ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"LEV.6.26", "Ɔsɔfo a ɔbɔ bɔn ho afɔr no ndzi: wondzi no wɔ mbrɛ ɔyɛ krɔnkrɔn wɔ ehyiadzibuw no ne pampamu.", ""
"LEV.6.27", "Biribiara a ɔka ne nam no nyɛ krɔnkrɔn: na sɛ no bɔgyaa petse atar biara do a, hor dza apetse do no wɔ mbrɛ ɔyɛ krɔnkrɔn.", ""
"LEV.6.28", "Mbom dɛtsesɛn a wɔanoa no wɔ mu no wɔmbɔ no: na sɛ wɔnoa no boransɛn mu a, wontwuw mu, na wɔmfa nsu nhohor mu.", ""
"LEV.6.29", "Banyin biara a ofi asɔfo ebusuakuw mu no ndzi bi: ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"LEV.6.30", "Na bɔn ho afɔr biara a wɔdze no bɔgyaa bi ba ehyiadzibuw no mu bɛpata wɔ bea krɔnkrɔn no, mma wonndzi: wɔmfa ogya nhyew no.", ""
