"LEV.7.1", "Na iyi nye asodzi ho afɔr ho mbra: ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"LEV.7.2", "Beebi mbrɛ woku ɔhyew afɔr abowa no, hɔ ara so na wonku asodzi ho afɔr abowa no; na ɔmfa no bɔgyaa mpetse afɔrmbukyia no ho nhyia.", ""
"LEV.7.3", "Na onyi ne seradze nyinara mbra, seradze dua no, nye seradze a ɔkata ayamudze no ho no,", ""
"LEV.7.4", "nye nsɛbɛ ebien no, nye seradze a ɔwɔ ho wɔ sisiw mu no, nye berɛbo do ntentan no, nye nsɛbɛ no, onyi mfi hɔ:", ""
"LEV.7.5", "na ɔsɔfo no nhyew no wɔ afɔrmbukyia do nyɛ ogya afɔr mma EWURADZE: ɔyɛ asodzi ho afɔr.", ""
"LEV.7.6", "Asɔfo ebusuakuw no mu ɔbanyin biara ndzi bi: wondzi no wɔ mbrɛ ɔyɛ krɔnkrɔn: ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"LEV.7.7", "Dɛ mbrɛ bɔn ho afɔr tse no, dɛmara na asodzi ho afɔr tse: mbra kor na ɔda ho: ɔsɔfo no a ɔdze pata no, na ɔnyɛ nedze.", ""
"LEV.7.8", "Na ɔsɔfo a ɔbɔ nyimpa biara ne hyew afɔr no, ɔhyew afɔr a ɔabɔ no no nwoma no nyɛ ɔsɔfo no dze.", ""
"LEV.7.9", "Na edziban afɔr biara a wɔto wɔ fononoo mu, nye dza wɔyɛ no wɔ kyesɛn mu, nye ɔtosɛn mu nyina, nyɛ ɔsɔfo a ɔdze ba no dze.", ""
"LEV.7.10", "Na edziban afɔr biara a wɔdze ngo afrɔw, anaa wesee no, nyɛ Aaron ne mbabanyin nyinara dze, baako nya dɛ mbrɛ baako so nya.", ""
"LEV.7.11", "Na iyi nye asomdwee afɔr a obi bɔ ma EWURADZE no ho mbra.", ""
"LEV.7.12", "Sɛ ɔyɛ no aseda afɔr dze ba a, ɔno, aseda afɔr a ɔdze ba no nyɛ epitsi tatar a wɔdze ngo afrɔw.", ""
"LEV.7.13", "Mbɔrkaw boodoo tatar na ɔmfa nka n’ayɛyɛdze nye n’asomdwee afɔr ho mbra mbɛyɛ aseda.", ""
"LEV.7.14", "Na ɔmfa ayɛyɛdze biara mu kor mbrɛ mbɛyɛ ɔmado afɔr mma EWURADZE; ɔsɔfo a ɔdze asomdwee afɔr bɔgyaa petse no na ɔnyɛ nedze.", ""
"LEV.7.15", "Na n’aseda asomdwee afɔr no nam no wondzi no wɔ n’ayɛyɛdze da no ara; mma onngya mu bi ma onnkodu adzekyee.", ""
"LEV.7.16", "Mbom sɛ n’ayɛyɛdze yɛ anohoba, anaa ayamuyi afɔr a, wondzi no da no ara a ɔbɔ n’afɔr no: na no mu dza ɔka ma adze kye do no wondzi:", ""
"LEV.7.17", "na mbom afɔr no ne nam a ɔbɛka ekodu da a otsia ebiasa no, wɔmfa gya nhyew no.", ""
