"LEV.9.1", "Na ɔbaa dɛ da a otsia awɔtwe no, Moses frɛɛ Aaron nye ne mbabanyin no, na Israel mpanyimfo no;", ""
"LEV.9.2", "na ɔsee Aaron dɛ, Fa nantwiba onyin a wɔdze bɛyɛ bɔn ho afɔr, nye oguannyin a wɔdze bɛyɛ ɔhyew afɔr a wonndzii dzɛm, na fa bra EWURADZE enyim.", ""
"LEV.9.3", "Na kasa kyerɛ Israelmba no dɛ, Hom mfa apɔnkyenyin mbɛyɛ bɔn ho afɔr; na nantwiba nye eguambaa a hɔn beenu nyina woedzi afrenhyia afrenhyia a wonndzii dzɛm, mbɛyɛ ɔhyew afɔr;", ""
"LEV.9.4", "na ɔnantwinyin nye oguannyin mbɛyɛ asomdwee afɔr, mfa mbɔ afɔr wɔ EWURADZE enyim; na edziban afɔr a wɔdze ngo afrɔw: na ndɛ na EWURADZE yi noho kyerɛ hom.", ""
"LEV.9.5", "Na wɔdze dza Moses hyɛe no baa ehyiadzibuw no enyim: na mboanofo no nyinara twee bɛnee begyinaa EWURADZE enyim.", ""
"LEV.9.6", "Na Moses see dɛ, Iyi nye adze a EWURADZE hyɛɛ dɛ hom nyɛ: na EWURADZE enyimnyam nyi noho nkyerɛ hom.", ""
"LEV.9.7", "Na Moses see Aaron dɛ, Twe bɛn afɔrmbukyia no ho, na bɔ wo bɔn ho afɔr, nye wo hyew afɔr, na pata ma woho, nye ɔman no: na fa ɔman no hɔn ayɛyɛdze bra, na pata ma hɔn; dɛ mbrɛ EWURADZE hyɛe no.", "#Heb 7.27"
"LEV.9.8", "Nna Aaron twee bɛɛn afɔrmbukyia no ho, na okum bɔn ho afɔr nantwiba no a ɔyɛ nankasa nedze no.", ""
"LEV.9.9", "Na Aaron ne mbabanyin no dze bɔgya no kɛmaa no; na ɔdze ne nsatseaba bɔɔ bɔgya no mu, na ɔdze kekaa afɔrmbukyia no ne mmbɛn no, na ohuee bɔgya no guu afɔrmbukyia no ase:", ""
"LEV.9.10", "na bɔn ho afɔr no mu seradze no, nye nsɛbɛ no, nye berɛbo do ntentan no, ɔhyeew no wɔ afɔrmbukyia no do; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"LEV.9.11", "Na nam no nye nwoma no dze, ɔdze gya hyeew no wɔ nseraban no ekyir.", ""
"LEV.9.12", "Na okum ɔhyew afɔr no; na Aaron ne mbabanyin no dze bɔgya no kɛmaa no, na ɔdze petsee afɔrmbukyia no do hyiae.", ""
"LEV.9.13", "Na wɔdze ɔhyew afɔr no esinesin, nye tsir no, kɛmaa no: na ɔhyeew no wɔ afɔrmbukyia no do.", ""
"LEV.9.14", "Na ɔhohoor ayamudze nye ntwɛr no ho, na ɔhyeew no wɔ ɔhyew afɔr no do wɔ afɔrmbukyia no do.", ""
"LEV.9.15", "Na ɔdze ɔman no hɔn ayɛyɛdze kɛmae, na ɔfaa bɔn ho afɔr apɔnkye a ɔyɛ ɔman no dze no, na okum no, na ɔyɛɛ no bɔn ho afɔr, dɛ asɔpɔn dze no.", ""
"LEV.9.16", "Na ɔdze edziban afɔr no kɛmae, na ɔyɛɛ no dɛ mbrɛ mbra no tse no ara.", ""
"LEV.9.17", "Na ɔdze edziban afɔr no kɛmae, na ɔfaa mu ne nsapuw, na ɔhyeew no wɔ afɔrmbukyia no do, dze kaa anapa ɔhyew afɔr no ho.", ""
"LEV.9.18", "Na eso okum nantwinyin nye oguannyin no asomdwee afɔr a ɔyɛ ɔman no dze no: na Aaron mbabanyin no dze bɔgya no kɛmaa no, na ɔdze petsee afɔrmbukyia no do hyiae,", "#Lev 3.1-11"
"LEV.9.19", "na ɔnantwinyin nye oguannyin no seradze no; seradze dua no, nye dza ɔkata ayamudze no ho, nye nsɛbɛ no, nye berɛbo do ntentan no:", ""
"LEV.9.20", "na wɔdze seradze no guu nyan no do, na ɔhyeew seradze no wɔ afɔrmbukyia no do:", ""
"LEV.9.21", "na nyan no nye aserɛ nyimfa no Aaron towee dze yɛɛ ɔtow afɔr wɔ EWURADZE enyim; dɛ mbrɛ Moses hyɛe no.", ""
"LEV.9.22", "Na Aaron memaa ne nsa do wɔ ɔman no do, na ohyiraa hɔn; na ɔbɔɔ bɔn ho afɔr nye ɔhyew afɔr, nye asomdwee afɔr wiee no, osianee.", "#Nka 6.22-26"
"LEV.9.23", "Na Moses nye Aaron kɛhɛɛn ehyiadzibuw no mu, na wopuei, na wohyiraa ɔman no; na EWURADZE enyimnyam yii noho kyerɛɛ ɔman no nyinara.", ""
"LEV.9.24", "Na ogya fi EWURADZE enyim bae, na ɔbɛhyeew afɔrmbukyia no do hyew afɔr nye seradze no: na ɔman no nyinara hunii no, wɔbɔɔ ose, na wɔdze hɔn enyim butubutuuw famu.", ""
