"LEV.11.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron, see hɔn dɛ,", ""
"LEV.11.2", "hom nkasa nkyerɛ Israelmba dɛ, Iyinom nye mbowa a hom ndzi wɔ asaase do mbowa nyinara mu.", ""
"LEV.11.3", "Anansambowa mu biara a wɔapaa n'anansa mu, na ɔyɛ anansapaae koraa, na ɔkosa adzepuwii no, ɔno na hom ndzi.", ""
"LEV.11.4", "Naaso iyinom na mma hom nndzi wɔ hɔn a wɔkosa adzepuwii, anaa hɔn a hɔn anansa mu apaa mu: efupɔnkɔ, osiandɛ ɔkosa adzepuwii dze, naaso n'anansa mu mmpaae, ntsi no ho nntsew mma hom.", ""
"LEV.11.5", "Na etwabowa, osiandɛ ɔkosa adzepuwii dze, naaso n'anansa mu mmpaae, no ho nntsew mma hom.", ""
"LEV.11.6", "Na asoaso, osiandɛ ɔkosa adzepuwii dze, naaso n'anansa mu mmpaae, no ho nntsew mma hom.", ""
"LEV.11.7", "Na preko, osiandɛ n'anansa mu apaa, na ɔyɛ anansapaae koraa dze, naaso ɔnnkosa adzepuwii ntsi no ho nntsew mma hom.", ""
"LEV.11.8", "Mma hom nndzi hɔn nam bi, na hɔn efun so mma hom nnka; hɔn ho nntsew mma hom.", ""
"LEV.11.9", "Iyinom nye dza hom ndzi wɔ dza ɔwɔ nsu mu nyinara mu: biara a ɔwɔ tɛterɛ nye abon wɔ nsu mu, pomu, nye esutsen mu no, iyinom na hom ndzi.", ""
"LEV.11.10", "Na dza wonnyi tɛterɛ nye abon a wɔwɔ pomu, nye esutsen mu nyinara, nye dza wɔwɔ nsu mu nyinara a nkwa wɔ hɔn mu no yɛ ekyiwadze ma hom,", ""
"LEV.11.11", "na ɔnyɛ hom ekyiwadze; mma hom nndzi hɔn nam, na hɔn efun mpo, hom nkyir.", ""
"LEV.11.12", "Adze biara a onnyi tɛterɛ anaa abon wɔ nsu mu no, ɔyɛ ekyiwadze ma hom.", ""
"LEV.11.13", "Na iyinom na hom nkyir no wɔ ntumbowa mu; mma wonndzi, wɔyɛ ekyiwadze: ɔkɔr, nye ɔkɔrbia, nye nsukɔr;", ""
"LEV.11.14", "na ɔsansaa, nye ɔkom n'ahorow;", ""
"LEV.11.15", "akonkoran biara n'ahorow;", ""
"LEV.11.16", "nye sohor, nye anadwe akrɔma, nye po akokɔ, nye akrɔma n'ahorow;", ""
"LEV.11.17", "nye patubia, nye po akonkoran, nye patu kɛse;", ""
"LEV.11.18", "nye ambɛnpatu, nye nantwinoma, nye ɔpɛtɛ:", ""
"LEV.11.19", "nye esukɔnkɔn, bakanoma n'ahorow, nye esuakokɔ, nye apan.", ""
"LEV.11.20", "Ntumbowa ahorow a wɔnantsew anan anan anan do nyinara yɛ ekyiwadze ma hom.", ""
"LEV.11.21", "Naaso iyinom na hom ndzi no wɔ ntumbowa menyamenya a wɔnantsew anan anan anan do nyinara mu, hɔn a wɔwɔ aperɛ wɔ hɔn anan do a wɔdze huruw wɔ asaase do no,", ""
"LEV.11.22", "mekyerɛ hɔn mu iyinom na hom ndzi; mbɛbɛw n'ahorow, akyekyemawe n'ahorow, kukura n'ahorow, ɔhwedɔm n'ahorow.", ""
"LEV.11.23", "Na ntumbowa menyamenya nyinara a wɔwɔ anan anan anan no, yɛ ekyiwadze ma hom.", ""
"LEV.11.24", "Na iyinom na hom dze gu homho fi: obiara a ɔka hɔn fun no, no ho nntsew ara kodu ewimbir:", ""
"LEV.11.25", "Na obiara a ɔsoa hɔn fun no ɔnhor ne ntar, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.11.26", "Anansabowa biara a wɔapaa n'anansa mu, na ɔnnyɛ anansapaae koraa, na ɔnnkosa adzepuwii no, no ho nntsew mma hom; obiara a ɔka hɔn no, no ho nntsew.", ""
"LEV.11.27", "Na abowa biara a ɔnantsew no werɛw ano no wɔ mbowa a wɔnantsew anan anan do nyinara mu no, hɔn ho nntsew mma hom: obiara a ɔka hɔn fun no, no ho nntsew araa kodu ewimbir.", ""
"LEV.11.28", "Na nyia ɔsoa hɔn fun no ɔnhor ne ntar, na no ho nntsew araa kodu ewimbir: hɔn ho nntsew mma hom.", ""
"LEV.11.29", "Na iyinom nye hɔn a hɔn ho nntsew mma hom wɔ aweaweambowa a wɔwea wɔ asaase do no mu; obirebi, nye okura, nye ɔketsew n'ahorow,", ""
"LEV.11.30", "nye ban yer abamba, nye ɔmampam, nye ɔsamanapa, nye anhweaketsew, nye abosomanketsew.", ""
"LEV.11.31", "Iyinom nye hɔn a hɔn ho nntsew mma hom wɔ dza wɔwea nyinara mu: sɛ wowu a, obiara a ɔka hɔn no, no ho nntsew araa kodu ewimbir.", ""
"LEV.11.32", "Na adze biara a hɔn mu dza oewu atɔ do no, no ho nntsew; dua adze o, atar o, nwoma o, bɔtɔ o, adze biara a wɔdze yɛ edwuma biara, wɔmfa nhyɛ nsu mu, na no ho nntsew araa kodu ewimbir; ansaana no ho atsew.", ""
"LEV.11.33", "Na dɛtsesɛn biara a hɔn mu bi bɔtɔ mu no, adze biara a ɔwɔ mu no no ho nntsew, na sɛn no hom mbɔ no.", ""
"LEV.11.34", "No mu edziban a wodzi biara a nsu bogu mu no, no ho nntsew: na anondze nyinara a wɔnom wɔ dɛm adze biara mu no, no ho nntsew:", ""
"LEV.11.35", "Na adze biara a hɔn fun no bi bɔtɔ do no no ho nntsew; fononoo o, mbukyia o, wombubu no esinesin: hɔn ho nntsew, na hɔn ho nntsew mma hom.", ""
"LEV.11.36", "Naaso nsubura anaa amona a nsu egyina mu no dze, no ho tsew: mbom dza ɔka hɔn fun no, no ho nntsew.", ""
"LEV.11.37", "Na sɛ hɔn fun bi tɔ ekuadze a woedua biara do a, no ho tsew.", ""
"LEV.11.38", "Mbom sɛ wɔdze nsu gu ekuadze no do a, na hɔn fun bi tɔ do a, ekuadze no ho nntsew mma hom.", ""
"LEV.11.39", "Na sɛ abowa biara a hom dzi wu a, nyia ɔka no fun no, no ho nntsew araa kodu ewimbir.", ""
"LEV.11.40", "Na nyia odzi no fun bi no, ɔnhor ne ntar, na no ho nntsew araa kodu ewimbir: onyia so a ɔsoa no fun no, nhor ne ntar, na no ho nntsew araa kodu ewimbir.", ""
"LEV.11.41", "Na aweaweabowa biara a ɔwea wɔ asaase do no, yɛ ekyiwadze; mma wonndzi.", ""
"LEV.11.42", "Adze biara a ɔnam ɔyafun do, nye adze biara a ɔnam anan anan do, anaa adze biara a ɔwɔ anan pii, mekyerɛ aweaweambowa a wɔwea wɔ asaase do nyinara, mma hom nndzi; na wɔyɛ ekyiwadze.", ""
"LEV.11.43", "Mma hom nnyɛ homho ekyiwadze wɔ aweaweabowa biara a ɔwea ho, nkyii so mma hom nnyɛ homho fi a ɔmma hom ho nntsew wɔ hɔn ho.", ""
"LEV.11.44", "Na emi nye EWURADZE hom Nyankopɔn: dɛm ntsi hom ntsew homho, na hom nyɛ krɔnkrɔn; osiandɛ meyɛ krɔnkrɔn. Nkyii so mma hom nngu homho fi wɔ aweaweabowa biara a otwuw noho adze wɔ asaase do no ho.", "#Lev 19.2; 1 Pet 1.16"
"LEV.11.45", "Na emi nye EWURADZE a miyii hom fii Egypt asaase do bae, dɛ meyɛ hom Nyankopɔn no; dɛm ntsi hom nyɛ krɔnkrɔn, na meyɛ krɔnkrɔn.", ""
"LEV.11.46", "Iyi nye anansabowa, nye etubowa, nye abowa biara a ɔwɔ nsu mu na abowa biara a ɔwea wɔ asaase do no ho mbra:", ""
"LEV.11.47", "ma wɔdze apa adze a no ho nntsew nye dza no ho tsew mu, na adze a nkwa wɔ mu a wodzi nye dza nkwa wɔ mu a wonndzi mu.", ""
