"LEV.13.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
"LEV.13.2", "Sɛ nyimpa bi nya no honam wer mu biribi soaa, anaa ntwintwamee, anaa ntokowa ntokowa, anaa odzidzi no honam wer mu yɛ kwata ntsetsewee a, ɔno wɔmfa no mbra ɔsɔfo Aaron, anaa ne mbabanyin asɔfo no mu kor:", ""
"LEV.13.3", "na ɔsɔfo no nhwɛ honam wer no mu: na sɛ nhwi a ɔwɔ ntsetsewee no mu adan fitaa na ntsetsewee no enyi atotɔ mu asen no honam wer no a, ɔyɛ kwata ntsetsewee; na ɔsɔfo no nhwɛ no, na ɔnka dɛ no ho nntsew.", ""
"LEV.13.4", "Na sɛ ntokowa ntokowa no yɛ fitaa wɔ no honam wer no mu, na n'enyi nntotɔɔ mu nnsen wer no, na no nhwi no nndaan fitaa a, ɔno ɔsɔfo no ntow ɔyarfo no mu nda esuon:", ""
"LEV.13.5", "na da a otsia esuon no ɔsɔfo no nhwɛ no: na ɔhwɛ na sɛ ntsetsewee no esianka wɔ n'enyi do, na ntsetsewee no nntserɛwee wɔ wer no mu a, ɔno asɔfo no ntow no mu nda esuon bio:", ""
"LEV.13.6", "na da a otsia esuon no ɔsɔfo no nhwɛ no bio: na, hwɛ, sɛ ntsetsewee no enyi edum, na ntsetsewee no nntserɛwee wɔ wer no mu a, ɔno ɔsɔfo no nka dɛ no ho tsew: ɔyɛ ntwintwamee: na ɔnhor ne ntar, na no ho ntsew.", ""
"LEV.13.7", "Mbom ɔdze noho akɛkyerɛ ɔsɔfo no wɔ n'ahotsewee ho ekyir no, na sɛ ntwintwamee no tserɛw wɔ wer no mu a, ɔmfa no ho nkɛkyerɛ ɔsɔfo no bio:", ""
"LEV.13.8", "na sɛ ɔsɔfo no hwɛ na sɛ ntwintwamee no atserɛw wɔ wer no mu a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ kwata.", ""
"LEV.13.9", "Sɛ kwata ntsetsewee wɔ nyimpa bi ho a, ɔno wɔmfa no mbra ɔsɔfo no;", ""
"LEV.13.10", "na ɔsɔfo no nhwɛ, na, hwɛ, sɛ biribi fitaa soaa bi wɔ wer no mu, na ɔadan nhwi no fitaa, na honam momon rupuw wɔ soaa no mu a,", ""
"LEV.13.11", "ɔyɛ kwata dadaw a ɔwɔ no honam wer no mu, na ɔsɔfo no nka dɛ no ho nntsew: mma ɔnntow no mu: na no ho nntsew.", ""
"LEV.13.12", "Na sɛ kwata no epue efi wer no mu, na kwata no akata owuyarfo no no wer nyinara ho fi n'etsifi keka n'ananadze dɛ mbrɛ ɔda edzi ma ɔsɔfo no ara a;", ""
"LEV.13.13", "ɔno ɔsɔfo no nhwɛ: na, hwɛ, sɛ kwata no akata no honam nyinara do a, ɔnka dɛ owuyarfo no no ho tsew: ne nyinara adan fitaa: no ho tsew.", ""
"LEV.13.14", "Mbom aber biara a honam momon ada edzi wɔ no ho no, no ho nntsew.", ""
"LEV.13.15", "Na ɔsɔfo no nhwɛ honam momon no, na ɔnka dɛ no ho nntsew: honam momon no ho nntsew: ɔyɛ kwata.", ""
"LEV.13.16", "Anaa sɛ honam momon no dan fitaa bio a, ɔno ɔmbra ɔsɔfo no hɔ,", ""
"LEV.13.17", "na ɔsɔfo no nhwɛ no: na, hwɛ, sɛ ntsetsewee no dan fitaa a, ɔno ɔsɔfo no nka dɛ ɔyarfo no no ho tsew: na no ho atsew.", ""
"LEV.13.18", "Na sɛ pɔmpɔ bi bɔ wɔ honam no wer no mu, na ɔsa,", ""
"LEV.13.19", "na soaa fitaa bi bɔsoa anaa ntokowa ntokowa fitaa, ɔberhoamu, ba pɔmpɔ no ananmu a, ɔno wɔmfa nkɛkyerɛ asɔfo no;", ""
"LEV.13.20", "na ɔsɔfo no nhwɛ, na, hwɛ, sɛ n'enyi atotɔ mu asen wer no; na no nhwi no adan fitaa a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ kwata ntsetsewee, oepue wɔ pɔmpɔ no mu.", ""
"LEV.13.21", "Mbom sɛ ɔsɔfo no hwɛ, na sɛ, nhwi fitaa bi nnyi mu, na ɔnntotɔ mu nnsen wer no, na n'enyi dum a, ɔno ɔsɔfo no ntow no mu nda esuon:", ""
"LEV.13.22", "na sɛ ɔtserɛw wɔ wer no mu a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ ntsetsewee.", ""
"LEV.13.23", "Mbom sɛ ntokowa ntokowa no sianka n'ananmu, na ɔanntserɛw a, ɔyɛ pɔmpɔ no itua; na ɔsɔfo no nka dɛ no ho tsew.", ""
"LEV.13.24", "Anaa sɛ gya hyew ano tua bi ba honam no wer no mu, na ɔhyew ano tua no do rupuw yɛ ntokowa ntokowa, ɔberhoamu, anaa fitaa a;", ""
"LEV.13.25", "ɔno ɔsɔfo no nhwɛ: na, hwɛ, sɛ nhwi a ɔwɔ ntokowa ntokowa no do adan fitaa, na n'enyi atotɔ mu asen wer no a; ɔyɛ kwata, oepue wɔ ɔhyew ano tua no mu: na ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ kwata ntsetsewee.", ""
"LEV.13.26", "Mbom sɛ ɔsɔfo no hwɛ, na sɛ nhwi fitaa bi nnyi ntokowa ntokowa no mu, na ɔnntotɔɔ mu nnseen wer no, na n'enyi dum a: ɔno ɔsɔfo no ntow no mu nda esuon:", ""
"LEV.13.27", "na da a otsia esuon no ɔsɔfo no nhwɛ no: sɛ ɔtserɛw wɔ wer no mu a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ kwata ntsetsewee.", ""
"LEV.13.28", "Na sɛ ntokowa ntokowa no sianka wɔ n'ananmu, na ɔanntserɛw wɔ wer no mu, na n'enyi dum a; ɔyɛ ɔhyew ano tua soaa, na ɔsɔfo no nka dɛ no ho tsew: na ɔyɛ ɔhyew ano tua no itua.", ""
"LEV.13.29", "Na sɛ ɔbanyin anaa ɔbaa bi nya ntsetsewee wɔ n'etsifi anaa n'abɔdwesa mu a,", ""
"LEV.13.30", "ɔno ɔsɔfo no nhwɛ ntsetsewee no: na, hwɛ, sɛ n'enyi atotɔ mu asen wer no, na nhwi memen tseatseaba bi wɔ mu a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ ntutui, ɔyɛ tsir anaa abɔdwesa mu kwata.", ""
