"LEV.15.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron, dɛ,", ""
"LEV.15.2", "Hom nkasa nkyerɛ Israelmba, na wɔnse hɔn dɛ, Sɔ ɔbanyin biara nya ahosen ma fie no honam mu gu a, n’ahosen no ntsi no ho nntsew.", ""
"LEV.15.3", "Na iyi nye n’ahoɔfi wɔ n’ahosen no mu: sɛ n’ahosen no fi no honam, anaa n’ahosen ma no honam n’ano siw a, ɔyɛ n’ahoɔfi.", ""
"LEV.15.4", "Mpa biara a nyia ɔwɔ ahosen no da do no, no ho nntsew: na adze biara a ɔko do no no ho nntsew.", ""
"LEV.15.5", "Na obiara a ɔka ne mpa no, nhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.6", "Na nyia ɔko adze biara a nyia ɔwɔ ahosen no atsena do no, nhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.7", "Na nyia ɔka nyia ɔwɔ ahosen no no honam no, nhor ne ntar, na onguar noho wɔ nsu mu, na no ho nntsew araa kodu ewimbir.", ""
"LEV.15.8", "Na sɛ nyia ɔwɔ ahosen to ntafi gu nyia no ho tsew do a; ɔno ɔnhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.9", "Na apɔnkɔgua biara a nyia ɔwɔ ahosen no bɛtsena do no, no ho nntsew.", ""
"LEV.15.10", "Na obiara a ɔka adze biara a ɔhyɛ n’ase no, no ho nntsew araa kodu ewimbir: na nyia ɔsoa dɛm ndzɛmba no nhor ne ntar, na onguar noho wɔ nsu mu, na no ho nntsew araa kodu ewimbir.", ""
"LEV.15.11", "Obiara a nyia ɔwɔ ahosen annhohor ne nsa ho wɔ nsu mu na ɔdze bɛka no no, ɔnhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.12", "Na dɛtsesɛn a nyia ɔwɔ ahosen no bɛka no, wɔmbɔ no: na dua adze biara dze wɔnhor no wɔ nsu mu.", ""
"LEV.15.13", "Na sɛ nyia ɔwɔ ahosen no wɔtsew no ho fi n’ahosen no mu a, ɔno ɔnkan nda esuon wɔ n’ahofir ntsi, na ɔnhor ne ntar, na onguar no honam wɔ mbasu mu, ama no ho aatsew.", ""
"LEV.15.14", "Na da a otsia awɔtwe no ɔno noara mfa ntamram ebien, nye mborɔnomamba ebien, na ɔmfa mbra EWURADZE enyim wɔ ehyiadzibuw no n’abowano, na ɔmfa mma ɔsɔfo;", ""
