"LEV.17.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.17.2", "Kasa kyerɛ Aaron, nye ne mbabanyin no, nye Israelmba nyinara, na se hɔn dɛ: Iyi nye adze a EWURADZE ahyɛ ho mbra no dɛ,", ""
"LEV.17.3", "Nyimpa biara a ofi Israel fie mu a oku nantwinyin, anaa eguambaa, anaa apɔnkye wɔ nseraban no mu, anaa nseraban no ekyir dɛ ayɛyɛdze a ɔdze rebrɛ EWURADZE", ""
"LEV.17.4", "na ɔmmfa no mmba ehyiadzibuw no n’abowano wɔ EWURADZE ntamadan no enyim no: wobobu bɔgya no egu nyimpa no do; ɔaka bɔgya egu; na dɛm nyimpa no wobotwa no efi ne man mu akyen:", ""
"LEV.17.5", "ama Israelmba dze hɔn afɔrbɔdze a woku no wɔ sar no do dɛ wɔdze rebrɛ EWURADZE no aaba ehyiadzibuw no n’abowano, dze abrɛ asɔfo no, na woeeku no abɔ asomdwee afɔr ama EWURADZE.", ""
"LEV.17.6", "Na ɔsɔfo no mfa bɔgya no mpetse EWURADZE afɔrmbukyia no do wɔ ehyiadzibuw no n’abowano, na ɔnhyew seradze ma onyi nka huanhuam mma EWURADZE.", ""
"LEV.17.7", "Na mma wonnku hɔn afɔrbɔdze mma esunsum bɔn a wodzi hɔn ekyir wɔ sar no do no bio. Iyi nyɛ daa ahyɛdze mma hɔn wɔ hɔn ebusuasantsen nyinara mu.", ""
"LEV.17.8", "Na ɔwo ka kyerɛ hɔn dɛ, Nyimpa biara a ofi Israel mu, anaa ofi ahɔho a wɔabɔsoɛ hɔn mu no mu a ɔbɔ ɔhyew afɔr anaa okum afɔr bi,", ""
"LEV.17.9", "na ɔmmfa mmba ehyiadzibuw no n’abowano, mmbɔbɔ mma EWURADZE no: wobotwa no efi ne man mu akyen.", ""
"LEV.17.10", "Na nyimpa biara a ofi Israel fie mu, anaa ofi ahɔho a wɔabɔsoɛ hɔn mu no mu a odzi bɔgya biara no; m’enyi bɛsa no, na mubotwa no efi ne man mu akyen.", ""
"LEV.17.11", "Osiandɛ honam no nkwa wɔ bɔgya no mu: na medze ama hom wɔ afɔrmbukyia no do dɛ wɔmfa mpata mma homho: na bɔgya no na ɔpata ma akra.", ""
"LEV.17.12", "Dɛm ntsi na mesee Israelmba dɛ, Mma hom mu ɔkra biara nndzi bɔgya, nkyii so mma ɔhɔho biara a ɔsoɛ hom mu nndzi bɔgya.", ""
"LEV.17.13", "Sɛ nyimpa biara a ofi Israelmba mu, anaa ofi ahɔho a wɔabɔsoɛ hɔn mu no mu a ɔyɛ ha no, ku abowa anaa anoma biara a wodzi a, ɔnsɔn no bɔgyaa ngu, na ɔmfa dɛtse nkata do.", ""
"LEV.17.14", "Na honam nyinara dze, no bɔgyaa ara nye no nkwa: dɛm ntsi na mesee Israelmba dɛ, Mma hom nndzi honam biara no bɔgyaa: osiandɛ honam nyinara no nkwa nye no bɔgyaa: obiara a odzi no, wobotwa no akyen.", ""
"LEV.17.15", "Na nyimpa biara a odzi dza noara ewu no, anaa dza abowa atsetsew no no, sɛ ɔyɛ okuromnyi o, ɔhɔho o, ɔnhor ne ntar, na onguar wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir: ana afei no ho atsew.", ""
"LEV.17.16", "Mbom sɛ ɔannhor ne ntar, nkyii so oennguar a, ɔno ɔnsoa no mbusu.", ""
