"LEV.25.1", "Na EWURADZE kasaa kyerɛɛ Moses wɔ kokwaa Sinai do dɛ,", ""
"LEV.25.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom du asaase a medze rema hom no do a, ɔno asaase no ndzi ahomgye afe mma EWURADZE.", ""
"LEV.25.3", "Mfe esia na dua wo haban mu adze, na mfe esia na pempan wo wenyin ture mu ndua ho, na boaboa no mu nduadzewa ano;", ""
"LEV.25.4", "Mbom afe a otsia esuon no nyɛ ahomgye pa mu ahomgye afe mfa mma asaase no, nyɛ ahomgye afe mma EWURADZE: mma nndua wo haban mu adze, na mmpempan wo wenyin ture mu ndua ho so.", ""
"LEV.25.5", "Wo ndɔbaa mu dza nankasa efifir no mma nntwa, na wo wenyindua a ennsiesie ho no mma nntsetsew no do esikyireamba: ɔnyɛ ahomgye pa afe mfa mma asaase no.", ""
"LEV.25.6", "Na asaase no n'ahomgye afe no nyɛ edziban mma hom; ɔwo, nye w'akowaa nye w'afonabaa, nye wo paanyi nye wo hɔhoe a ɔabɔsoɛ wo;", ""
"LEV.25.7", "nye wo fiembowa, nye mbowa a wɔwɔ w'asaase no do, na no do ndɔbaa no nyinara nyɛ hɔn edziban.", ""
"LEV.25.8", "Na kan ahomgye afe mfe esuon ma woho, mfe esuon esuon ahorow esuon; na ɔnyɛ ahomgye afe mfe esuon mu nda mma wo, mekyerɛ mfe eduanan akron.", ""
"LEV.25.9", "Na nkyii bosoom a otsia esuon no ne da a otsia du no ma totorobɛnto ndze kɛse nkɔ aman do; mpata da no mu na hom mma totorobɛnto no nkɔ aman do ntwa mu wɔ hom asaase nyinara do.", ""
"LEV.25.10", "Na hom ntsew afe a otsia eduonum no ho, na wɔmpaa fahodzi wɔ asaase no do mma no do atsefo nyinara: ɔnyɛ ahosɛpɛw afe mma hom; na hom nsan, nyimpa biara nkɔ n'ebusua mu.", ""
"LEV.25.11", "Ahosɛpɛw afe na afe a otsia eduonum no nyɛ mma hom: mma hom nndua, nkyii so wonntwitwa dza nankasa efifir wɔ mu no, na wɔnntsetsew no mu wenyinndua a woennsiesie ho no do esikyireamba so.", ""
"LEV.25.12", "Na ɔyɛ ahosɛpɛw afe; ɔnyɛ krɔnkrɔn mma hom: hom mfi haban no do ndzi do ndzɛmba a ɔba no.", ""
"LEV.25.13", "Ahosɛpɛw afe yi mu no hom nsan, nyimpa biara nkɔ n'egyapadze ho.", ""
"LEV.25.14", "Na sɛ etɔn biribi ma wo nyɛnko, anaa etɔ wɔ wo nyɛnko nsamu a, mma hom mu kor nndzi kor no emim:", ""
"LEV.25.15", "dɛ mbrɛ ahosɛpɛw afe no ekyir mfe dodow tse no na tɔ wɔ wo nyɛnko hɔ, dɛ mbrɛ ndɔbaa mfe dodow tse no na ɔntɔn mma wo.", ""
"LEV.25.16", "Dɛ mbrɛ mfe no dɔɔ so pa no na to no bo mu, na dɛ mbrɛ mfe no suar pa no na yi no bo do, wɔ ndɔbaa dodow a ɔtɔn ma wo no ho.", ""
"LEV.25.17", "Na mma hom mu kor nndzi kor emim; mbom suro wo Nyankopɔn: na emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.25.18", "Dɛm ntsi hom nyɛ m'ahyɛdze, na hom ndzi me mbrasɛm do, na wɔnyɛ; na hom ntsena asaase no do dwudwoodwo.", ""
"LEV.25.19", "Na asaase no bɛma no nsowee, na hom edzi amee, na wɔatsena do dwudwoodwo.", ""
"LEV.25.20", "Na sɛ hom se dɛ, Ebɛnadze na afe a otsia esuon no yebedzi? Hwɛ, yerunndua, na yɛrommboaboa hɛn ndɔbaa ano a:", ""
"LEV.25.21", "ɔno mebɛhyɛ me nhyira wɔ hom do wɔ afe a otsia awɔtwe no mu, na wondzi nduadzewa no bi, akoradze dadaw no;", ""
"LEV.25.22", "nkodu afe a otsia akron no, hom ndzi akoradze dadaw araa nkodu dɛ no nduadzewa bɛba.", ""
"LEV.25.23", "Na asaase no mma wɔnntɔn no korakora; osiandɛ asaase no yɛ medze: na hom yɛ ahɔho nye amamforafo wɔ me nkyɛn.", ""
"LEV.25.24", "Na hom enyadze asaase no nyinara do na hom mma asaase no no mponee ho kwan.", ""
"LEV.25.25", "Sɛ ohia wo nua, na ɔtɔn n'egyapadze mu bi a, ɔno no busuanyi a ɔbɛn no no mbra, na ɔmbɔpon dza no nua atɔn no.", ""
"LEV.25.26", "Na sɛ nyimpa bi nnyi obi a ɔpon, na ne nsamu ba adze na onya dza ɔso pon a;", ""
"LEV.25.27", "ɔno wɔmma ombu no ntɔnee mu mfe dodow ano, na ɔnhyɛ dza ɔbor do no ananmu mma nyimpa no a ɔtɔnee maa no no; na ɔnsan nkɔ n'egyapadze ho.", ""
"LEV.25.28", "Mbom sɛ orunntum nngye bio mma noho a, ɔno dza wɔatɔn no nko nyia ɔatɔ no nsamu nkodu ahosɛpɛw afe no: na ahosɛpɛw afe no mu na omfi hɔ, na ɔnsan nkɔ n'enyadze ho.", ""
"LEV.25.29", "Na sɛ nyimpa bi tɔn ofi a wɔtsena mu wɔ kurow a afadum wɔ ho mu a, ɔno ɔmpon no wɔ no ntɔnee ekyir afrenhyia no mu; na afrenhyia mu na ɔwɔ mponee ho kwan.", ""
"LEV.25.30", "Na sɛ wɔammpon no wɔ afrenhyia mu ntamu a, ɔno fie a ɔwɔ kurow a afadum wɔ ho mu no, ɔnko hɔ daa mma nyia ɔtɔe no korakora, wɔ n'ebusuasantsen mu: ommfi hɔ wɔ ahosɛpɛw afe no mu.", ""
"LEV.25.31", "Na efiefi a ɔwowɔ nkuroba a onnyi fadum a ehyia ho mu dze, wombu nka ɔman no mu haban ho: wɔropon a wɔmpon, na ahosɛpɛw afe no mu omfi hɔ.", ""
"LEV.25.32", "Naaso Levifo nkurow no, hɔn enyadze nkurow mu efi no dze, Levifo no mpon no aber biara.", ""
"LEV.25.33", "Na sɛ Levifo mu kor pon a, ɔno fie no a wɔtɔnee, nye n'enyadze kurow no mfi hɔ wɔ ahosɛpɛw afe no mu: na Levifo nkurow mu efiefi no nye hɔn enyadze wɔ Israelmba mu.", ""
"LEV.25.34", "Na nkurow no no kurotsia haban dze, mma wɔnntɔn, na ɔyɛ hɔn daa enyadze.", ""
"LEV.25.35", "Na sɛ ohia wo nua, na ɔpa abaw wɔ wo nkyɛn a; ɔno suo no mu; na ɔntsena wo nkyɛn dɛ ɔhɔho nye ɔmamforanyi.", ""
"LEV.25.36", "Mma nngye nsiho anaa ndɔree wɔ no hɔ; mbom suro wo Nyankopɔn: ma wo nua nye wo ntsena.", ""
"LEV.25.37", "Mma mmfa wo sika anaa w'edziban mma no nsiho do, wɔ no ndɔree ntsi.", ""
"LEV.25.38", "Emi nye EWURADZE hom Nyankopɔn a, miyii hom fii Egypt asaase do, dɛ medze Keenan asaase rema hom, na maayɛ hom Nyankopɔn.", ""
"LEV.25.39", "Na sɛ ohia wo nua wɔ wo nkyɛn, na ɔtɔn noho ma wo a; mma mma ɔnnsom wo dɛ ɔdɔnkɔnyi:", ""
"LEV.25.40", "na ɔnyɛ wo nkyɛn dɛ mbrɛ ɔpaanyi nye ɔmamforanyi tse; ɔnsom wɔ wo nkyɛn araa ma onkodu ahosɛpɛw afe no mu:", ""
"LEV.25.41", "na nkyii omfi wo nkyɛn nkɔ, ɔno nye ne mba a wɔwɔ wo nkyɛn, na ɔnsan nkɔ nankasa n'ebusua mu, na n'egyanom enyadze ho na ɔnsan nkɔ.", ""
"LEV.25.42", "Na wɔyɛ mo nkowaa a miyii hɔn fii Egypt asaase do: mma wɔnntɔn hɔn dɛ adɔnkɔfo.", ""
"LEV.25.43", "Mma mmfa egyapadze nnhyɛ no do; mbom suro wo Nyankopɔn.", ""
"LEV.25.44", "Na wo nkowaa nye wo mfonabaa a ibenya no; amanaman a woehyia hom ho no, hɔn mu na hom ntotɔ nkowaa nye mfonabaa.", ""
"LEV.25.45", "Nkyii so ahɔho a wɔabɔsoɛ hom mu hɔn mba no, hɔn hɔ na hom ntɔ, nye hɔn ebusuafo a wɔwɔ hom nkyɛn a wɔawo hɔn wɔ hom asaase do no hɔ: na wɔnyɛ hom egyapadze.", ""
"LEV.25.46", "Na hom nyɛ hɔn egyapadze mma hom mba wɔ hom ekyir, ma woeesuo mu ayɛ egyapadze; na hɔn mu na hom mfa hom adɔnkɔfo daa: hom nuanom Israelmba dze mma hom nnhyɛ hɔn do, mma obiara mmfa egyapadze do nnhyɛ no nua do.", ""
"LEV.25.47", "Na sɛ ɔhɔho anaa ɔmamforanyi bi a ɔwɔ hom nkyɛn nya adze, na ohia wo nua a ɔnye no wɔ hɔ no, na ɔtɔn noho ma ɔhɔho no anaa ɔmamforanyi no a ɔwɔ wo nkyɛn no, anaa ɔhɔho no n'ebusua mu nyimpa bi a:", ""
"LEV.25.48", "no ntɔnee ekyir no wɔmpon no; na no nuanom mu baako mpon no:", ""
"LEV.25.49", "anaa no wɔfa, anaa no wɔfa ne babanyin mpon no, anaa n'ebusua mu bɔgya biara a ɔbɛn mpon no; anaa sɛ oenya adze a, ɔmpon noho.", ""
"LEV.25.50", "Na ɔnye nyia ɔtɔ no no mbubu mfitsi afe a ɔtɔɔn noho maa no no do nkodu ahosɛpɛw afe no do: na no ntɔnee bo no nyɛ dɛ mbrɛ mfe no no dodow tse.", ""
"LEV.25.51", "Sɛ mfe no da ho dɔɔ so a, ne tsisika mu mponee bo no a ɔbɛdan ama no so ndɔɔ so dɛmara.", ""
"LEV.25.52", "Na sɛ aka mfe kumaabi ma edu ahosɛpɛw afe no do a, ɔno ɔnye no mbubu; dɛ mbrɛ ne mfe no tse no na ɔmfa no mponee sika no ndan mma.", ""
"LEV.25.53", "Ɔnye no ntsena dɛ akowaa a wɔbɔ no paa afrenhyia afrenhyia: mma ɔmmfa egyapadze do nnhyɛ no do wɔ w'enyim.", ""
"LEV.25.54", "Na sɛ woenndua iyinom do ammpon no a, ɔno omfir edzi nkɔ wɔ ahosɛpɛw afe no mu, ɔno nye ne mba nka no ho.", ""
"LEV.25.55", "Osiandɛ Israelmba yɛ nkowaa ma me; wɔyɛ mo nkowaa a miyii hɔn fii Egypt asaase do: emi nye EWURADZE hom Nyankopɔn.", ""
