"LUK.1.1", "Ɔnam dɛ dodowara dze ato hɔn do dɛ wɔbɛkyerɛw ndzɛmba a aba mu wɔ hɛn mu no esiado esiado,", ""
"LUK.1.2", "dɛ mbrɛ hɔn a ahyɛse no wɔdze hɔn enyiwa hunii na wɔyɛɛ asɛm no ho asomfo no dze abrɛ hɛn no ntsi;", ""
"LUK.1.3", "Onyimnyamfo Kɛse Teofilus, mohwɛ a oye ma mo so dɛ mahwehwɛ ne nyina mu pɛpɛɛpɛ fitsi ahyɛse yi, mekyerɛw no esiado esiado brɛ wo,", ""
"LUK.1.4", "ama eehu nsɛm a wɔakyerɛkyerɛ wo no no mu nokwar.", ""
"LUK.1.5", "Judea ɔhen Herod n'aber do no, nna ɔsɔfo bi wɔ hɔ a wɔfrɛ no Zekaria a ofi Abija no kuw mu; na ne yer nye Aaron ne mbabaa no mu bi a wɔfrɛ no Elizabet.", "#1 Mbe 24.10"
"LUK.1.6", "Nna hɔn beenu nyina yɛ atseneneefo wɔ Nyankopɔn enyim, na wodzii Ewuradze ne mbransɛm ɔnye n'ahyɛdze no nyina do, dɛ asɛm biara ho nnyi,", ""
"LUK.1.7", "mbom nna wonnyi ba, osiandɛ nna Elizabet yɛ ɔbɔnyin, na afei hɔn beenu nyina so enyinyin papaapa.", ""
"LUK.1.8", "Da bi nna esi n'asɔfokuw do dɛ wɔyɛ edwuma wɔ Nyankopɔn enyim,", ""
"LUK.1.9", "na dɛ mbrɛ asɔfo dwuma no ne nhyehyɛɛ tse no, wɔtwee tonto yii no dɛ ɔnkɔ Ewuradze asɔrdan no mu nkɛhyew eduhuam.", ""
"LUK.1.10", "Na ber a ɔrehyew eduhuam no, nna ɔman no nyimpadodow nyina gyina abowano rosɔr.", ""
"LUK.1.11", "Na Ewuradze no bɔfoe begyinaa eduhuam afɔrmbukyia no nyimfa yii noho kyerɛɛ no.", ""
"LUK.1.12", "Na Zekaria hun no no, n'akoma tui, na hu kaa no.", ""
"LUK.1.13", "Na bɔfo no see no dɛ, Mma nnsuro, Zekaria, na wɔatse wo nkotoserɛ, na wo yer Elizabet bɔwo babanyin ama wo, na ato no dzin John.", ""
"LUK.1.14", "Na ibenya dɛw nye enyigye, na nyimpa dodowara bedzi n'awoo ho dɛw.", ""
"LUK.1.15", "Na ɔbɛyɛ kɛse wɔ Ewuradze enyim, na ɔnnkɔnom wenyin anaaso nsa biara, na Sunsum Krɔnkrɔn bɛhyɛ no ma fi ne na ne yamu mpo.", "#Nka 6.3"
"LUK.1.16", "Na ɔbɛdan Israelmba dodowara aba Ewuradze hɔn Nyankopɔn hɔ.", ""
"LUK.1.17", "Na ɔnam Elija no sunsum nye no tum mu bedzi n'enyim akɛdan egyanom hɔn akoma aba hɔn mba ho, nye asoɔdzenfo aba tseneneefo hɔn nyimdzee mu, na oesiesie ɔman a wɔaboaboa hɔnho ama Ewuradze.", "#Mal 4.5, 6"
"LUK.1.18", "Na Zekaria see bɔfo no dɛ, Mubodua dɛn mehu yi? Osiandɛ meyɛ akɔdaa na me yer so edzi mfe pii.", ""
