"LUK.7.1", "Na owiee ne nsɛm no nyina ka wɔ nkorɔfo no asomu no, ɔkɛhɛɛn Karpernaum.", ""
"LUK.7.2", "Nna asogyafo do ɔhamupanyin bi n'akowaa a ɔsom no bo kɛse yar ma ɔreyɛ ewu.", ""
"LUK.7.3", "Na ɔtsee Jesus ne nka no, ɔsomaa Jewfo mpanyin bi wɔ no hɔ kɛserɛɛ no dɛ ɔmbra mbɛgye n'akowaa no nkwa.", ""
"LUK.7.4", "Na wɔbaa Jesus nkyɛn no wɔserɛɛ no enyiberdo see dɛ, Ɔsɛ dɛ ebɛyɛ dɛm adze yi ma no:", ""
"LUK.7.5", "osiandɛ ɔdɔ hɛn man, na ɔnoara na osii hɛn nhyiamudan yi.", ""
"LUK.7.6", "Na Jesus nye hɔn kɔree. Na ɔrebɛn fie no ho no, ɔhamupanyin no somaa n'anyɛnkofo bi wɔ no hɔ kɛsee no dɛ, Mo wura, mma nnhaw woho: na mennsɛ dɛ ebɛhɛn me hatsɛw ase;", ""
"LUK.7.7", "iyi ntsi na memmbu moho dɛ mesɛ dɛ meba wo nkyɛn no; dɛm ntsi ɔwo kasa ara, na m'akowaa no bɛtse apɔw.", ""
"LUK.7.8", "Na mo so meyɛ nyimpa a wɔdze me ahyɛ tum ase, na mowɔ nsordaafo wɔ m'ase, na mese yi dɛ, Kɔ a, ɔkɔ; na mese obi so, Bra a, ɔba, na mese m'akowaa dɛ, Yɛ yi a, ɔyɛ.", ""
"LUK.7.9", "Na Jesus tsee yinom no, no ho yɛɛ no nwanwa, na ɔsee nyimpadodow a wodzi n'ekyir no dɛ,  Mese hom dɛ, Israel mu mpo munnhun gyedzi a ɔtse dɛm yi bi pɛn.", ""
"LUK.7.10", "Na hɔn a wɔsomaa hɔn no sanee kɔr fie kohun akowaa no dɛ no ho ayɛ no dzen.", ""
"LUK.7.11", "Na ɔbaa dɛ annkyɛr biara na ɔkɔr kurow bi a wɔfrɛ no Nain mu; na n'esuafo no nye nyimpadodow pii nye no kɔree.", ""
"LUK.7.12", "Na ɔbɛɛn kurow no n'abobow ekyir no, nna wɔso bi a oewu a ɔyɛ ne na ne ba kortsee, rupue, na ɔbaa no yɛ okunafo; na nyimpadodow pii fi kurow no mu ka no ho.", ""
"LUK.7.13", "Na Ewuradze hun basia no, ne yamu hyehyee no maa no, na ɔsee no dɛ,  Mma nnsu.", ""
"LUK.7.14", "Na ɔdze ne nsa kɛkaa fundaka no, na hɔn a wɔso no no gyinae; Na ɔsee dɛ,  Aberantsɛ, mese wo dɛ, Soɛr.", ""
"LUK.7.15", "Na nyia oewu no soɛree, na ɔhyɛɛ ase kasae. Na ɔdze no hyɛɛ ne na nsa.", ""
"LUK.7.16", "Na hu kaa hɔn nyina; na wɔhyɛɛ Nyankopɔn enyimnyam see dɛ, Nkɔnhyɛnyi kɛse asoɛr wɔ hɛn mu, na, Nyankopɔn abɔhwɛ ne man.", ""
"LUK.7.17", "Na no ho asɛm tahyee Judea nyina, nye asaase a etwa ho ehyia nyina mu.", ""
"LUK.7.18", "Na John n'esuafo kɛkaa yinom nyina ho asɛm kyerɛɛ no.", ""
"LUK.7.19", "Na John frɛɛ n'esuafo mu beenu, na ɔsomaa hɔn Ewuradze hɔ kebisaa no dɛ, Ana ɔwo nye nyia ɔreba no, anaa yɛrotweɔn obi so?", ""
"LUK.7.20", "Na mbarimba no baa ne nkyɛn no, wɔsee dɛ, John Onumanyi no asoma hɛn wo hɔ dɛ, Ana ɔwo nye nyia ɔreba no, anaa yɛrotweɔn obi so?", ""
"LUK.7.21", "Na dɔnhwer kor no ara mu ɔsaa dodowara hɔn nyarba, na oyii hɔn haw nye esunsum fi fii hɔn do, na ɔmaa enyifurafo pii hun adze.", ""
