"LUK.9.1", "Na ɔfrɛɛ duebien no boaa ano, na ɔmaa hɔn ahoɔdzen nye tum wɔ mbɔnsam nyina na ayarsa do.", ""
"LUK.9.2", "Na ɔsomaa hɔn dɛ wɔnkɛka Nyankopɔn ahenman no ho asɛm, na wɔmma ayarfo nya ayarsa.", ""
"LUK.9.3", "Na ɔsee hɔn dɛ,  Mma hom mmfa biribiara nntu kwan, mma hom mmfa poma anaa kotoku anaa edziban anaa sika, na mma hom mmfa ntar ebien so.", "#Luk 10.4-11"
"LUK.9.4", "Na fie biara a hom bɛhɛn mu no, hom ntsena hɔ ara, na hom eefi hɔ akɔ.", ""
"LUK.9.5", "Na hɔn a wɔrenngye hom no, hom fi kurow mu hɔ rokɔ a, hom mporoporow hom ananadze huntuma ngye dase ntsia hɔn.", "#Ndwu 13.51"
"LUK.9.6", "Na wosii mu koduaduaa nkurow no nyina mu kaa asɛmpa no, na wɔsaa yarba wɔ mbea nyina.", ""
"LUK.9.7", "Na ɔmansinhen Herod tsee dza ɔyɛe nyina, na ne tsirmu yɛɛ no basabasa, osiandɛ binom kaa dɛ John efi ewufo mu asoɛr;", "#Mat 16.14; Mar 8.28; Luk 9.19"
"LUK.9.8", "na binom so kaa dɛ Elija eyi noho; na binom so dɛ tsetse nkɔnhyɛfo no mu baako asoɛr bio.", ""
"LUK.9.9", "Na Herod see dɛ, Metwa John ne tsir; na woana nye nyia metse no ho nsɛm dɛm yi? Na ɔpɛɛ dɛ nkyɛ obohu no.", ""
"LUK.9.10", "Na asomafo no sanee bae no, wɔbɛkaa dza wɔakɛyɛ nyina kyerɛɛ no. Na ɔfaa hɔn kɔr nkyɛn beebi, wɔ kurow a wɔfrɛ no Bɛtsaeda no mu.", ""
"LUK.9.11", "Na nyimpadodow no hunii no, wɔkɛkaa no do; na ɔgyee hɔn na ɔkaa Nyankopɔn ahenman no ho asɛm kyerɛɛ hɔn, na ɔsaa hɔn a wohia ayarsa no yarba.", ""
"LUK.9.12", "Na wi rokɔtɔ no, duebien no bae bɛsee no dɛ, Gya nyimpadodow yi kwan ma wɔnkɔ nkurow nye nkuraase a woetwa ehyia yi mu nkɛtsena hɔ, ama woeenya edziban: na mbrɛ yɛwɔ yi dze, sar do a.", ""
"LUK.9.13", "Na ɔsee hɔn dɛ,  Homara hom mma hɔn biribi ma wondzi.  Na wobuaa dɛ, Yennyi biribiara dɛ paanoo enum, na esunam ebien, gyedɛ yɛkɔ kɔtɔ edziban ma nkorɔfo yi nyina.", ""
"LUK.9.14", "Na wɔbɛyɛ mbarimba mpemenum. Na ɔsee n'esuafo no dɛ,  Hom mma wɔntsenatsena famu ekuw mu, eduonum, eduonum.", ""
"LUK.9.15", "Na wɔyɛɛ dɛm na wɔmaa hɔn nyina tsenaa famu.", ""
"LUK.9.16", "Na ɔfaa paanoo enum no, nye esunam ebien no, na ɔhwɛɛ sor no, ohyiraa do, na obubui dze maa n'esuafo no dɛ wɔnkyɛ mma nyimpadodow no.", ""
"LUK.9.17", "Na hɔn nyina dzidzii na wɔmee; na wɔtasee mporoporoba a ɔboor do no nkɛntsɛn duebien.", ""
"LUK.9.18", "Na aber bi a noara nko wɔ hɔ rosɔr na n'esuafo no ka no ho no, obisaa hɔn dɛ,  Nyimpadodow se dɛ woana nye me?", ""
"LUK.9.19", "Na wobuae see dɛ, John Onumanyi no a, na binom se Elija a; binom so se dɛ tsetse nkɔnhyɛfo no bi na ɔasoɛr bio.", "#Mat 14.1, 2; Mar 6.14-15; Luk 9.7-8"
"LUK.9.20", "Na obisaa hɔn dɛ,  Na hom dze, hom se dɛ woana nye me?  Na Peter buae see dɛ, Nyankopɔn ne Kraest no a.", "#Joh 6.68, 69"
"LUK.9.21", "Na ɔbraa hɔn hyɛɛ hɔn dɛ mma wɔnnka iyi nnkyerɛ obiara,", ""
"LUK.9.22", "na ɔsee dɛ,  Ɔsɛ nyimpa Ba no dɛ obohu amandze pii, na mpanyimfo nye asɔfompanyin nye kyerɛwfo no apow no, na woeku no, na da a otsia ebiasa no oenyan.", ""
"LUK.9.23", "Na ɔkaa kyerɛɛ hɔn nyina dɛ,  Sɛ obi pɛ dɛ odzi m'ekyir a, ma ɔmpow noho, na ɔmma ne mbeamudua do daa na ɔnka mo do.", "#Mat 10.38; Luk 14.27"
"LUK.9.24", "Na obiara a ɔpɛ dɛ ɔkora ne nkwa no, ɔbɔhwer no, na obiara a ɔbɔhwer no nkwa wɔ emi ntsi, ɔno na obenya no bio.", "#Mat 10.39; Luk 17.33; Joh 12.25"
"LUK.9.25", "Na sɛ nyimpa nya wiadze nyina, na sɛ ɔyew noho, anaaso ɔhwer ne kra a, ebɛn mfaso na obenya?", ""
"LUK.9.26", "Osiandɛ obiara a n'enyi bɔto emi nye me nsɛm ho no, ɔno na nyimpa Ba no n'enyi bɔto no ho, ber a ɔdze nankasa nye n'Egya nye abɔfo krɔnkrɔn enyimnyam no bɛba no.", ""
"LUK.9.27", "Na meka kyerɛ hom nokwar mu dɛ, Hɔn a wogyina ha yi, binom wɔ hɔ a wɔronnsɔ owu nnhwɛ ansaana woehu Nyankopɔn n'ahenman no.", ""
