"LUK.14.1", "Ahomgyeda bi, Jesus kɔr Farisiifo panyin bi ne fie kedzidzii, na nkorɔfo tsetsɛɛw no.", ""
"LUK.14.2", "Na hwɛ, nyimpa bi wɔ n’enyim hɔ a ɔyar ahohon.", ""
"LUK.14.3", "Na Jesus bisaa mbrakyerɛfo nye Farisiifo no dɛ,  Ana ɔfa mbra mu dɛ wɔsa yarba ahomgyeda anaadɛ wɔnnsa?", ""
"LUK.14.4", "Na wɔyɛɛ komm. Na ɔfaa no saa no yarba, na ɔmaa ɔkɔree.", ""
"LUK.14.5", "Na obisaa hɔn dɛ,  Hom mu woana, na n’asoasopɔnkɔ anaa ne nantwi kɔtɔ bura mu ahomgyeda a, ɔnnkɔtwe no ntsɛmara?", "#Mat 12.11"
"LUK.14.6", "Na woenntum emmbua no yinom ho bi bio.", ""
"LUK.14.7", "Na ohun dɛ hɔn a wɔfrɛɛ hɔn edzidzi no hwehwɛ mpanyin tsenabea no, obuu bɛ kaa kyerɛɛ hɔn dɛ,", ""
"LUK.14.8", "Sɛ obi to nsa frɛ wo ayefor ase a, mma nnkɛtsena mpanyin tsenabea; bi a ɔafrɛ obi a ɔyɛ onyimnyamfo sen wo,", "#Mbɛ 25.6, 7"
"LUK.14.9", "na nyia ɔfrɛɛ hom no ba a, ɔbɛse wo dɛ, Ma oyi kwan, na edze enyito bɛhyɛ ase akɛfa tsenabea a ɔnnkrɔn.", ""
"LUK.14.10", "Ntsi sɛ wɔfrɛ wo a, kɔ kɛtsena bea a ɔnnkrɔn, ama nyia ɔtoo nsa ɔfrɛɛ wo no ba a, ɔaase wo dɛ, Me gyafo, bra kan, bɛtsena ha; nna ibenya enyidzi wɔ hɔn a wɔnye wo tse edzidzii no enyim.", ""
"LUK.14.11", "Osiandɛ obiara a ɔbɛma noho do no, wɔbɛbrɛ no adze; na obiara a ɔbɛbrɛ noho adze no, wɔbɛma no do.", "#Mat 23.12; Luk 18.14"
"LUK.14.12", "Nna ɔsee nyia ɔfrɛɛ hɔn no so dɛ, Sɛ eto pon ewia anaa anadwe a, mma mmfrɛ w’anyɛnkofo, anaa wo nuanom, anaa w’ebusuafo, anaadɛ wo sɔnmufo ahonyafo: bɛyɛ na hɔn so ɔaafrɛ wo bi, ma enya akatua.", ""
"LUK.14.13", "Na sɛ eto pon a, frɛ ehiafo, nye epirafo, nye mpakye, nye enyifurafo:", ""
"LUK.14.14", "na ibenya nhyira, osiandɛ wonnyi dza wɔdze botua wo kaw; na atseneneefo wunyan no mu nna wobotua wo kaw.", ""
"LUK.14.15", "Na hɔn a wɔnye no tse edzidzii no mu baako tsee dɛm no, ɔsee no dɛ, Nhyira aka nyia obedzidzi wɔ Nyankopɔn ahenman no mu.", ""
"LUK.14.16", "Na Jesus see no dɛ,  Nyimpa bi too pon kɛse, na ɔfrɛɛ nyimpa pii;", ""
"LUK.14.17", "na edzidziber durii no, ɔsomaa n’akowaa dɛ ɔnkɛse hɔn a wɔfrɛɛ hɔn no dɛ, Hom mbra, na ndzɛmba nyina ayɛ krado.", ""
"LUK.14.18", "Na hɔn nyina nam adwen kor do hyɛɛ ase yiyii ano. Nyia odzi kan no see dɛ, Matɔ asaase bi, na ohia dɛ mokɔhwɛ: meserɛ wo, ma me kwan.", ""
"LUK.14.19", "Na ɔbaako so see dɛ, Matɔ anantwi mpamho enum, na morokɔsɔ hɔn ahwɛ: meserɛ wo ma me kwan.", ""
