"LUK.17.1", "Na ɔkaa kyerɛɛ n’esuafo no dɛ,  Ɔyɛ dɛn ara a fintsidua bɛba: na nyia ɔnam no do bɛba no ndue!", ""
"LUK.17.2", "Oye ma no dɛ wɔdze ewuyambo sɛn no kɔn mu, na wɔdze no kɔto po mu, kyɛn dɛ ɔbɔto nkakraba yi mu baako fintsidua.", ""
"LUK.17.3", "Hom nhwɛ homho yie: sɛ wo nua fom wo a, ka n’enyim; na sɛ onu noho a, fa kyɛ no.", "#Mat 18.15"
"LUK.17.4", "Na sɛ ɔfom wo mpɛn esuon da kor, na sɛ ɔsan ba wo hɔ mpɛn esuon da kor se dɛ, Menu moho a, fa kyɛ no.", ""
"LUK.17.5", "Na asomafo no see Ewuradze dɛ, To hɛn gyedzi mu.", ""
"LUK.17.6", "Na Ewuradze see dɛ,  Sɛ hom wɔ gyedzi a ɔtse dɛ sinape abafua a ne kɛse tse dɛ wusa aba a,     nkyɛ hom bɛse ankye dua yi dɛ, Wo ndwow ase ntutu, na kɛtsɛw po mu, na nkyɛ obetsie hom.", "#17.6 SINAPE: Iyi yɛ Griik kasa a ogyina hɔ ma Mustard. Ɔyɛ aba ketseketse bi naaso onyin yɛ dua kɛsenara."
"LUK.17.7", "Na hom mu woana na ɔwɔ akowaa a ofuntum daadze, anaa ɔhwɛ nguantsen, na sɛ ofi hamu ba fie a, ɔbɛse no dɛ, Bra ntsɛm bɛtsena edzidzi;", ""
"LUK.17.8", "na mbom ɔrennse no dɛ, Siesie dza mibedzi na bɔ woho do bɔsom me, na mindzidzi na monnom ana, na ekyirii wo so edzidzi na anom?", ""
"LUK.17.9", "Ana ɔbɛda akowaa no ase dɛ ɔayɛ dza wɔhyɛɛ no no?", ""
"LUK.17.10", "Dɛmara na hom so sɛ hom wie dza wɔahyɛ hom nyina yɛ a, hom nse dɛ, Yɛyɛ nkowaa a mfaso nnyi hɛn ho: yɛayɛ dza ɔsɛ dɛ yɛyɛ.", ""
"LUK.17.11", "Na ɔbaa dɛ ɔrokɔ Jerusalɛm no, okotwaa mu wɔ Samaria nye Galilii ntoaado.", ""
"LUK.17.12", "Na ɔrekɛhɛn kurow bi mu no, mbarimba du a wɔyɛ akwatafo hyiaa no a wogyinagyinaa ekyir;", ""
"LUK.17.13", "na wɔmaa hɔn ndze do see dɛ, Yewura Jesus, hu hɛn mbɔbɔr.", ""
