"LUK.18.1", "Na obuu hɔn bɛ bi dze kyerɛɛ dɛ otwar dɛ nyimpa bɔ mpaa daa, na ɔnntɔ bahaw:", ""
"LUK.18.2", "Ɔtsɛmbuafo bi wɔ kurow bi mu a onnsuro Nyankopɔn, eso ɔmmfɛr nyimpa.", ""
"LUK.18.3", "Nna okunafo bi wɔ kurow no mu; na ɔdze ne nkyɛn mbae ara bɛsee dɛ, Dzi m’asɛm na gye me wɔ me tamfo nsamu.", ""
"LUK.18.4", "Na ɔammpen ma ɔkyɛr kakra; na n’ekyir no ɔkae wɔ no mu dɛ, Munnsuro Nyankopɔn eso memmfɛr nyimpa,", ""
"LUK.18.5", "naaso osiandɛ okunafo yi rehaw me ntsi, mibedzi n’asɛm ama no, amma ɔaammfa ne ba a ɔba daa no ammbɛtseetsee me.", ""
"LUK.18.6", "Na Ewuradze see dɛ,  Hom ntsie dza ɔtsɛmbuafo a ɔnntsen yi mpo reka.", ""
"LUK.18.7", "Ana Nyankopɔn nnkedzi ama ne mpamufo a wosu frɛ no adzekyee nye adzesaa? Aso ɔbɛkyɛr hɔn asɛm ho pii ana ɔaboa hɔn?", ""
"LUK.18.8", "Mese hom dɛ, obedzi asɛm agye hɔn ntsɛm. Naaso sɛ nyimpa Ba no ba a, ana obohu gyedzi wɔ asaase do anaa?", ""
"LUK.18.9", "Na obuu binom a wɔdze hɔnho twer hɔnho dɛ wɔtsen na wommbu nkaa no bi bɛ yi dɛ,", ""
"LUK.18.10", "Nyimpa beenu kɔr asɔrfi mu dɛ wɔrokɔsɔr; ɔbaako yɛ Farisiinyi, na ɔbaako so yɛ towgyenyi.", ""
"LUK.18.11", "Farisiinyi no gyinae sɔree wɔ no mu dɛ, Nyankopɔn, meda wo ase dɛ menntse dɛ mbrɛ nyimpa nkaa no tse, apempensifo, nkontompɔfo, nyefafo, anaa dɛ towgyenyi yi mpo.", ""
"LUK.18.12", "Midzi mbuada mpɛn ebien wɔ dapɛn mu; miyi dza mowɔ nyina do ebupɛndu du mema.", ""
"LUK.18.13", "Na towgyenyi no gyinaa ekyirekyir, ɔammpɛ dɛ ɔma n’enyiwa do kyerɛ sor mpo, na ɔdze ne nsa hwee koko do see dɛ, Nyankopɔn, hu emi dzebɔnyɛnyi mbɔbɔr.", ""
"LUK.18.14", "Mese hom dɛ, Oyi dze bem saan ne fie mbom, kyɛɛn ɔbaako no: na obiara a ɔbɛma noho do no, wɔbɛbrɛ no adze; na obiara a ɔbɛbrɛ noho adze no, wɔbɛma no do.", "#Mat 23.12; Luk 14.11"
"LUK.18.15", "Na wɔdze hɔn mbɔdomaba so brɛɛ no dɛ ɔmfa ne nsa nka hɔn; na esuafo no hunii no, wotwuuw hɔn enyim.", ""
"LUK.18.16", "Na Jesus frɛɛ hɔn baa ne nkyɛn, na ɔsee dɛ, Hom mma mbofraba no kwan ma wɔmbra me nkyɛn, na mma hom nnsiw hɔn kwan, na woyi dɛm na Nyankopɔn ahenman no yɛ hɔndze.", ""
"LUK.18.17", "Meka no nokwar mu kyerɛ hom dɛ, Obiara a ɔnnkɛgye Nyankopɔn ahenman no dɛ abofraba no, ɔnnkɔkɔ mu da.", ""
"LUK.18.18", "Na ɔpanyin bi bisaa no dɛ, Kyerɛkyerɛfo pa, ebɛnadze na menyɛ ma meenya onnyiewiei nkwa ayɛ medze?", ""
"LUK.18.19", "Na Jesus see no dɛ,  Ɔyɛ dɛn na efrɛ me papa? Obiara nnyɛ papa gyedɛ ɔbaako: ɔno nye Nyankopɔn.", ""
