"LUK.19.1", "Na ɔkɛhɛɛn Jeriko dɛ orutwa mu wɔ hɔ.", ""
"LUK.19.2", "Na hwɛ, ɔbarimba bi wɔ hɔ a wɔfrɛ no Zakeɔs a ɔyɛ towgyenyi panyin, na ɔyɛ ɔhonyanyi.", ""
"LUK.19.3", "Na ɔpɛɛ dɛ ohu Jesus ne nyimpa ban; naaso nyimpadodow no ntsi nna onntum, osiandɛ ɔyɛ akɔtsia.", ""
"LUK.19.4", "Na otutuu mbirika dzii kan kɔfoow ankye dua dɛ ɔrokɔhwɛ no, osiandɛ hɔ na ɔrebɛfa.", ""
"LUK.19.5", "Na Jesus dur hɔ no, ɔhwɛɛ sor, na ɔsee no dɛ,  Zakeɔs, yɛ ntsɛm si famu, na ndɛ ɔsɛ dɛ metsena wo fie.", ""
"LUK.19.6", "Na ɔyɛɛ ntsɛm sii famu, na ɔdze dɛw bɛgyee no.", ""
"LUK.19.7", "Na dɔm no hunii no, hɔn nyina hwinhwiin dɛ, Ɔakɔ akɔsoɛ nyimpa a ɔyɛ dzebɔnyɛnyi.", ""
"LUK.19.8", "Na Zakeɔs gyinae, na ɔkaa kyerɛɛ Ewuradze dɛ, Ao Ewuradze, medze m'ahodze fa mekyɛ ehiafo; na sɛ menam ndabraba do magye obi ne biribi a, mobɔ ho mpɛn anan mutua kaw.", ""
"LUK.19.9", "Na Jesus see no dɛ,  Nokwasɛm nye yi, ndɛ na nkwagye aba fie yi mu, osiandɛ no so yɛ Abraham ba bi no.", ""
"LUK.19.10", "Na nyimpa Ba no baa dɛ ɔrobɔhwehwɛ na ɔabɛgye dza ɔayew no.", "#Mat 18.11"
"LUK.19.11", "Na woritsie no no, ɔtoaa do buu bɛ yi, osiandɛ nna ɔabɛn Jerusalɛm na dɔm no susuu dɛ amonmu hɔ ara na Nyankopɔn n'ahenman no ribeyi noho edzi.", "#Mat 25.14-30"
"LUK.19.12", "Dɛm ntsi ɔsee dɛ,  Ɔdehye bi kɔr asaase bi do ekyirekyir dɛ ɔrekɛgye ahendzi, na ɔasan aba.", ""
"LUK.19.13", "Na ɔfrɛɛ no nkowaa du, na ɔdze mpireguan     du maa hɔn, na ɔsee hɔn dɛ, Hom mfa ndzi gua nkodu dɛ mebɛba.", "#19.13 MPIREGUAN: Iyi yɛ dɛm ber no ɔpaanyi no bosoom ebiasa akatua."
"LUK.19.14", "Na ne mamfoo no kyiir no, na wotuu abɔfo kaa no do kɛsee dɛ, Yɛmmpɛ dɛ oyi dzi hɛn do hen.", ""
"LUK.19.15", "Na ɔbaa dɛ ne nsa kaa ahendzi no na ɔsanee bae no, ɔhyɛɛ dɛ wɔmfrɛ nkowaa a ɔdze sika no maa hɔn no mbrɛ no, na onhu dza woedzi gua enyinya.", ""
"LUK.19.16", "Na dza odzi kan no bae bɛsee dɛ, Mo wura, wo pireguan no enya mpireguan du aka ho.", ""
"LUK.19.17", "Na ɔsee no dɛ,  Mbo, akowaa pa: osiandɛ edzi ketseaba yi mu nokwar ntsi, dzi nkurow du do tum.", ""
"LUK.19.18", "Na dza otsia ebien no bae bɛsee dɛ, Mo wura, wo pireguan no enya mpireguan enum aka ho.", ""
"LUK.19.19", "Na ɔsee no so dɛ, Wo so dzi nkurow enum do.", ""
"LUK.19.20", "Na ɔbaako no bae bɛsee dɛ, Mo wura, hwɛ, wo pireguan a medze hyɛɛ duukuu mu siei no nye yi:", ""
"LUK.19.21", "na musuroo wo, osiandɛ eyɛ nyimpa a eyɛ dzen: efa dza emmfae nntoo hɔ, na itwa dza innduae.", ""
"LUK.19.22", "Ɔsee no dɛ, Wankasa w'anomu asɛm na menam do bobu wo atsɛn, akowaa bɔn. Inyim dɛ meyɛ nyimpa a meyɛ dzen a mefa dza memmfae nntoo hɔ na mutwa dza munnduae:", ""
"LUK.19.23", "na ɔyɛ dɛn ntsi na ammfa me sika annkɔto sikasesafo adaka mu, na meba a maabɛgye m'adze nye no ho nsiho?", ""
"LUK.19.24", "Na ɔsee hɔn a wogyina hɔ no dɛ, Hom ngye ne nsamu pireguan no, na hom mfa mma nyia ɔwɔ du no.", ""
"LUK.19.25", "(Na wɔsee no dɛ, Owura, ɔwɔ mpireguan du.)", ""
"LUK.19.26", "Mese hom dɛ, obiara a ɔwɔ no, wɔbɛma no; na nyia onnyi no, dza ɔwɔ no mpo wɔbɛgye ne nsamu.", "#Mat 13.12; Mar 4.25; Luk 8.18"
"LUK.19.27", "Na m'atamfo a wɔammpɛ dɛ midzi hɔn do hen no, hom mfa hɔn mbra ha, na hom mboku hɔn wɔ m'enyim.", ""
"LUK.19.28", "Na owiee dɛm ka no, osii mu dzii kan dɛ ɔrokɔ Jerusalɛm.", ""
"LUK.19.29", "Na ɔbɛɛn Bɛtfage nye Bɛtani wɔ bepɔw a wɔfrɛ no Ngo Bepɔw ho no, ɔsomaa n'esuafo beenu", ""
"LUK.19.30", "dɛ,  Hom nkɔ ekuroba a ɔda hom enyim no mu, na hom du mu a, hom bohu asoasopɔnkɔba a wɔamontan no a nyimpa bi nntsenaa do da: hom nsan no mfa no mbra.", ""
"LUK.19.31", "Na sɛ obi bisa hom dɛ,  Ɔyɛ dɛn na hom resan no a, hom nse no dɛ, Ewuradze wɔ no ho hia.", ""
"LUK.19.32", "Na hɔn a wɔsomaa hɔn no kɔree kohun dɛ mbrɛ ɔkaa kyerɛɛ hɔn no ara.", ""
"LUK.19.33", "Na wɔresan asoasopɔnkɔba no, no wuranom see hɔn dɛ, Ɔyɛ dɛn ntsi na hom resan asoasopɔnkɔba no?", ""
