"LUK.21.1", "Na ɔmaa n'enyi do hun ahonyafo a wɔrotow hɔn ayɛyɛdze gu sikakorabea no mu.", ""
"LUK.21.2", "Na ohun kunafo hianyi bi so a ɔbɔtoow mpɛsewamba ebien guu mu.", ""
"LUK.21.3", "Na ɔsee dɛ,  Nokwar mese hom dɛ okunafo hianyi yi dze pii ebogu mu akyɛn hɔn nyina.", ""
"LUK.21.4", "Na yinom nyina dza wɔwɔ ma abor hɔn do na wɔdze bi ebogu ayɛyɛdze no mu, na oyi dze, ofi ne hia mu dze n'asetsena a ɔwɔ nyina ebogu mu.", ""
"LUK.21.5", "Na binom reka asɔrfi no ho asɛm, mbrɛ woesi dze abo fɛɛfɛw nye adzekyɛdze ahyehyɛ mu no, ɔsee dɛ,", ""
"LUK.21.6", "Ndzɛmba yi a hom hu yi, nda bɛba a wonnkegya ɔbo kor a ɔda kor do wɔ mu a wonnkodwuruw egu famu.", ""
"LUK.21.7", "Na wobisaa no dɛ, Kyerɛkyerɛnyi, dabɛn na yinom bɛyɛ hɔ, na yinom rebɛba mu a, n'asɛnkyerɛdze nye dɛn?", ""
"LUK.21.8", "Na ɔsee dɛ,  Hom nhwɛ yie amma wɔaanndaadaa hom: na dodowara bɛba wɔ me dzin mu dɛ, Emi nye no, na, Aber no abɛn: mma hom nndzi hɔn ekyir.", ""
"LUK.21.9", "Na sɛ hom tse ɔko nye basabasayɛ nka a, mma ɔnnyɛ hom hu; na otwar dɛ yinom dzi kan ba, naaso ewiei no dze, nna onndurii.", ""
"LUK.21.10", "Nna ɔsee hɔn dɛ, Ɔman bɔsoɛr ɔman do, na ahenman asoɛr ahenman do,", ""
"LUK.21.11", "na asaasewosow kɛse bɛba, na ɔkɔm nye ɔyardɔm bɛba mbeambea, na dza ɔyɛ hu nye nsɛnkyerɛdze akɛse befi sor aba.", ""
"LUK.21.12", "Na dza odzi yinom nyina kan nye dɛ wɔdze nsa bosuo hom mu, na wɔahaw hom, dze eyi hom akɔ nhyiamudan mu nye efiadze, na wɔdze hom aba ahemfo nye ambradofo enyim wɔ me dzin ntsi.", ""
"LUK.21.13", "Iyi bɛma hom enya kwan edzi mo ho dase.", ""
"LUK.21.14", "Dɛm ntsi hom mfa nto hom tsirmu mu dɛ hom nnkedzi kan adwendwen dza hom dze beyi hom ano ho:", "#Luk 12.11, 12"
"LUK.21.15", "osiandɛ emi na mebɛma hom ano nye nyansa a hom atamfo nyina runntum nngyina enyim, eso worunntua ano.", ""
"LUK.21.16", "Na awofo, nye nuanom, nye ebusuafo, nye anyɛnkofo beyi hom ama, na wɔama woeeku hom mu binom,", ""
"LUK.21.17", "na nyimpa nyina bɛtan hom wɔ me dzin ntsi.", ""
"LUK.21.18", "Naaso hom tsinhwi kor mpo nnkɛyew.", ""
"LUK.21.19", "Hom abotar mu na hom bɛgye hom akra.", ""
"LUK.21.20", "Na sɛ hom hu Jerusalɛm dɛ dɔm etwa ho ehyia a, nna hom nhu dɛ ne nsɛɛe abɛn.", ""
"LUK.21.21", "Ɔno na hɔn a wɔwɔ Judea nguan nkɔ nkokwaa do, na wɔmma hɔn a wɔwɔ mu no mfi mu nkɔ, na mma hɔn a wɔwɔ haban mu no nnkɔ mu.", ""
"LUK.21.22", "Na iyi nye awerdzi nda, ma dza wɔakyerɛw nyina aaba mu.", "#Hos 9.7"
"LUK.21.23", "Na hɔn a wɔafa yafun, nye hɔn a wɔma enumfo wɔ nda no mu ndue! Osiandɛ atseetsee kɛse bɛba asaase no do, na ebufuw bɛba ɔman no mu.", ""
"LUK.21.24", "Na wɔbɔtotɔ nkrantsee anomu, na wɔafa hɔn ndɔmmum akɔ aman nyina do, na amanamamfo betsiatsia Jerusalɛm do ekodu dɛ amanaman aber no bɔso.", ""
"LUK.21.25", "Na nsɛnkyerɛdze bɛba ewia nye bosoom nye nworaba mu, na asaase do amanaman ho bɛhyehye hɔn kɛse, ɔnam po gyigyeegye nye asorɛkye a oruhur ntsi;", "#Isa 13.10; Eze 32.7; Joel 2.31; Nyi 6.12, 13"
"LUK.21.26", "nyimpa bɔtɔ akɔtɔmborɔnsa wɔ hu nye ndzɛmba a hɔn enyi tua dɛ ɔreba wiadze do ntsi, na ɔsor etum bɔwosow.", ""
"LUK.21.27", "Ɔno na wobohu nyimpa Ba no dɛ ɔreba wɔ nsuwusiw do, wɔ ahoɔdzen nye enyimnyam kɛse mu.", ""
"LUK.21.28", "Na sɛ ndzɛmba yi hyɛ ase reba a, ɔno na hom nhwɛ sor, na hom mma hom tsir do, osiandɛ hom ber a wɔdze bɔpon hom no edu.", ""
