"LUK.22.1", "Na epitsi afahyɛ no a wɔfrɛ no Apaho no bɛnee.", "#Eks 12.1-27"
"LUK.22.2", "Na asɔfompanyin nye kyerɛwfo no hwehwɛɛ mbrɛ wɔbɛyɛ eku Jesus, naaso nna wosuro nkorɔfo no.", ""
"LUK.22.3", "Na Satan kɛhɛɛn Judas a wɔfrɛ no Iskariot a ɔyɛ duebien no mu baako no mu.", ""
"LUK.22.4", "Na ɔkɔree nye asɔfompanyin nye asafohen no kɛhyehyɛɛ mbrɛ ɔbɛyɛ eyi no ama hɔn.", ""
"LUK.22.5", "Na ɔyɛɛ hɔn dɛw, na wɔnye no hyehyɛɛ dɛ wɔbɛma no sika.", ""
"LUK.22.6", "Na ɔbɔɔ hɔn anohoba, na ɔhwehwɛɛ mbrɛ obenya kwan edua nyimpadodow no ekyir eyi no ama hɔn.", ""
"LUK.22.7", "Na epitsi da a ɔsɛ dɛ woku apahoguan no durii.", ""
"LUK.22.8", "Na ɔsomaa Peter nye John dɛ,  Hom nkɔ nkesiesie apaho no mma hɛn ma yembedzi.", ""
"LUK.22.9", "Na wɔsee no dɛ, Hen na epɛ dɛ yekesiesie?", ""
"LUK.22.10", "Na ɔsee hɔn dɛ,  Sɛ hom du kurow no mu a, nyimpa bi a ɔso esuhina behyia hom: hom nka no do nkɔ fie a ɔbɔkɔ mu no mu,", ""
"LUK.22.11", "na hom nse fiewura no dɛ, Kyerɛkyerɛnyi no se, Ahɔhodan a menye m'esuafo bedzi mu apaho no wɔ hen?", ""
"LUK.22.12", "Na ɔbɛkyerɛ hom sor dan kɛse bi a wɔahyehyɛ mu: hɔ na hom nsiesie.", ""
"LUK.22.13", "Na wɔkɔree kohun dɛ mbrɛ ɔsee hɔn no, na wosiesiee apaho no.", ""
"LUK.22.14", "Na dɔn no durii no, ɔbɛtsenaa ase, na asomafo duebien no ka no ho.", ""
"LUK.22.15", "Na ɔsee hɔn dɛ,  Mo kɔn adɔ akyɛr dɛ menye hom dzi apaho yi ansaana mehu amandze:", ""
"LUK.22.16", "na mese hom dɛ, Mirinndzi bi bio gyedɛ ber a ɔaba mu wɔ Nyankopɔn ahenman mu no.", ""
"LUK.22.17", "Na ɔfaa kɔɔpow na ɔdaa ase no, ɔsee dɛ,  Hom ngye yi nkyɛ mma homho:", ""
"LUK.22.18", "na mese hom dɛ, Moronnom wenyinaba no bi bio dze ekodu dɛ Nyankopɔn ahendzi bɛba.", ""
"LUK.22.19", "Na ɔfaa paanoo na ɔdaa ase no, obubui, na ɔdze maa hɔn dɛ,  Iyi nye me nyimpadua a wɔdze rema wɔ hom ntsi: hom nyɛ yi mfa nyɛ me nkaa.", ""
"LUK.22.20", "Dɛmara so na wowiee edzidzi no, ɔfaa kɔɔpow no see dɛ,  Kɔɔpow yi nye ahyɛmu fofor no wɔ mo bɔgyaa mu, ɔno na hom ntsi woruhue egu.", ""
"LUK.22.21", "Na hwɛ, nyia oriyi me ama no ne nsa nye me wɔ pon no do.", ""
"LUK.22.22", "Na nokwar, nyimpa Ba no rokɔ dɛ mbrɛ wɔahyɛ no dze, naaso nyimpa a wɔnam no do ribeyi no ama no ndue!", ""
"LUK.22.23", "Na wɔhyɛɛ ase bisabisaa hɔn mu dɛ woana na ɔrebɛyɛ dɛm adze yi?", ""
"LUK.22.24", "Na noko bi so baa hɔn mu dɛ hɔn mu woana na wobobu no kɛse.", "#Mat 18.1; Mar 9.34; Luk 9.46"
"LUK.22.25", "Na ɔsee hɔn dɛ,  Amanaman ahemfo dzi hɔn do wura, na hɔn a wodzi hɔn do tum no, wɔfrɛ hɔn Ayamuyiefo.", "#Mat 20.25-27; Mar 10.42-44"
"LUK.22.26", "Na hom dze, mma hom nnyɛ dɛm: na mbom nyia ɔyɛ hom mu kɛse, wɔmma ɔnyɛ dɛ ekumaba, na nyia ɔyɛ otsitsir no, ɔnyɛ dɛ nyia ɔsom.", "#Mat 23.11; Mar 9.35"
"LUK.22.27", "Na woana na ɔyɛ kɛse, nyia ɔtse edziban ho anaa nyia ɔsom a? Nnyɛ nyia ɔtse edziban ho anaa? Na emi dze, mowɔ hom mu dɛ nyia ɔsom.", "#Joh 13.12-15"
"LUK.22.28", "Na hom nye hɔn a hom da ho ka mo ho wɔ mo nsɔhwɛ mu;", ""
"LUK.22.29", "na mo so mehyɛ ahendzi ma hom, dɛ mbrɛ m'Egya ahyɛ ama me no,", ""
"LUK.22.30", "ama hom eedzidzi na hom aanom wɔ mo pon do wɔ m'ahenman mu; na hom bɛtsena nhengua do ebu Israel ebusuakuw duebien no atsɛn.", ""
"LUK.22.31", "Simon, Simon, hwɛ, Satan ebisa dɛ obenya hom na ɔapo hom do dɛ eburow;", ""
"LUK.22.32", "na maserɛ ama wo, amma wo gyedzi aammpa, na sɛ daakye esan gyina a, hyɛ wo nuanom dzen.", ""
"LUK.22.33", "Na ɔsee no dɛ, Ewuradze, mayɛ krado dɛ menye wo bɔkɔ efiadze nye wu nyina mu.", ""
"LUK.22.34", "Na ɔsee dɛ,  Peter, Meka kyerɛ wo dɛ akokɔ rommbɔn ndɛ ansaana asan mprɛnsa dɛ innyim me.", ""
"LUK.22.35", "Na obisaa hɔn dɛ,  Mosomaa hom a hom nndze sika kotoku nye bɔtɔ nye mpaboa no, biribi hiaa hom anaa?  Na wɔsee dɛ, Ennhia hɛn hwee.", ""
"LUK.22.36", "Na ɔsee hɔn dɛ,  Afei dze, nyia ɔwɔ sika kotoku, ma ɔmfa, na bɔtɔ so dɛmara, na nyia onnyi bi no, ma ɔntɔn no sortar ntɔ afona.", ""
"LUK.22.37", "Na mese hom dɛ iyi a wɔakyerɛw no otwar dɛ ɔba mu wɔ mo ho dɛ, Wɔkaan no foraa mbratofo, na dza ɔfa mo ho no rebɛba mu.", ""
"LUK.22.38", "Na wɔsee dɛ, Ewuradze, hwɛ, mfona ebien nye yi. Na ɔsee hɔn dɛ,  Ɔnoara ye.", ""
"LUK.22.39", "Na opuei, na dɛ mbrɛ ɔtɔ dɛ ɔyɛ no, ɔkɔr Ngo Bepɔw do, na n'esuafo no so kaa no do.", ""
"LUK.22.40", "Na odur hɔ no, ɔsee hɔn dɛ,  Hom nsɔr ama hom aannkɔ nsɔhwɛ mu.", ""
"LUK.22.41", "Na ɔtwee noho fii hɔn nkyɛn bɛyɛ dɛ ɔbotowee na ɔkɔkotoow ne ntwɛr enyim sɔɔr dɛ,", ""
"LUK.22.42", "Egya, sɛ epɛ a, yi kɔɔpow yi pa mo ho; naaso nnyɛ emi me pɛ a, na wodze na ɔnyɛ hɔ.", ""
"LUK.22.43", "Na ɔbɔfo bi fi sor beyii noho kyerɛɛ no hyɛɛ no dzen.", ""
"LUK.22.44", "Na owuyaw mu no, ɔbɔɔ mpaa enyiberdo, na ne fifir yɛɛ dɛ bɔgya atɔwatɔw a ɔsosɔ famu.", ""
"LUK.22.45", "Na ɔsoɛree fii n'asɔryɛ mu no, ɔbaa n'esuafo no nkyɛn na obohun hɔn dɛ awerɛhow ntsi wɔadeda.", ""
"LUK.22.46", "Na ɔsee hɔn dɛ,  Ɔyɛ dɛn na hom ada yi? Hom nsoɛr nsɔr mma hom aannkɔ nsɔhwɛ mu.", ""
