"LUK.23.1", "Na nyimpadodow no nyina soɛree, na wɔdze no kɔr Pilate nkyɛn.", ""
"LUK.23.2", "Na wɔhyɛɛ ase toatoaa no dɛ, Yeehu oyi dɛ ɔresɛɛ hɛn man yi na ɔbra dɛ mma wɔmma Kaesar ntoboa, na ɔka dɛ nankasa nye Kraest, ɔhen no.", ""
"LUK.23.3", "Na Pilate bisaa no dɛ, Ana Jewfo Hen nye wo? Na obuaa no dɛ,  Aka.", ""
"LUK.23.4", "Pilate see asɔfompanyin nye nyimpadodow no dɛ, Munnhu afɔdzi biara wɔ nyimpa yi ho.", ""
"LUK.23.5", "Na mbom wogyinaa do dzendzen dɛ, Ohuenyan ɔman no, na ɔkyerɛkyerɛ wɔ Judea man nyina mu, ɔhyɛɛ ase wɔ Galilii na ɔdze ebodu ha yi.", ""
"LUK.23.6", "Na Pilate tsee no, obisaa dɛ nyimpa yi Galiliinyi anaa?", ""
"LUK.23.7", "Na ohun dɛ ofi Herod ase no, ɔsomaa no wɔ Herod nkyɛn, na aber no mu nna Herod nankasa so wɔ Jerusalɛm.", ""
"LUK.23.8", "Na Herod hun Jesus no, ɔyɛɛ no dɛw pii: na ɔpɛɛ dɛ obohu no akyɛr, osiandɛ ɔatse no ho asɛm, na n’enyi daa kwan dɛ obohu asɛnkyerɛdze bi a ɔbɛyɛ.", ""
"LUK.23.9", "Na obisabisaa no nsɛm pii, naaso ɔnodze, oemmbua no hwee.", ""
"LUK.23.10", "Na asɔfompanyin nye kyerɛwfo no gyinae toatoaa no dzendzenndzen ara.", ""
"LUK.23.11", "Na Herod nye no nsordaafo no bɔɔ no adapaa, na wosii no atwetwe, na wɔhyɛɛ no efuradze dɛhyɛdɛhyɛ bi dze no kɛmaa Pilate bio.", ""
"LUK.23.12", "Na da no ara na Pilate nye Herod yɛɛ nyɛnko: na nkan no dze nna wɔrotwe manso wɔ hɔn ntamu.", ""
"LUK.23.13", "Na Pilate frɛɛ asɔfompanyin nye mpanyimfo nye ɔman no boaa ano no,", ""
"LUK.23.14", "ɔsee hɔn dɛ, Hom dze nyimpa yi brɛɛ me dɛ nyia ɔresɛɛ ɔman no, na hwɛ, mahwehwɛ no mu wɔ hom enyim, naaso mennhu ndzɛmba a hom dze toatoa no yi ho afɔdzi biara wɔ nyimpa yi mu;", ""
"LUK.23.15", "oho, nnyɛ Herod so a: na ɔsomaa no sanee brɛɛ hɛn; na hwɛ, ɔnnyɛɛ okumadze biara.", ""
"LUK.23.16", "Dɛm ntsi mobɔhwe no, na megyaa no.", ""
"LUK.23.17", "[Nna otwar dɛ ogyaa kor ma hɔn afahyɛ no mu.]", "#23.17 Tsetse akyerɛw no bi dze dɛm nkyekyɛmu yi sɔw do."
"LUK.23.18", "Na hɔn nyina tseaa mu prɛko dɛ, Fa oyi kɔ, na gyaa Barabbas ma hɛn:", ""
"LUK.23.19", "(ɔno na osian sakasaka a wɔyɛɛ no kurow mu hɔ nye ewudzi ntsi wɔdze no too efiadze.)", ""
"LUK.23.20", "Na Pilate kasaa kyerɛɛ hɔn bio, pɛɛ dɛ nkyɛ ogyaa Jesus;", ""
"LUK.23.21", "na wɔtseatseaa mu dɛ, Bɔ no mbeamudua mu, bɔ no mbeamudua mu!", ""
"LUK.23.22", "Na obisaa hɔn ne mprɛnsa dɛ, Ebɛn bɔn na nyimpa yi ayɛ? Munnhu dza ɔayɛ biara a ɔsɛ dɛ owu: dɛm ntsi mobɔhwe no, na megyaa no.", ""
"LUK.23.23", "Na wɔdze ndze kɛse daa ho tseaa mu dɛ wɔmbɔ no mbeamudua mu. Na hɔn ndze hyɛɛ nedze no do.", ""
"LUK.23.24", "Na Pilate buu atsɛn dɛ wɔnyɛ hɔn ebisadze mma hɔn.", ""
"LUK.23.25", "Na nyia osian sakasaka nye ewudzi ntsi wɔdze no too efiadze no a wɔserɛɛ maa no no, ogyaa no, na Jesus dze, oyii no maa hɔn pɛ.", ""
"LUK.23.26", "Na wɔdze no rokɔ no, wosuoo Simon bi a ofi Sirene a nna ofi haban mu reba mu, na wɔdze mbeamudua no too no do dɛ ɔnsoa ndzi Jesus n’ekyir.", ""
"LUK.23.27", "Na ɔman no mu nyimpadodow kɛse kaa no do, nye mbaa a woridzi no nkɔmbɔ na worusu.", ""
"LUK.23.28", "Na Jesus daan noho hwɛɛ hɔn, na ɔsee dɛ,  Jerusalɛm mbabaa, mma hom nnsu mma me, na hom nsu mma homho nye hom mba.", ""
"LUK.23.29", "Na hwɛ, nda reba a wɔbɛse dɛ, Nhyira nye abɔnyin, nye yafun a ɔnnwoo da, nye numfo a wonnuum da.", ""
"LUK.23.30", "Ɔno na wɔbɛhyɛ ase aka akyerɛ nkokwaa dɛ, Hom nhwe hɛn do, na mbepɔw dɛ, Hom nkata hɛn do.", "#Hos 10.8; Nyi 6.16"
"LUK.23.31", "Na sɛ wɔdze iyi yɛ duamon a, ebɛnadze na wɔdze bɛyɛ duawui?", ""
"LUK.23.32", "Na wɔdze mbratofo beenu kaa no ho kɔree, dɛ wonkoku hɔn.", ""
"LUK.23.33", "Na wodur beebi a wɔfrɛ hɔ Tsikwankora Bea no, wɔbɔɔ no mbeamudua mu wɔ hɔ, ɔnye mbratofo no, ɔbaako wɔ ne nyimfa, na ɔbaako wɔ n’abankum.", ""
"LUK.23.34", "Na Jesus see dɛ, Egya, fa kyɛ hɔn, na wonnyim dza wɔreyɛ. Na wɔkyɛɛ n’atar mu twee ho tonto.", "#Dwom 22.18"
"LUK.23.35", "Na ɔman no gyinaa hɔ hwɛe. Na mpanyimfo no so sii no atwetwe dɛ, Ɔgyee binom: ma ɔngye noho, ɛhɛɛ, sɛ ɔno nye Kraest a Nyankopɔn eyi no no a.", "#Dwom 22.7"
"LUK.23.36", "Na nsordaafo no so sii no atwetwe, na wɔdze wenyin yerɛyerɛw bɛmaa no,", "#Dwom 69.21"
"LUK.23.37", "na wɔsee dɛ, Sɛ ɔwo nye Jewfo Hen no a, gye woho.", ""
"LUK.23.38", "Nna akyerɛw bi so wɔ n’etsifi dɛ, OYI NYE JEWFO HEN NO.", ""
"LUK.23.39", "Na mbratofo a wɔsɛɛn hɔn no mu baako yaaw no dɛ, Nnyɛ ɔwo nye Kraest no a? Gye woho na gye hɛn ɛ.", ""
"LUK.23.40", "Na ɔbaako no buaa no kaa n’enyim dɛ, Ana innsuro Nyankopɔn, dɛ ewɔ afɔbu kor yi ara mu?", ""
"LUK.23.41", "Na hɛn dze, ɔfata hɛn, osiandɛ hɛn nsa aka akatua a ɔsɛ hɛn ndzeyɛɛ; na oyi dze, ɔmmfomee wɔ biribiara ne nyɛe mu.", ""
"LUK.23.42", "Na ɔsee dɛ, Jesus, sɛ eba w’ahendzi mu a, kaa me.", ""
"LUK.23.43", "Na Jesus buaa no dɛ,  Ampaara mese wo dɛ ndɛ ebɛka mo ho wɔ Paradise hɔ.", ""
"LUK.23.44", "Na bɛyɛ dɛ ewiaber duebien no, sum hyɛɛ asaase no nyina do kodur ndɔnebiasa no.", ""
"LUK.23.45", "Na ewia kɔr sum; na asɔrdan no mu ntwamutam no tseew ebien wɔ finimfin.", "#Eks 26.31-33"
