"LUK.24.1", "Na da a odzi dapɛn no kan no, anapaatu no na mbaa no dze nduhuam a wosiesiei no kɔr nda no do.", ""
"LUK.24.2", "Na wokohun ɔbo no dɛ woepirew no efi nda no abowano.", ""
"LUK.24.3", "Na wɔhɛɛn mu no, woennhu Ewuradze Jesus no fun.", ""
"LUK.24.4", "Na ɔbaa dɛ iyi yɛɛ hɔn adwen mu basabasa no, hwɛ, mbarimba beenu begyinaa hɔn nkyɛn a wɔhyɛ ntar hyɛnhyɛn;", ""
"LUK.24.5", "na hu kaa hɔn, na wɔbɔɔ hɔn enyi adze sensɛɛn famu no, wɔsee hɔn dɛ, Ɔyɛ dɛn na hom rohwehwɛ nyia ɔtse ase no wɔ ewufo mu yi?", ""
"LUK.24.6", "Onnyi ha, na ɔasoɛr: hom nkaa mbrɛ ɔda ho wɔ Galilii no, ɔkaa kyerɛɛ hom dɛ", "#Mat 16.21; 17.22, 23; 20.18, 19; Mar 8.31; 9.31; 10.33, 34; Luk 9.22; 18.31-33"
"LUK.24.7", "ɔsɛ nyimpa Ba no dɛ wobeyi no ahyɛ ndzebɔnyɛfo nsa na wɔabɔ no mbeamudua mu na da a otsia ebiasa no ɔasoɛr bio no.", ""
"LUK.24.8", "Na wɔkaa ne nsɛm no,", ""
"LUK.24.9", "na wofii nda no do sanee bɛkaa ndzɛmba yi nyina kyerɛɛ dubiako no, nye nkaa no nyina.", ""
"LUK.24.10", "Mary Magdalene nye Joana nye James ne na Mary, nye mbaa nkaa a wɔka hɔn ho no na wɔbɛkaa nsɛm yinom kyerɛɛ asomafo no.", ""
"LUK.24.11", "Na nsɛm yi yɛɛ hɔn dɛ nsɛnhun, na wɔanngye hɔn enndzi.", ""
"LUK.24.12", "Na Peter dze, ɔsoɛree tutuu mbirika kɔr nda no do, na ɔbɔɔ no mu adze no, ohun dɛ ndwera atam no nko gugu hɔ; na ɔsanee kɔr ne fie, na dza esi no yɛɛ no nwanwa.", "#24.12 Tsetse akyerɛwfo binom mmfa nkyekyɛmu 12 yi nnka ho."
"LUK.24.13", "Na hwɛ, da no ara, hɔn mu beenu sii mu kɔr ekuroba bi a ne dzin dze Emmaus a ofi Jerusalɛm kɔ hɔ bɛyɛ akwansimba eduosia mu.", ""
"LUK.24.14", "Nna woridzi nsɛm a aba yi nyina ho nkɔmbɔ.", ""
"LUK.24.15", "Na ɔbaa dɛ, woridzi nkɔmbɔ na woribisabisa hɔnho nsɛm no, Jesus nankasa twee bɛɛn hɔn nye hɔn siaan anan kɔree.", ""
"LUK.24.16", "Naaso wosuoo hɔn enyiwa mu, ma woennhu ne nyimpa ban.", ""
"LUK.24.17", "Na obisaa hɔn dɛ,  Ebɛn nsɛm nye yi a hom dze ridzi nkɔmbɔ nam yi? Na wogyinae a hɔn werɛ ahow.", ""
"LUK.24.18", "Na hɔn mu baako a ne dzin dze Kleopas see no dɛ, Ana ɔwo nko na eyɛ hɔho wɔ Jerusalɛm, ma innyim dza ɔaba nda yi mu yi?", ""
"LUK.24.19", "Na obisaa hɔn dɛ,  Ebɛnadze a?  Na wɔsee no dɛ, Dza ɔfa Jesus Nazarɛtnyi a ɔyɛ nkɔnhyɛnyi tumfo wɔ ndzeyɛɛ nye kasa mu wɔ Nyankopɔn nye ɔman nyina enyim no ho:", ""
"LUK.24.20", "mbrɛ asɔfompanyin nye hɛn mpanyimfo no yii no maa dɛ wombu no fɔ nku no, na wɔbɔɔ no mbeamudua mu.", ""
"LUK.24.21", "Na hɛn dze, hɛn enyi daa kwan dɛ nkyɛ ɔno nye nyia ɔrebɛgye Israel. Na iyi nyina ekyir so, wɔyɛɛ ndzɛmba yi ndaansa nye ndɛ.", ""
"LUK.24.22", "Na mbaa bi so a wofi hɛn mu a wɔkɔr nda no do anapahema abɛma hɛn ho abow hɛn;", ""
"LUK.24.23", "wɔbae bɛkaa dɛ woennhu no fun no, mbom woehu abɔfo bi wɔ enyido adzehu mu so a wɔkaa dɛ ɔtse ase.", ""
"LUK.24.24", "Na hɔn a wɔnye hɛn wɔ hɔ binom kɔr nda no do, na wokohun dɛ mbrɛ mbaa no so kae no ara, naaso ɔno dze, woennhu no.", ""
"LUK.24.25", "Na ɔnoara see hɔn dɛ,  Ao hom a hom adwen mu nndɔ na hom yɛ nyaa wɔ hom akoma mu dɛ hom bɛgye dza nkɔnhyɛfo no kae no nyina edzi!", ""
"LUK.24.26", "Ana ɔnnsɛ Kraest no dɛ obohu dɛm amandze na ɔakɔ n’enyimnyam mu?", ""
"LUK.24.27", "Na ɔhyɛɛ ase fi Moses nye nkɔnhyɛfo no nyina do kyerɛɛ hɔn nkyerɛw nyina mu dza ɔfa no ho no ase.", ""
"LUK.24.28", "Na wɔbɛɛn ekuroba a wɔrokɔ mu no, nna ɔyɛɛ dɛ dza ɔrokɔ n’enyim.", ""
"LUK.24.29", "Na wɔhyɛɛ no dɛ, Nye hɛn ntsena, na orudu ewimbir, na adze reyɛ asa. Na ɔmanee dɛ ɔnye hɔn bɛtsena.", ""
"LUK.24.30", "Na ɔbaa dɛ ɔnye hɔn tse edzidzii no, ɔfaa paanoo, na ohyiraa do, na obubui maa hɔn.", ""
"LUK.24.31", "Na hɔn enyiwa buei ma wohun no, na ɔyeew hɔn enyiwa do.", ""
"LUK.24.32", "Na wɔsesee hɔnho dɛ, Ɔnye hɛn rekasa wɔ kwan mu, na obuee kyerɛwnsɛm no mu kyerɛɛ hɛn no, aso hɛn akoma anndzɛw hɛn mu dɛɛdɛɛw?", ""
"LUK.24.33", "Na wɔsoɛɛr dɔn no ara mu sanee baa Jerusalɛm, na wobohun dubiako no nye hɔn a wɔka hɔn ho no dɛ wɔaboa hɔn ano,", ""
"LUK.24.34", "na wɔreka dɛ, Ewuradze asoɛr ampa, na oeyi noho akyerɛ Simon.", ""
"LUK.24.35", "Na hɔn so wɔkaa dza ɔbaa kwan no mu, na mbrɛ wohun no wɔ paanoo bu mu no kyerɛɛ hɔn.", ""
"LUK.24.36", "Na wɔrekasa dɛm no, Jesus nankasa begyinaa hɔn finimfin, na ɔsee hɔn dɛ,  Asomdwee nka hom.", ""
"LUK.24.37", "Na wɔbobɔɔ piriw na hu kaa hɔn, na wosusuu dɛ woehu ɔsaman.", ""
"LUK.24.38", "Na ɔsee hɔn dɛ,  Ɔyɛ dɛn na hom akoma etutu yi? Na ebɛnadze ntsi na adwendwen soɛrsoɛr hom akoma mu yi?", ""
"LUK.24.39", "Hom nhwɛ me nsa nye me nan dɛ emi mankasa a: hom nka me nhwɛ; na ɔsaman nnyi honam nye mbiew dɛ mbrɛ hom hu dɛ mowɔ yi.", ""
"LUK.24.40", "Na ɔsee dɛm no, ɔdze ne nsa nye ne nan kyerɛɛ hɔn.", ""
"LUK.24.41", "Nna wɔda ho nngye nndzi wɔ dɛw ntsi, na ɔyɛ hɔn nwanwa no, ɔsee hɔn dɛ,  Ana hom wɔ edziban bi wɔ ha?", ""
"LUK.24.42", "Na wɔmaa no esunam a wɔatoto sin.", ""
"LUK.24.43", "Na ɔgyee na odzii wɔ hɔn enyim.", ""
"LUK.24.44", "Na ɔsee hɔn dɛ,  Iyi nye me nsɛm a meda ho wɔ hom nkyɛn no mekaa kyerɛɛ hom dɛ ɔsɛ dɛ dza wɔakyerɛw no wɔ mo ho wɔ Moses mbra, nye nkɔnhyɛfo, nye ndwom no mu nyina bɛba mu.", ""
"LUK.24.45", "Nna obuee hɔn adwen mu, ama wɔaatse kyerɛwnsɛm no ase;", ""
"LUK.24.46", "na ɔsee hɔn dɛ,  Dɛmara na wɔakyerɛw no, dɛ Kraest no bohu amandze na da a otsia ebiasa no ɔasoɛr efi ewufo mu;", ""
"LUK.24.47", "na woedua ne dzin do akɛka nnuho nye bɔnfakyɛ akyerɛ amanaman nyina, wobefitsi ase wɔ Jerusalɛm.", ""
"LUK.24.48", "Hom yɛ yinom ho adasefo.", ""
"LUK.24.49", "Na hwɛ, morosoma m’Egya n’anohoba maba hom do: na hom ntsena kurow no mu nkodu dɛ wobefi sor abrɛ hom ahoɔdzen.", "#Ndwu 1.4"
"LUK.24.50", "Na ɔdze hɔn fiir edzi kodur Bɛtani tsentsendo, na ɔmaa ne nsa do hyiraa hɔn.", "#Ndwu 1.9-11"
