"MAL.1.1", "EWURADZE n'asɛm a ɔnam Malaki do baa Israel hɔ nye iyi.", ""
"MAL.1.2", "Madɔ hom, EWURADZE na ɔse. Naaso hom ka dɛ, Ebɛnadze mu na adɔ hɛn? Ana nnyɛ Jakob no nua nye Esau? EWURADZE na ɔse: naaso modɔɔ Jakob;", "#Rom 9.13#Isa 34.5-17; 63.1-6; Jer 49.7-22; Eze 25.12-14; 35.1-15; Amos 1.11, 12; Oba 1-14"
"MAL.1.3", "na Esau dze mikyiir no, na memaa ne mbepɔw yɛɛ afo, na medze n'egyapadze maa sar do mpataku.", ""
"MAL.1.4", "Sɛ Edom ka dɛ, Wɔabɔ hɛn apetse, naaso yɛbɛsan akɛkyekyer mbeambea a ayeyɛ afoafo no a; mbrɛ dɔm EWURADZE so se nye yi, wɔbɛkyekyer, na emi so mubodwuruw egu famu: kɛpem dɛ adasa bɛfrɛ hɔn dɛ, Emumuyɛ man, na Ɔman a EWURADZE afa hɔn ho ebufuw daapem.", ""
"MAL.1.5", "Na hom enyiwa bohu, na hom aka dɛ, EWURADZE yɛ Okokroko mpo tra Israel ahe do.", ""
"MAL.1.6", "Ɔba dzi n'egya nyi, na akowaa dzi no wura nyi: sɛ egya nye me a, nna m'enyidzii wɔ hen? Na sɛ owura nye me a, mo ho suro wɔ hen? Dɔm EWURADZE na ɔka kyerɛ hom asɔfo a wobu me dzin enyimtsia no. Na hom bisa dɛ, Ebɛn mu na yebu wo dzin enyimtsia?", ""
"MAL.1.7", "Hom dze paanoo a no ho ekum brɛ me wɔ m'afɔrmbukyia do. Na hom bisa dɛ, Ebɛnadze mu na yeegu wo ho fi? Wɔ dɛ hom ka dɛ, EWURADZE n'edzidzipon no woebu no enyimtsia.", ""
"MAL.1.8", "Na sɛ hom dze abowa nyitɔr ba bɔbɔ afɔr a, ɔnnyɛ bɔn bi! Na sɛ hom dze mbowa mpakye na ayarfo ba bɔbɔ afɔr a, ɔnnyɛ bɔn bi! Afei dze fa kɛma w'ambrado; dɛ n'enyi bɔsɔ wo a? Anaaso mpo dɛ ɔbɔhwɛ w'enyim a? Dɔm EWURADZE na ɔse.", "#Deut 15.21"
"MAL.1.9", "Na afei, hom ntotɔ nserɛ EWURADZE n'enyimpa, ma ɔmbɔdom hɛn ɛ: na sɛ hom nsamu na iyi fi a, aso ɔbɔhwɛ hom mu obiara enyim? Dɔm EWURADZE na ɔse.", ""
"MAL.1.10", "Kɛtseankyɛ obi wɔ hom mu a ɔbɔtotow mbobow no mu, amma hom aannsɔ m'afɔrmbukyia do ogya kwa! M'enyi nnsɔ hom hwee, dɔm EWURADZE na ɔse, eso merenngye hom nsamu ayɛyɛdze biara.", ""
"MAL.1.11", "Na ofitsi wipuei dze kesi no tɔree mpo, me dzin yɛ kɛse wɔ Amanaman mu; na wɔhyew eduhuam bɔ afɔr ma me dzin wɔ mbeambea nyina, na wɔdze ayɛyɛdze a no ho tsew ba: na me dzin yɛ kɛse wɔ Amanaman mu, dɔm EWURADZE na ɔse.", ""
"MAL.1.12", "Na hom dze, hom gu ho fi, wɔ dɛ hom ka dɛ, EWURADZE n'edzidzipon no ho ekum, na no do aba, n'edziban no, hom bu no enyimtsia.", ""
"MAL.1.13", "Hom ka so dɛ, Hwɛ, ɔhaw bɛn nye yi! Na hom tweetwee gu do, dɔm EWURADZE na ɔse; na afei so hom dze dza wɔdze enyimpi fae, na mbowa mpakye na ayarfo no ba; dɛm na hom dze hom ayɛyɛdze ba. Aso mebɛgye iyi wɔ hom nsamu? EWURADZE na ɔse.", ""
"MAL.1.14", "Na ndom nka nyia ɔwɔ onyin wɔ no nguankuw mu, na ɔdze bɔ anohoba, naaso osisi na ɔdze dza odzi dzɛm bɔ EWURADZE okum afɔr no: na ɔhen kɛse nye me, dɔm EWURADZE na ɔse, na me dzin yɛ hu wɔ Amanaman mu.", ""
