"MAT.3.1", "Na nda no mu no John Onumanyi no bae bɛkaa asɛm wɔ Judea sar do,", ""
"MAT.3.2", "na ɔsee dɛ, Hom nnu homho, na ɔsor ahenman no abɛn.", "#Mat 4.17; Mar 1.15"
"MAT.3.3", "Na oyi nye nyia nkɔnhyɛnyi Isaia kaa no ho asɛm dɛ, Obi ne ndze retsea mu wɔ sar no do dɛ, Hom nsiesie Ewuradze no kwan, Hom mma n'atsempɔn ntsentsen no.", "#Isa 40.3"
"MAT.3.4", "Nna John fura efupɔnkɔnhwi tam, na nwoma abɔdo bɔ n'asen, na n'edziban nye mbɛbɛw na kwaa mu wo.", "#2 Ahe 1.8"
"MAT.3.5", "Na Jerusalɛm nye Judea nyina nye asaase a abɔ Jordan ho aprɔw nyina puei kɔr no hɔ", ""
"MAT.3.6", "kɛkaa hɔn bɔn, na onumaa hɔn wɔ esutsen Jordan mu.", ""
"MAT.3.7", "Na ohun Farisiifo nye Sadusiifo no mu pii dɛ wɔreba n'enuma ho no, ɔsee hɔn dɛ, Nhurutsia mba! Woana tuee hom aso dɛ hom nguan mfi ebufuw a ɔreba no ho?", "#Mat 12.34; 23.33"
"MAT.3.8", "Na afei hom nsow aba a ɔkyerɛ nnuho:", ""
"MAT.3.9", "na mma hom nnsusu nnka wɔ hom mu dɛ, Hɛn dze, hɛn egya nye Abraham: na mese hom dɛ, Nyankopɔn botum dɛ onyan mba fi abo yi mu ma Abraham.", "#Joh 8.33"
"MAT.3.10", "Na afei so wɔdze ekuma no ato ndua no ndwow ho dada, dɛ dua biara a ɔnnsow aba pa no wobotwa no ato gya mu.", "#Mat 7.19"
"MAT.3.11", "Emi dze, munuma hom nsu mu kɔ nnuho mu, na nyia odzi m'ekyir reba no ɔkrɔn kyɛn me, no nsokota mpo mennsɛ dɛ mikitsa: ɔno na obonuma hom wɔ Sunsum Krɔnkrɔn mu, na gya mu;", ""
"MAT.3.12", "ɔno na no nhuwdo apaawa adze kitsa ne nsamu, na ɔbɛpra ne famu hɔ kofee, na ɔaboaboa n'ewifua ano ekogu san do, na ntsɛw no ɔdze gya a onndum ahyew.", ""
"MAT.3.13", "Nna Jesus fii Galilii baa John hɔ wɔ Jordan dɛ onnuma no.", ""
"MAT.3.14", "Na John dze, nkyɛ orisiw no kwan dɛ, Emi na mihia dɛ ɔwo inuma me, na ɔwo ereba mo hɔ yi?", ""
"MAT.3.15", "Na Jesus buae see no dɛ,  Sesei dze, ma ho kwan, na ɔnam iyi do na yɛhyɛ tsenenee nyina ma.  Nna ɔpeen do maa no.", ""
"MAT.3.16", "Na wonumaa Jesus wiei ma ofii nsu no mu no, hwɛ, ntsɛmara sor buei maa no, na ohun dɛ Nyankopɔn no Sunsum risian tse dɛ ebubur ba no do;", ""
"MAT.3.17", "na hwɛ, ndze bi fi sor kaa dɛ, Oyi nye mo Dɔba a ɔsɔ m'enyi.", "#Gye 22.2; Dwom 2.7; Isa 42.1; Mat 12.18; 17.5; Mar 1.11; Luk 9.35"
