"MAT.4.1", "Nna Sunsum no dze Jesus kɔr sar no do ma abɔnsam no kɔsɔɔ no hwɛe.", "#Heb 4.15"
"MAT.4.2", "Na odzii mbuada adaduanan adzekyee nye adzesaa, na ekyir no ɔkɔm dzee no.", "#Eks 34.28; 1 Ahe 19.8"
"MAT.4.3", "Na ɔsɔhwɛfo no baa ne nkyɛn, na ɔsee no dɛ, Sɛ eyɛ Nyankopɔn Ba a, kasa ma abo yi ndan paanoo.", "#Gye 3.1-7"
"MAT.4.4", "Na obuae see dɛ,  Wɔakyerɛw dɛ, Nnyɛ paanoo nko bi na nyimpa nam do bɛtsena ase, na asɛm biara a ofi Nyankopɔn anomu so.", "#Deut 8.3"
"MAT.4.5", "Nna abɔnsam faa no kɔr kurow krɔnkrɔn no mu, na ɔdze no kesii asɔrfi ne bea sorɔnsorɔm no do,", "#Mat 27.53"
"MAT.4.6", "na ɔsee no dɛ, Sɛ eyɛ Nyankopɔn Ba a, tow woho kyen famu: na wɔakyerɛw dɛ, Ɔbɛhyɛ n'abɔfoe mbra wɔ wo ho, Na wɔdze hɔn nsa bɔsɔw wo, amma aammfa wo nan ammpem ɔbo.", "#Dwom 91.11, 12"
"MAT.4.7", "Jesus see no dɛ,  Wɔakyerɛw bio dɛ, Mma nnsɔ Ewuradze wo Nyankopɔn nnhwɛ.", "#Deut 6.16"
"MAT.4.8", "Na abɔnsam faa no bio kɔr kokwaa tsentsenntsen bi do, na ɔkyerɛɛ no wiadze ahenman nyina nye no mu enyimnyam.", ""
"MAT.4.9", "Na ɔsee no dɛ, Yinom nyina na medze mebɛma wo, sɛ ebɔkotow asɔr me a.", ""
"MAT.4.10", "Nna Jesus see no dɛ,  Fi ha fi, Satan: na wɔakyerɛw dɛ, Sɔr Ewuradze wo Nyankopɔn, na no nko na som no.", "#Deut 6.13"
"MAT.4.11", "Nna abɔnsam no gyaa no hɔ; na hwɛ, abɔfo bae bɔsoom no.", ""
"MAT.4.12", "Na Jesus tsee dɛ woeyi John ama no, ɔtwee noho kɔr Galilii;", "#Mat 14.3; Mar 6.17; Luk 3.19, 20"
"MAT.4.13", "na ofii Nazarɛt no, ɔbae bɛtsenaa Karpernaum a ɔwɔ mpoano wɔ Zebulun nye Naftali ntoaado no;", "#Joh 2.12"
"MAT.4.14", "ma dza nkɔnhyɛnyi Isaia kae no aaba mu dɛ,", ""
"MAT.4.15", "Zebulun asaase! Naftali asaase! Po kwan do, Jordan egya, Amanamamfo Galilii,", "#Isa 9.1, 2"
"MAT.4.16", "Ɔman a wɔtse sum mu Ehu kan kɛse, Na hɔn a wɔtse owu asaase sunkamm do no, kan epue ama hɔn.", ""
"MAT.4.17", "Ofitsi dɛm aber no Jesus hyɛɛ n'asɛnka ase na ɔsee dɛ,  Hom nnu homho, na ɔsor ahenman no abɛn.", "#Mat 3.2"
"MAT.4.18", "Na ɔnenam Galilii po ho no, ohun enuanom beenu, Simon a wɔfrɛ no Peter, nye no nua Andrew dɛ wɔrotow eboa wɔ po mu; osiandɛ wɔyɛ afarfo.", ""
"MAT.4.19", "Na ɔsee hɔn dɛ,  Hom mbedzi m'ekyir, na mebɛyɛ hom nyimpa enufo.", ""
"MAT.4.20", "Na ntsɛmara wɔdaan eboa no gyae na wobedzii n'ekyir.", ""
"MAT.4.21", "Na ofii hɔ kɔr n'enyim no, ohun enuanom beenu so, Zebedee ne ba James nye no nua John a wɔnye hɔn egya Zebedee wɔ hɛn mu resa hɔn mboa; na ɔfrɛɛ hɔn.", ""
"MAT.4.22", "Na ntsɛmara wɔdaan hɛn no nye hɔn egya gyae, na wokedzii n'ekyir.", ""
"MAT.4.23", "Na Jesus kekyimaa Galilii nyina kyerɛkyerɛe wɔ nhyiamudan mu; na ɔkaa ahenman no ho asɛmpa no, na ɔsaa nyarba nyina nye ahoɔmberɛw nyina wɔ ɔman no mu.", "#Mat 9.35; Mar 1.39"
"MAT.4.24", "Na no ho asɛm tahyee kɔr Siria nyina; na wɔdze hɔn a wɔyar nyina a nyarba nye amandzehu horow ekitsa hɔn, nye hɔn a mbɔnsam afa hɔn, nye hɔn a wotwa ehim, nye mbubuifo brɛɛ no, ma ɔsaa hɔn yarba.", ""
"MAT.4.25", "Na nyimpadodow pii a wofi Galilii nye Dekapolis nye Jerusalɛm nye Judea nye Jordan egya kaa no do.", ""
