"MAT.5.1", "Na ohun nyimpadodow no, ɔkɔr koko no do, na ɔtsenaa ase no, n'esuafo baa ne nkyɛn.", ""
"MAT.5.2", "Na obuee n'ano kyerɛkyerɛɛ hɔn dɛ:", ""
"MAT.5.3", "Nhyira aka sunsum mu ehiafo, na hɔn na ɔsor ahenman no yɛ hɔndze.", ""
"MAT.5.4", "Nhyira aka hɔn a hɔn werɛ ahow, na hɔn na wɔbɛkyekye hɔn werɛ.", "#Isa 61.2"
"MAT.5.5", "Nhyira aka abrɛfo, na hɔn na wobenya asaase no edzi do.", "#Dwom 37.11"
"MAT.5.6", "Nhyira aka hɔn a tsenenee ho ɔkɔm nye nsukɔm dze hɔn, na hɔn na wɔbɛma wɔamee.", "#Isa 55.1, 2"
"MAT.5.7", "Nhyira aka mbɔbɔrhufo, na hɔn na wobohu hɔn mbɔbɔr.", ""
"MAT.5.8", "Nhyira aka hɔn a hɔn akoma mu tsew, na hɔn na wobohu Nyankopɔn.", "#Dwom 24.3, 4"
"MAT.5.9", "Nhyira aka esiesiefo, na hɔn na wɔbɛfrɛ hɔn Nyankopɔn mba.", ""
"MAT.5.10", "Nhyira aka hɔn a tsenenee ntsi wɔahaw hɔn, na hɔn na ɔsor ahenman no yɛ hɔndze.", "#1 Pet 3.14"
"MAT.5.11", "Nhyira aka hom ber a wɔbɛyaw hom, na wɔahaw hom, na wɔaka nsɛmbɔn nyina ato hom do akɔhwi mu, wɔ me ntsi.", "#1 Pet 4.14"
"MAT.5.12", "Hom ndzi dɛw na hom ho nsɛpɛw hom, na hom akatua so wɔ sor; na dɛmara na wɔhaaw nkɔnhyɛfo a wodzii hom kan no.", "#2 Mbe 36.16; Ndwu 7.52"
"MAT.5.13", "Hom nye asaase do nkyen; na sɛ nkyen no ayew ne dɛw a, wɔdze ebɛnadze bɛhyɛ no nkyen? Onnye mma hwee bio, na mbom wɔtow gu ma nyimpa tsiatsia do.", "#Mar 9.50; Luk 14.34, 35"
"MAT.5.14", "Hom nye wiadze kan no. Kurow a ɔda koko do nntum nnsuma.", "#Joh 8.12; 9.5"
"MAT.5.15", "Eso wɔnnsɔ kandzea mmfa nnsi kuruw ase; na wɔdze si kandzeadua do, ma ɔhyerɛn ma hɔn a wɔwɔ fie nyina.", "#Mar 4.21; Luk 8.16; 11.33"
"MAT.5.16", "Ne dɛm ntsi, hom mma hom kan no nhyerɛn wɔ nyimpa enyim, ama woeehu hom ndwuma pa na wɔaahyɛ hom Egya a ɔwɔ sor no enyimnyam.", "#1 Pet 2.12"
"MAT.5.17", "Mma hom nndwen dɛ mebae dɛ merebɛsɛɛ mbra no anaa nkɔnhyɛfo no: dabida, mammbɛsɛɛ, mbom mebɛhyɛɛ ma.", ""
"MAT.5.18", "Na nokwar mese hom dɛ, Sor nye asaase nnyae nntwaa mu yi, akyerɛwdze kor anaadɛ nsensanee kor mpo nnkefi mbra no ho etwa mu, gyedɛ ne nyina ahyɛ ma ana.", "#Luk 16.17"
"MAT.5.19", "Dɛm ntsi obiara a ɔbɔto mbransɛm nketseaba yi mu kor, na ɔbɛkyerɛkyerɛ nyimpa dɛm no, wɔbɛfrɛ no aketseaba wɔ sor ahenman no mu; na obiara a ɔbɛyɛ na ɔbɛkyerɛkyerɛ no, ɔno na wɔbɛfrɛ no ɔkɛse wɔ sor ahenman no mu.", ""
"MAT.5.20", "Na mese hom dɛ gyedɛ hom tsenenee kyɛn Akyerɛwfo no nye Farisiifo no hɔn tsenenee, ɔno hom nnkɛhɛn sor ahenman no mu da.", ""
"MAT.5.21", "Hom atse dɛ wɔkaa kyerɛɛ tsetsefo no dɛ, Mma nndzi ewu, na obiara a obedzi ewu no, obedzi fɔ wɔ atsɛmbu no mu;", "#Eks 20.13; Deut 5.17"
"MAT.5.22", "na emi dze mese hom dɛ, Obiara a no bo fuw no nua gyan, obedzi atsɛmbu no mu fɔ; na obiara a ɔbɛse no nua, Raka,     obedzi fɔ wɔ mpanyimfo bagua mu; na obiara a ɔbɛse, Ɔkwasea no, obedzi fɔ akɔ amandzehu kurow mu gya no mu.", "#5.22 RAKA: Asekyerɛ nye dɛ, “Nyimpa gyangyan”."
"MAT.5.23", "Dɛm ntsi sɛ edze w'ayɛyɛdze ba afɔrmbukyia no ho, na sɛ ekaa wɔ hɔ dɛ wo nua wɔ wo ho asɛm bi a,", ""
"MAT.5.24", "gyaa w'ayɛyɛdze wɔ afɔrmbukyia no enyim hɔ, na dzi kan kɔ nye wo nua nkɔbɔ mu, ana aba abɛma w'ayɛyɛdze.", ""
"MAT.5.25", "Enye wo tamfo mbɔ mu ntsɛm ber a enye no wɔ kwan mu no; amma da bi wo tamfo eennyi wo annhyɛ ɔtsɛmbuafo nsa, na ɔtsɛmbuafo no eennyi wo annhyɛ ɔsomfo nsa, ma wɔaammfa wo annkɔto efiadze.", ""
"MAT.5.26", "Nokwar mese wo dɛ, Innkefi hɔ gyedɛ etua kapɛrba biara a aka ekyir no ana.", ""
"MAT.5.27", "Hom atse dɛ wɔkaa dɛ, Mma nnto awar;", "#Eks 20.14; Deut 5.18"
"MAT.5.28", "na emi dze mese hom dɛ, Obiara a ɔhwɛ ɔbaa dɛ no kɔn dɔ no no, ɔafa no dada wɔ n'akoma mu.", ""
"MAT.5.29", "Na sɛ w'enyiwa nyimfa to wo fintsidua a, tu na tow fi woho kyen: na oye ma wo dɛ wo nyimpadua ne fa kor bɛsɛɛ na wɔammfa wo nyimpadua nyina annkɔto amandzehu kurow mu.", "#Mat 18.9; Mar 9.47"
"MAT.5.30", "Na sɛ wo nsa nyimfa to wo fintsidua a, twa na tow fi woho kyen: na oye ma wo dɛ ebɔhwer wo nyimpadua ho beebi na wo nyimpadua nyina nnkɔkɔ amandzehu kurow mu.", "#Mat 18.8; Mar 9.43"
"MAT.5.31", "Wɔkae so dɛ, Obiara a obegyaa ne yer awar no, ma ɔmma no awargu no ho krataa;", "#Deut 24.1-4; Mat 19.7; Mar 10.4"
"MAT.5.32", "naaso emi dze, mese hom dɛ, Obiara a obegyaa ne yer, ber a basia no mmbɔɔ edwaman no, ɔma basia no to awar; na obiara a ɔbɔwar nyia woegyaa no no, ɔto awar.", "#Mat 19.9; Mar 10.11, 12; Luk 16.18; 1 Kor 7.10, 11"
"MAT.5.33", "Bio hom atse dɛ wɔkaa kyerɛɛ tsetsefo no dɛ, Mma nnka ntanhun, na fa w'atanyi ma Ewuradze;", "#Lev 19.12; Nka 30.2; Deut 23.21"
"MAT.5.34", "na emi dze, mese hom dɛ, Mma hom nnka ntam koraa: mma hom nnka ɔsor, osiandɛ ɔyɛ Nyankopɔn n'ahengua;", "#Jas 5.12; Isa 66.1; Mat 23.22"
"MAT.5.35", "mma hom nnka asaase, osiandɛ ɔyɛ n'ananadzegua; mma hom nnka Jerusalɛm, osiandɛ ɔyɛ ɔhen kɛse no kurow.", ""
"MAT.5.36", "Eso mma mmfa wo tsir nnka ntam, osiandɛ irunntum nnyɛ nhwi kor fufuw anaa tuntum.", ""
"MAT.5.37", "Na hom mma hom Nyew, nyɛ Nyew; na hom Oho, nnyɛ Oho; osiandɛ biribi a ɔkyɛn yinom fi bɔn mu.", ""
"MAT.5.38", "Hom atse dɛ wɔkaa dɛ, Enyiwa nsi enyiwa ananmu, na ese nsi ese ananmu;", "#Eks 21.24; Lev 24.20; Deut 19.21"
"MAT.5.39", "naaso emi dze, mese hom dɛ, Mma hom nye ɔbɔnfo no nndzi esi; mbom sɛ obi bɔ wo sotɔr wɔ w'enyimfa a, dan bankum no so ma no;", ""
"MAT.5.40", "na sɛ obi pɛ dɛ ɔnye wo dzi asɛm, na ɔgye w'asetar a, ma ɔmfa wo nkatado no so;", ""
"MAT.5.41", "na obiara a ɔbɛhyɛ wo dɛ enye no nkɔ ɔkwansin kor no, enye no nkɔ ebien.", ""
"MAT.5.42", "Nyia ɔserɛ wo no, ma no; nyia ɔpɛ dɛ ɔfɛm wɔ wo hɔ no, mma nndan woho mmfi no ho.", ""
"MAT.5.43", "Hom atse dɛ wɔkaa dɛ, Dɔ wo nyɛnko na tan wo tamfo;", ""
"MAT.5.44", "naaso emi dze, mese hom dɛ, Hom ndɔ hom atamfo, na hom nsɔr mma hɔn a wɔhaw hom;", ""
"MAT.5.45", "ama hom aayɛ hom Egya a ɔwɔ sor no ne mba: na ɔma n'ewia fir wɔ nyimpa bɔn nye nyimpa pa do, na ɔtɔ nsu gu hɔn a wɔtsen nye hɔn a wɔnntsen do.", ""
"MAT.5.46", "Na sɛ hom dɔ hɔn a wɔdɔ hom a, ebɛn akatua na hom nya? Ana atowgyefo no so nnyɛ dɛmara?", ""
"MAT.5.47", "Na sɛ hom kyia hom nuanom nko a, ebɛnadze na hom ayɛ abor do? Ana amanamamfo no so nnyɛ dɛmara?", ""
"MAT.5.48", "Dɛm ntsi hom ndzi mu, dɛ mbrɛ hom sor Egya no dzi mu.", "#Lev 19.2; Deut 18.13"
