"MAT.7.1", "Mma hom mmbu atsɛn, ma wommbu hom atsɛn.", ""
"MAT.7.2", "Na atsɛmbu kor a hom dze bobu no, wɔdze bobu hom; na esusudze kor a hom dze susu no, wɔdze bosusu ama hom.", "#Mar 4.24"
"MAT.7.3", "Na ɔyɛ dɛn na ehwɛ duaba a ɔwɔ wo nua enyiwa mu, na enndwen mpuna a ɔwɔ wankasa w'enyiwa mu ho?", ""
"MAT.7.4", "Anaaso ebɛyɛ dɛn ase wo nua dɛ, Ma minyi duaba mfi w'enyiwa mu, na hwɛ, mpuna wɔ wankasa w'enyiwa mu?", ""
"MAT.7.5", "Ɔwo dabrabanyi, dzi kan yi mpuna fi wankasa w'enyiwa mu: nna ibohu yie eyi duaba no efi wo nua enyiwa mu.", ""
"MAT.7.6", "Mma hom mmfa dza no ho tsew no mma nkraman, eso mma hom nntow hom ahondze pa nngu mpreko enyim, amma wɔaammfa hɔn anan enntsiatsia do, na wɔaannsan bio ammbɛtsetsew hom mu.", ""
"MAT.7.7", "Hom mbisa na wɔbɛma hom; hom nhwehwɛ na hom bohu; hom mbɔ mu na wobobue hom:", ""
"MAT.7.8", "na obiara a obisa no onya; na nyia ɔhwehwɛ no ohu; na nyia ɔbɔ mu no wobobue no.", ""
"MAT.7.9", "Anaaso hom mu woana, na sɛ ne ba bisa no paanoo a, ɔbɛma no ɔbo?", ""
"MAT.7.10", "Anaaso sɛ obisa no esunam a, ɔbɛma no ɔwɔ?", ""
"MAT.7.11", "Na sɛ hom a hom muo yi nyim mbrɛ hom dze akyɛdze pa ma hom mba a, mpɛn ahen ara na hom Egya a ɔwɔ sor no nnkɛfa ndzɛmba pa ama hɔn a wobisa no?", ""
"MAT.7.12", "Dɛm ntsi adze biara a hom pɛ dɛ nyimpa yɛ ma hom no, hom nyɛ dɛmara so mma hɔn; na iyi nye mbra no nye nkɔnhyɛfo no.", "#Luk 6.31"
"MAT.7.13", "Hom nhɛn abow tseaba no mu, na abow a ɔtsɛw, na ɔkwan a ɔyɛ tɛtɛr nye dza wɔdze kɔ ɔsɛɛ mu, na piinara wɔ hɔ a wɔfa mu.", "#Luk 13.24"
"MAT.7.14", "Na abow a ɔyɛ tseaba na ɔkwan a ɔyɛ heaheaba nye dza wɔdze kɔ nkwa mu, na kumaabi na wohu.", ""
"MAT.7.15", "Hom nhwɛ yie wɔ nkɔnhyɛfo atorfo ho, na wɔba hom nkyɛn wɔ nguannwoma akataho mu, na hɔn mu dze, wɔyɛ mpataku edzifodzepɛfo.", ""
"MAT.7.16", "Hɔn aba na hom dze bohu hɔn. Ana nyimpa tsetsew wenyinaba wɔ nsoɛ do, anaaso adɔmba wɔ kɔkrɔ do?", ""
"MAT.7.17", "Dɛmara na dua pa ɔsow aba pa; na dua a ɔaprɔw dze, ɔsow aba bɔn.", ""
"MAT.7.18", "Dua pa nntum nnsow aba bɔn, na eso dua a ɔaprɔw nntum nnsow aba pa.", ""
"MAT.7.19", "Dua biara a ɔnnsow aba pa no, wotwa, na wɔtow kyen gya mu.", "#Mat 3.10; Luk 3.9"
"MAT.7.20", "Dɛm ntsi hom dze hɔn aba bohu hɔn.", "#Mat 12.33"
"MAT.7.21", "Nnyɛ obiara a ɔse me dɛ, Ewuradze, Ewuradze, na ɔbɔkɔ sor ahenman no mu; na nyia ɔbɛyɛ m'Egya a ɔwɔ sor no ne pɛ a.", ""
"MAT.7.22", "Da no mu no dodowara bɛse me dɛ, Ewuradze, Ewuradze, ana yɛammfa wo dzin annhyɛ nkɔm, na yɛammfa wo dzin enntu mbɔnsam, na yɛammfa wo dzin annyɛ tum ndwuma pii?", ""
"MAT.7.23", "Na aber no, mebɛpaa mu maka akyerɛ hɔn dɛ, Minnyim hom da: hom mfi me nkyɛn nkɔ, hom a hom yɛ emumuyɛ.", "#Dwom 6.8"
"MAT.7.24", "Dɛm ntsi obiara a otsie me nsɛm yi na ɔyɛ no, wɔdze no bosusu badwembanyi a osii ne dan wɔ ɔbotan do no.", ""
"MAT.7.25", "Na nsu tɔree, na nsuyirii bae, na ehum tui, ma wɔboor dan no na ɔannhwe ase, osiandɛ wɔtoo ne fapem wɔ ɔbotan do.", ""
"MAT.7.26", "Na obiara a otsie me nsɛm yi na ɔnnyɛ no, wɔdze no bosusu kotobonyi a osii ne dan wɔ anhwea do no ho.", ""
"MAT.7.27", "Na nsu tɔree, na nsuyirii bae, na ehum tui boor dan no, na ɔhwee ase, na n'asehwe no so.", ""
"MAT.7.28", "Na ɔbaa dɛ Jesus wiee nsɛm yi no, ne nkyerɛkyerɛ yɛɛ nyimpadodow no ahobow;", "#Mar 1.22; Luk 4.32"
"MAT.7.29", "osiandɛ ɔkyerɛkyerɛɛ hɔn dɛ nyia ɔwɔ tum, na ɔnntse dɛ akyerɛwfo no.", ""
