"MAT.8.1", "Na ofii koko no do sianee no, nyimpadodow pii kaa no do.", ""
"MAT.8.2", "Na ɔkwatanyi bi bae bɔkotoow no see dɛ, Mo wura, sɛ epɛ a, ibotum dɛ ema mo ho san.", ""
"MAT.8.3", "Na ɔtseen ne nsa dze kaa no see dɛ,  Mepɛ, wo ho nsan.  Na ntsɛmara na kwata no fii no ho.", ""
"MAT.8.4", "Na Jesus see no dɛ,  Hwɛ na aannka annkyerɛ obiara, mbom san kɔ, fa woho kɛkyerɛ ɔsɔfo no, na kɛma ayɛyɛdze a Moses hyɛe no fa yɛ dasedzi ma hɔn.", "#Lev 14.1-32"
"MAT.8.5", "Na ɔkɛhɛɛn Karpernaum no, ɔhamupanyin bi baa ne nkyɛn bɛserɛɛ no see no dɛ,", ""
"MAT.8.6", "Mo wura, m’akowaa da fie yar mbubui retseetsee dodow.", ""
"MAT.8.7", "Na Jesus see no dɛ,  Mebɛba mabɛsa no yarba.", ""
"MAT.8.8", "Na ɔhamupanyin no buae see dɛ, Mo wura, mennsɛ dɛ ebɛhɛn me hatsɛw ase; na ka asɛm no nko, na m’akowaa ho bɛsan no.", ""
"MAT.8.9", "Na mo so meyɛ nyimpa a mowɔ tum ase, na mowɔ nsordaafo wɔ m’ase, na mese yi dɛ, Kɔ a, ɔkɔ; na mese obi so dɛ, Bra a, ɔba; na mese m’akowaa dɛ, Yɛ iyi a, ɔyɛ.", ""
"MAT.8.10", "Na Jesus tsee no, ɔyɛɛ no nwanwa, na ɔsee hɔn a wɔka no do no dɛ,  Nokwar mese hom dɛ, Israel mu mpo munnhun gyedzi a ɔtse dɛm yi bi pɛn.", ""
"MAT.8.11", "Na mese hom dɛ dodowara befi boka nye anee aba, na wɔnye Abraham nye Isaak nye Jakob abɛtsena ase wɔ sor ahenman no mu;", "#Luk 13.29"
"MAT.8.12", "ber a ahenman no ne mba no dze wɔbɔtow hɔn egu ekyirekyir sum no mu: mbrɛ osu nye asetwɛr wɔ no.", "#Mat 22.13; 25.30; Luk 13.28"
"MAT.8.13", "Na Jesus see ɔhamupanyin no dɛ,  Kɔ, na dɛ mbrɛ agye edzi yi, ɔnyɛ dɛmara mma wo.  Na dɔn no ara mu akowaa no tsee apɔw.", ""
"MAT.8.14", "Na Jesus baa Peter fie no, ohun n’asew basia dɛ ɔda hɔ yar papu.", ""
"MAT.8.15", "Na osuoo ne nsa mu na papu no fii no do; na ɔsoɛree na ɔsoom no.", ""
"MAT.8.16", "Na odur ewimbir no, wɔdze pii a mbɔnsam afa hɔn brɛɛ no; na ɔdze n’asɛm tuu esunsum no, na ɔsaa hɔn a wɔyar nyina yarba,", ""
"MAT.8.17", "ama dza nkɔnhyɛnyi Isaia kae no aaba mu dɛ, Ɔno na ɔfaa hɛn ahoɔmberɛw, na ɔsoaa hɛn nyarba.", "#Isa 53.4"
"MAT.8.18", "Na Jesus hun nyimpadodow pii wɔ no ho no, ɔhyɛɛ dɛ wɔnkɔ esuegya no ho.", ""
"MAT.8.19", "Na Ɔkyerɛwfo bi bae bɛsee no dɛ, Kyerɛkyerɛnyi, beebiara a ebɔkɔ no, mebɛka wo do.", ""
"MAT.8.20", "Na Jesus see no dɛ,  Nsɔ wɔ etu, na wimu nnoma wɔ mberɛbuw, na nyimpa Ba no dze, onnyi mbrɛ ɔdze ne tsir to.", ""
"MAT.8.21", "Na n’esuafo mu bi so see no dɛ, Mo wura, ma me kwan ma monkɔ minkesie m’egya ana.", ""
"MAT.8.22", "Na Jesus see no dɛ,  Ka mo do, na ma ewufo nsie hɔnara hɔn ewufo.", ""
"MAT.8.23", "Na ɔkɔr hɛn mu no, n’esuafo no kaa no do.", ""
"MAT.8.24", "Na hwɛ, ehum kɛse tui wɔ po no mu, na asorɛkye kataa hɛn no do, nna ɔno dze, ɔada.", ""
"MAT.8.25", "Na wɔbae benyaan no see dɛ, Owura, gye hɛn, yɛrehera.", ""
"MAT.8.26", "Na ɔsee hɔn dɛ,  Ebɛnadze ntsi na hom yɛ ehufo, hom a hom gyedzi suar?  Nna ɔsoɛree na ɔbraa mframa nye po no, na ɔtaa dzinn.", ""
"MAT.8.27", "Na ɔyɛɛ nyimpa no nwanwa na wɔsee dɛ, Ebɛn nyimpa nye yi a mframa na po mpo wotsie no yi?", ""
