"MAT.9.1", "Na ɔkɔr hɛn mu, na otwae baa nankasa no kurow mu.", ""
"MAT.9.2", "Na hwɛ, wɔdze mbubuinyi a ɔda mpa do brɛɛ no; na Jesus hun hɔn gyedzi no, ɔsee mbubuinyi no dɛ,  Ɔba, hyɛ dzen, wɔdze wo bɔn akyɛ wo.", ""
"MAT.9.3", "Na Akyerɛwfo no binom kaa wɔ hɔn tsirmu dɛ, Dɛm nyimpa yi reka ebususɛm.", ""
"MAT.9.4", "Na Jesus hun hɔn adwen no, ɔsee dɛ,  Ɔyɛ dɛn na hom rodwen dza omuo wɔ hom akoma mu yi?", ""
"MAT.9.5", "Na dza ɔwɔ hen na ɔyɛ mberɛw kɛse, ebɛse dɛ, Wɔdze wo bɔn akyɛ wo, anaa ebɛse dɛ, Soɛr na nantsew a?", ""
"MAT.9.6", "Na mbrɛ ɔbɛyɛ ma hom ehu dɛ nyimpa Ba no wɔ tum wɔ asaase do dɛ ɔdze bɔn kyɛ ntsi,  (nna ɔsee mbubuinyi no dɛ,)  Soɛr, fa wo mpa na kɔ wo fie.", ""
"MAT.9.7", "Na ɔsoɛree na osii mu kɔr ne fie.", ""
"MAT.9.8", "Na nyimpadodow no hunii no, wosuroi, na woyii Nyankopɔn a ɔdze dɛm tum ama nyimpa no ayɛw.", ""
"MAT.9.9", "Na ɔresen no, ohun nyimpa bi a wɔfrɛ no Matthew dɛ ɔtse bea a wɔgye tow, na ɔsee no dɛ,  Ka mo do.  Na ɔsoɛree kaa no do.", ""
"MAT.9.10", "Na ɔtse edzidzii wɔ Matthew ne fie no; ɔbaa dɛ atowgyefo nye ndzebɔnyɛfo pii bɛtsenatsenaa Jesus nye n’esuafo no nkyɛn.", "#Luk 15.1, 2"
"MAT.9.11", "Na Farisiifo no hunii no, wɔsee n’esuafo no dɛ, Ɔyɛ dɛn na hom Kyerɛkyerɛnyi nye atowgyefo nye ndzebɔnyɛfo dzidzi yi?", ""
"MAT.9.12", "Na ɔtsee no, ɔsee dɛ,  Hɔn a wɔtse hɔn apɔw mu no, wonnhia oduyɛfo, na mbom hɔn a wɔyar no a.", ""
"MAT.9.13", "Hom nkɔ nkosua iyi n’asekyerɛ: Mepɛ ehumbɔbɔr, na nnyɛ afɔrbɔ a. Mammbɛfrɛ atseneneefo, na mbom ndzebɔnyɛfo a.", "#Mat 12.7; Hos 6.6"
"MAT.9.14", "Nna John n’esuafo no baa ne nkyɛn bɛsee dɛ, Ebɛnadze ntsi na yɛnye Farisiifo no yɛtɔ dɛ yedzi mbuada, na w’esuafo dze, wonndzi mbuada yi?", ""
"MAT.9.15", "Na Jesus see hɔn dɛ,  Ayeforpia mu mba no, aber a ayeforkun no wɔ hɔn nkyɛn no, wobotum edzi awerɛhow anaa? Na nda no bɛba a wobeyi ayeforkun no efi hɔn nkyɛn, na nkyii wobedzi mbuada.", ""
"MAT.9.16", "Obi mmfa tam fofor sin nntaa atar dadaw mu: dɛm no, dza wɔdze taa mu no yi fi atar no mu, na ntsewee no yɛ kɛse.", ""
"MAT.9.17", "Na wɔmmfa wenyin fofor nngu nwomantoa dadaw mu: dɛm no, nwomantoa no paa, na wenyin no hue gu, ma toa no so sɛɛ; mbom wɔdze wenyin fofor gu toa fofor mu, ama ebien nyina ayɛ yie.", ""
"MAT.9.18", "Na ɔreka yinom kyerɛ hɔn no ara na ɔpanyin bi bae bɔkotoow no see dɛ, Me babaa ewu sesei: na bra bɛfa wo nsa to no do, na obenya nkwa.", ""
"MAT.9.19", "Na Jesus soɛree kaa no do, na n’esuafo no so dɛmara.", ""
"MAT.9.20", "Na hwɛ, ɔbaa bi a ɔyar bɔgyaagu mfe duebien bae bedzii n’ekyir dze ne nsa kaa n’atar ano ndwow:", ""
"MAT.9.21", "osiandɛ ɔbaa no see wɔ no mu dɛ, Sɛ meka n’atar nko ara mpo a, mo ho bɛyɛ me dzen.", ""
"MAT.9.22", "Na Jesus daan noho na ohun no no, ɔsee no dɛ  Babaa, hyɛ dzen, wo gyedzi agye wo. Na hɔ no ara na ɔbaa no tsee apɔw.", ""
"MAT.9.23", "Na Jesus hɛɛn ɔpanyin no ne fie, na ohun hɔn a wɔhɛn atɛntɛbɛn nye nyimpadodow a wɔreyɛ gyegyeegye no,", ""
"MAT.9.24", "ɔsee hɔn dɛ,  Hom ntwe homho, na akataasiaba no nnwui, na ɔada ara.  Na wɔsereew no twee.", ""
"MAT.9.25", "Na wɔpaam nyimpadodow no fii hɔ no, ɔkɔr dan mu na okosuoo akataasiaba no ne nsa mu, na ɔsoɛree.", ""
"MAT.9.26", "Na iyi ho asɛm tahyee asaase no nyina do.", ""
"MAT.9.27", "Na Jesus fi hɔ rokɔ no, enyifurafo beenu kaa no do tseaa mu see dɛ, David ba, hu hɛn mbɔbɔr.", ""
"MAT.9.28", "Na Jesus kɛhɛɛn fie no, enyifurafo no baa ne nkyɛn, na Jesus see hɔn dɛ,  Ana hom gye dzi dɛ mubotum ayɛ yi?  Wɔsee no dɛ, Nyew, Owura.", ""
"MAT.9.29", "Nna ɔkaa hɔn enyiwa see dɛ,  Mbrɛ hom gyedzi tse no, ɔnyɛ dɛmara mma hom.", ""
"MAT.9.30", "Na hɔn enyiwa buebuei. Na Jesus braa hɔn dzendzenndzen dɛ,  Hom nhwɛ yie mma obiara aanntse iyi ho hwee.", ""
"MAT.9.31", "Na hɔn dze, wofii hɔ no, wɔdze ne nka kɛtahyee wɔ asaase nyina do.", ""
"MAT.9.32", "Na worifir edzi no, hwɛ, wɔdze mmum a abɔnsam afa no brɛɛ no.", ""
"MAT.9.33", "Na otuu abɔnsam no, mmum no kasae. Na ɔyɛɛ nyimpadodow no nwanwa, na wɔsee dɛ, Wonnhun dɛm yi bi pɛn wɔ Israel.", ""
"MAT.9.34", "Na Farisiifo no dze, wɔsee dɛ, Mbɔnsam hɔn panyin do na ɔnam tu mbɔnsam no.", "#Mat 10.25; 12.24; Mar 3.22; Luk 11.15"
"MAT.9.35", "Na Jesus kekyiin nkurow nye nkurobaase nyina mu kyerɛkyerɛe wɔ hɔn nhyiamudan mu, na ɔkaa ahenman no ne nsɛmpa no ho asɛm, na ɔsaa nyarba nyina nye ahoɔmberɛw nyina.", "#Mat 4.23; Mar 1.39; Luk 4.44"
"MAT.9.36", "Na ohun nyimpadodow no, ne yamu hyehyee no maa hɔn, osiandɛ wɔahaw na wɔsam hɔ dɛ nguan a wonnyi ɔhwɛfo.", "#Nka 27.17; 1 Ahe 22.17; 2 Mbe 18.16; Eze 34.5; Mar 6.34"
"MAT.9.37", "Na ɔsee n’esuafo no dɛ,  Ndɔbaa no dɔɔ so, na edwumayɛfo no dze, wosuar.", ""
"MAT.9.38", "Dɛm ntsi hom nserɛ ndɔbaa no wura ma ɔnsoma edwumayɛfo mbra n’edwuma no mu.", ""
