"MAT.13.1", "Da no ara Jesus fiir fie kɛtsenaa mpoano.", ""
"MAT.13.2", "Na nyimpadodow pii behyiaa ne nkyɛn, ma dɛm ntsi ɔkɔr hɛn mu kɛtsenaa ase wɔ mu; na nyimpadodow no nyina gyinagyinaa mpoano.", ""
"MAT.13.3", "Na ɔkaa ndzɛmba pii kyerɛɛ hɔn wɔ mbɛbu mu see dɛ,  Hwɛ, oduafo no kɔree kɛpee aba;", ""
"MAT.13.4", "na ɔrepe aba no, bi koguu kwan nkyɛn na nnoma bae bɔsosɔwee;", ""
"MAT.13.5", "na bi koguu abosam do mbrɛ oennya dɛtse pii; na ntsɛmara na ofirii, osiandɛ oennya dɛtse a ɔdɔ;", ""
"MAT.13.6", "na ewia soɛree no, onyinyamee na osiandɛ onnyi ndwow ntsi ɔkyenkyenee.", ""
"MAT.13.7", "Na bi so koguu nsoɛ mu, na ofifirii ara na nsoɛ no miaa no.", ""
"MAT.13.8", "Na bi so koguu asaase pa mu, na ɔsoow aba, bi ɔha, bi eduosia, bi eduasa.", ""
"MAT.13.9", "Nyia ɔwɔ aso no, ma ontsie.", ""
"MAT.13.10", "N'esuafo no baa ne nkyɛn bɛsee no dɛ, Ebɛnadze ntsi na ekasa kyerɛ hɔn mbɛbu mu yi?", ""
"MAT.13.11", "Na obuae see hɔn dɛ,  Hom dze, wɔdze ama hom dɛ hom nhu sor ahenman no mu esumasɛm, na hɔn dze, wɔmmfae mmaa hɔn.", ""
"MAT.13.12", "Na obiara a ɔwɔ no, na wɔbɛma no na oenya mbordo, na obiara a onnyi no, dza ɔwɔ mpo wɔbɛgye ne nsamu.", ""
"MAT.13.13", "Dɛm ntsi na mekasa kyerɛ hɔn mbɛbu mu, osiandɛ wɔhwɛ a wonnhu, wɔtse a wonntsie, eso wɔnntse ase.", ""
"MAT.13.14", "Na hɔn mu na Isaia nkɔnhyɛ no aba mu dɛ, Tse dze, hom bɛtse naaso hom nnkɛtse ase; Na hwɛ dze, hom bɔhwɛ naaso hom nnkohu.", "#Isa 6.9, 10"
"MAT.13.15", "Na ɔman yi hɔn akoma epirim, Na hɔn aso esisiw dɛ wɔbɛtse Na woemuamua hɔn enyiwa Amma aber bi wɔaammfa hɔn enyiwa ennhu, Na wɔaammfa hɔn aso anntse, Na wɔaammfa hɔn akoma anntse ase, Na wɔaannsakyer Amma maannsa hɔn yarba.", ""
"MAT.13.16", "Na nhyira aka hom enyiwa dɛ wohu, nye hom asowa dɛ wɔtse.", "#Luk 10.23, 24"
"MAT.13.17", "Na nokwar mese hom dɛ nkɔnhyɛfo nye atseneneefo pii pɛɛ dɛ wohu dza hom hu yi, naaso woennhu, na wɔtse dza hom tse yi, naaso wɔanntse.", ""
"MAT.13.18", "Afei hom ntsie oduafo no ne bɛ no.", ""
"MAT.13.19", "Sɛ obiara tse ahenman no no ho asɛm, na ɔnntse ase a, ɔbɔn no ba bɛfa dza wɔpee no n'akoma mu no kɔ. Oyi nye dza wɔpee no wɔ kwan nkyɛn no.", ""
"MAT.13.20", "Na dza wɔpee no abosam do no, ɔnye nyia otsie asɛm no, na ntsɛmara ɔdze dɛw gye;", ""
"MAT.13.21", "na onnyi ndwow wɔ no mu, na ɔwɔ hɔ ma ɔkyɛr kakra, sɛ abɛbrɛsɛ anaa ahohia soɛr wɔ asɛm no ntsi a, ntsɛmara na ato no fintsidua.", ""
"MAT.13.22", "Na dza wɔpee no nsoɛ mu no, nye nyia otsie asɛm no, na wiadze yi mu akɔdadwen nye ahonya ndaadaa mia asɛm no, ma ɔnnsow aba.", ""
"MAT.13.23", "Na dza wɔpee no asaase pa mu no, ɔnye nyia otsie asɛm no, na ɔtse ase; ɔno so na ɔsow aba, bi ɔha, bi eduosia, bi eduasa.", ""
"MAT.13.24", "Obuu bɛ fofor so kyerɛɛ hɔn dɛ,  Sor ahenman no tse dɛ nyimpa a oduaa aba pa wɔ no kwa mu;", ""
"MAT.13.25", "na nyimpa dedae no, ne tamfo bae boduaa nworahaban so wɔ ewifua pa no mu, na ɔkɔree.", ""
"MAT.13.26", "Na oyii ahaban na ɔsoow aba no, nna nworahaban no so daa edzi.", ""
"MAT.13.27", "Na ofiwura no nkowaa bae bɛsee no dɛ, Yewura, ana ammpe aba pa wɔ wo kwa no mu? Na nworahaban yi so fi hen?", ""
