"MAT.15.1", "Nna Farisiifo nye kyerɛwfo a wofi Jerusalɛm baa Jesus nkyɛn bebisaa no dɛ,", ""
"MAT.15.2", "Ɔyɛ dɛn na w’esuafo fom mpanyimfo atsetsesɛm do? Dɛ wɔnnhohor hɔn nsa ho ana woedzidzi yi?", ""
"MAT.15.3", "Na obuae see hɔn dɛ,  Ɔyɛ dɛn na hom so hom atsetsesɛm ntsi hom fom Nyankopɔn mbrasɛm do?", ""
"MAT.15.4", "Osiandɛ Nyankopɔn hyɛɛ dɛ,  Dzi w’egya nye wo na nyi, na, Obiara a ɔhyɛ egya anaa na ahorba no, owu na ma onwu.", ""
"MAT.15.5", "Na hom dze, hom se dɛ, Obiara a ɔbɛse n’egya anaa ne na dɛ, Dza nkyɛ edze benya mo ho mfaso yɛ akyɛdze ma Nyankopɔn,", ""
"MAT.15.6", "nna onnyi dɛ odzi n’egya nyi. Na hom atsetsesɛm ntsi hom amma Nyankopɔn mbra no enntsim.", ""
"MAT.15.7", "Ndabrabafo, Isaia hyɛɛ hom ho nkɔm yie dɛ ɔse,", ""
"MAT.15.8", "Ɔman yi dze hɔn anofamfa dzi me nyi, Naaso hɔn akoma dze, ɔnye me ntamu twe kɛse;", ""
"MAT.15.9", "Na wɔsɔr me gyan, Wɔkyerɛkyerɛ nkyerɛkyerɛ a ɔyɛ nyimpa ahyɛdze.", ""
"MAT.15.10", "Na Jesus frɛɛ nyimpadodow no baa ne nkyɛn no, ɔsee hɔn dɛ,  Hom ntsie na hom ntse ase:", ""
"MAT.15.11", "Nnyɛ dza ɔkɔ anomu na ogu nyimpa ho fi, na mbom dza ofi anomu ba no na ogu nyimpa ho fi.", ""
"MAT.15.12", "Nna n’esuafo no bae bɛsee no dɛ, Inyim dɛ Farisiifo no tsee asɛm yi no, ayɛ hɔn fintsidua?", ""
"MAT.15.13", "Na obuae see hɔn dɛ,  Dua biara a m’Egya a ɔwɔ sor no anntsɛw no, wobotu.", ""
"MAT.15.14", "Hom ngyaa hɔn: wɔyɛ akwankyerɛfo enyifurafo. Na sɛ onyifurafo kyerɛ onyifurafo kwan a, hɔn beenu nyina bɔtɔ mona mu.", ""
"MAT.15.15", "Na Peter buae see no dɛ, Kyerɛ hɛn bɛ yi ase.", ""
"MAT.15.16", "Na ɔsee dɛ,  Ana hom so nnyae nnyaa ntseasee?", ""
"MAT.15.17", "Ana hom nnhu dɛ biribiara a ɔhɛn anomu no ɔkɔ yafun mu, na woyi gu tsea mu?", ""
"MAT.15.18", "Na dza ofi anomu ba no, ofi akoma mu, na ɔno na ogu nyimpa ho fi.", ""
"MAT.15.19", "Na akoma mu na adwembɔn fi ba, ewudzi, awarto, ndwamanyɛ, adzewia, dasewia, ebususɛm:", ""
"MAT.15.20", "yinom nye ndzɛmba a ogu nyimpa ho fi; na edze nsa a wɔannhohor ho bedzidzi dze, onngu nyimpa ho fi.", ""
"MAT.15.21", "Na Jesus twee noho fii hɔ kɔr Taere nye Sidon afamu.", ""
"MAT.15.22", "Na hwɛ, Keenannyi ɔbaa fi ntoaado hɔ bae bɛkaa mu dɛ, Ewuradze, David ba, hu me mbɔbɔr: na abɔnsam rehaw me babaa papa.", ""
"MAT.15.23", "Na oemmbua no asɛm biara. Na n’esuafo no bae bɛserɛɛ no dɛ, Gya no kwan ma ɔnkɔ, na ɔrekeka mu dzi hɛn ekyir.", ""
"MAT.15.24", "Na obuae see dɛ,  Wɔannsoma me obiara hɔ dɛ Israel fie nguan a wɔayew no nko hɔ.", ""
"MAT.15.25", "Na ɔbae bɔkotoow no see dɛ, Ewuradze, boa me.", ""
"MAT.15.26", "Na obuae see dɛ,  Ɔnnsɛ dɛ wɔfa mba edziban tow ma nkramanmba.", ""
"MAT.15.27", "Na ɔbaa no see dɛ, Mo wura, nyew: naaso nkramanmba no dzi mporoporoba a ofi hɔn wuranom pon do gu no bi.", ""
"MAT.15.28", "Nna Jesus buae see no dɛ,  Ɔbaa, wo gyedzi so: ɔnyɛ hɔ mma wo dɛ mbrɛ epɛ.  Na ofi dɔn no ara mu ne babaa no ho yɛɛ no dzen.", ""
"MAT.15.29", "Na Jesus fii hɔ baa Galilii po ho, na ɔkɔr koko do kɛtsenaa ase wɔ hɔ.", ""
"MAT.15.30", "Na nyimpadodow pii baa ne nkyɛn a wɔdze mbubua, enyifurafo, mmum, mpakye, nye binom pii; na wɔdze hɔn boguu n’ananadze na ɔsaa hɔn yarba:", ""
"MAT.15.31", "ma ɔyɛɛ nyimpadodow no nwanwa dɛ mmum rekasa, mpakye ridzi mu, mbubua renantsew, na enyifurafo ruhu adze; na wɔhyɛɛ Israel Nyankopɔn enyimnyam.", ""
"MAT.15.32", "Na Jesus frɛɛ n’esuafo see hɔn dɛ,  Me yamu hyehye me ma nyimpadodow yi, osiandɛ wɔatsena me nkyɛn ndaansa yi na wonnyi biribi a wodzi; na memmpɛ dɛ migya hɔn kwan ma wɔdze kɔm kɔ, bɛyɛ na wɔakɔtɔ bitsi wɔ kwan mu.", ""
"MAT.15.33", "Na n’esuafo no see no dɛ, Henfa na yebenya paanoo a ɔbɛmee nyimpadodow pii yi wɔ sar do ha?", ""
"MAT.15.34", "Na Jesus see hɔn dɛ,  Paanoo ahen na hom wɔ?  Na wɔsee no dɛ, Esuon, nye esunam nketsenketse kakraabi.", ""
"MAT.15.35", "Na ɔhyɛɛ nyimpadodow no dɛ wɔntsenatsena famu;", ""
"MAT.15.36", "na ɔfaa paanoo esuon no, nye esunam no; na ɔdaa ase, na obubui, na ɔdze maa esuafo no, na esuafo no so dze maa nyimpadodow no.", ""
"MAT.15.37", "Na hɔn nyina dzidzii mee; na wɔtasee mporoporoba a ɔkae no, mbirefi esuon amaama.", ""
"MAT.15.38", "Na hɔn a wodzidzii no, wɔyɛ mpemanan a wɔnnkan mbaa nye mbofraba nnka ho.", ""
"MAT.15.39", "Na ogyaa nyimpadodow no kwan, na ɔfoow hɛn baa Magadan ntoaado.", ""
