"MAT.16.1", "Farisiifo nye Sadusiifo bi bae bɔsɔɔ Jesus hwɛe bisaa no dɛ ɔnkyerɛ hɔn asɛnkyerɛdze a ofi sor.", ""
"MAT.16.2", "Na obuae see hɔn dɛ,  Odu ewimbir a, hom ka dɛ, Wimu bɛtsew, osiandɛ sor aber.", ""
"MAT.16.3", "Na anapa hom se dɛ, Ndɛ ehum botu, osiandɛ sor ayɛ kowioo na oemuna. Hom tum hwɛ wimu kyerɛ dza obesi, na mber ho nsɛnkyerɛdze dze, hom nntum nnkyerɛ ase.", ""
"MAT.16.4", "Ɔsantsen bɔn a wonndzi nokwar rohwehwɛ asɛnkyerɛdze, na wɔremma hɔn asɛnkyerɛdze bi dɛ Jona dze no.  Na ogyaa hɔn hɔ kɔree.", "#Mat 12.39; Luk 11.29"
"MAT.16.5", "Na esuafo no dur esuegya noho no, nna hɔn werɛ efir dɛ wɔfa paanoo.", ""
"MAT.16.6", "Na Jesus see hɔn dɛ,  Hom nhwɛ, na hom nhwɛ yie wɔ Farisiifo nye Sadusiifo mbɔrkaw no ho.", "#Luk 12.1"
"MAT.16.7", "Na wosusui wɔ hɔn tsirmu dɛ, Yɛammfa paanoo ntsi a.", ""
"MAT.16.8", "Na Jesus hunii no, ɔsee dɛ,  Hom a hom gyedzi suar, ɔyɛ dɛn na hom susu se wɔ hom mu dɛ osiandɛ hom ammfa paanoo ntsi a?", ""
"MAT.16.9", "Ana hom nnyae nnhunii, anaa hom nnkaa nyimpa mpemenum paanoo enum no, nye nkɛntsɛn dodow a hom fae no?", ""
"MAT.16.10", "Anaadɛ mpemanan paanoo esuon no, nye mbirefi dodow a hom fae no?", ""
"MAT.16.11", "Ɔyɛ dɛn na hom nnhu dɛ nnyɛ paanoo ho asɛm bi na mereka? Na hom nhwɛ yie wɔ Farisiifo nye Sadusiifo mbɔrkaw ho.", ""
"MAT.16.12", "Nna wohun dɛ ɔannse hɔn dɛ wɔnhwɛ yie wɔ paanoo mbɔrkaw ho, na Farisiifo nye Sadusiifo nkyerɛkyerɛ ho a.", ""
"MAT.16.13", "Na Jesus dur Kaesarea Filipi afamu no, obisaa n'esuafo dɛ,  Nyimpa se dɛ nyimpa Ba no nye woana?", ""
"MAT.16.14", "Na wɔsee dɛ, Binom se John Onumanyi no a; binom se Elija a; na binom so se Jeremia anaa nkɔnhyɛfo no mu baako a.", ""
"MAT.16.15", "Ɔsee hɔn dɛ,  Na hom dze, hom se dɛ woana nye me?", ""
"MAT.16.16", "Na Simon Peter buae see dɛ, Ɔwo nye Kraest no, Nyankopɔn tseasefo no ne Ba no.", ""
"MAT.16.17", "Na Jesus buae see no dɛ,  Nhyira aka wo, Simon, Jona ba; na nnyɛ honam nye bɔgya na woeyi akyerɛ wo, na m'Egya a ɔwɔ sor no a.", ""
"MAT.16.18", "Na mo so mese wo dɛ, Ɔwo nye Peter, na ɔbotan yi do na medze m'asɔr besi; na samanadze aponkɛse rinndzi do nyim.", ""
"MAT.16.19", "Medze sor ahenman ne nsaafee mebɛma wo: na biribiara a ebɛkyekyer wɔ asaase do no, wɔbɛkyekyer wɔ sor; na biribiara a ebɛsan wɔ asaase do no, wɔbɛsan wɔ sor.", "#Mat 18.18; Joh 20.23"
"MAT.16.20", "Nna ɔbraa n'esuafo no dɛ mma wɔnnka nnkyerɛ obiara dɛ ɔno nye Kraest no.", ""
"MAT.16.21", "Na ofitsi aber no na Jesus hyɛɛ ase kyerɛɛ n'esuafo dɛ ɔsɛ dɛ ɔkɔ Jerusalɛm, na okohu amandze pii wɔ mpanyimfo nye asɔfompanyin, nye kyerɛwfo nsa, na woeku no, na da a otsia ebiasa no ɔasoɛr.", ""
"MAT.16.22", "Na Peter dze no kɔr nkyɛn, na ɔhyɛɛ ase twuuw n'enyim, dɛ, Wɔmma ɔmpar wo, Ewuradze: iyi remmba wo do da.", ""
"MAT.16.23", "Na ɔdaan noho see Peter dɛ,  Fi mo do, Satan: eyɛ fintsidua ma me; osiandɛ enndwen Nyankopɔn dze, na edwen nyimpa dze.", ""
"MAT.16.24", "Nna Jesus see n'esuafo no dɛ,  Sɛ obi pɛ dɛ odzi m'ekyir a, ma ɔmpa noho, na ompegya ne mbeamudua na ɔnka mo do.", ""
"MAT.16.25", "Na obiara a ɔpɛ dɛ ɔgye no nkwa no, ɔbɛyew no, na obiara a emi ntsi ɔbɛyew no nkwa no, obohu.", ""
"MAT.16.26", "Na sɛ nyimpa nya wiadze nyina ma ntsi ɔhwer no nkwa a, ebɛn mfaso na obenya? Anaa ebɛnadze na nyimpa bɛma dze asesa no nkwa?", ""
"MAT.16.27", "Na nyimpa Ba no dze n'Egya n'enyimnyam nye n'abɔfoe bɛba; na aber no na obotua nyimpa nyina kaw dɛ mbrɛ hɔn ndzeyɛɛ tse.", ""
"MAT.16.28", "Nokwar mese hom dɛ, Hɔn a wogyina ha yi, binom wɔ hɔ a wɔronnsɔ owu nnhwɛ ansaana woehu nyimpa Ba dɛ ɔreba wɔ n'ahendzi mu.", ""
