"MAT.18.1", "Aber no ara mu na esuafo no baa Jesus hɔ bebisaa dɛ, Woana na ɔyɛ kɛse wɔ sor ahenman no mu?", "#Luk 22.24"
"MAT.18.2", "Na ɔfrɛɛ abofraba bi baa ne nkyɛn, na ɔdze no gyinaa hɔn finimfin,", ""
"MAT.18.3", "na ɔsee dɛ,  Mese hom nokwar mu dɛ, gyedɛ hom dan na hom yɛ dɛ mbofraba, ɔno hom runntum nnhɛn Nyankopɔn ahenman no mu da.", "#Mar 10.15; Luk 18.17"
"MAT.18.4", "Dɛm ntsi, obiara a ɔbɛbrɛ noho adze dɛ abofraba yi no, ɔnoara na ɔyɛ kɛse wɔ sor ahenman no mu.", ""
"MAT.18.5", "Na obiara a ɔbɛgye abofraba a ɔtse dɛm yi kor wɔ me dzin mu no, ɔgye emi mara.", ""
"MAT.18.6", "Sɛ hom mu obiara to mbofra nkakraba a wɔgye me dzi yi mu baako fintsidua a, oye ma no dɛ wɔdze ewuyambo kɛse sɛn no kɔn mu, na wɔkɔtow no kyen nsu mu wɔ po bun mu.", ""
"MAT.18.7", "Fintsiduato ntsi wiadze ndue! Na otwar dɛ fintsiduato ba, na nyimpa a fintsidua nam no do ba no, ndue!", ""
"MAT.18.8", "Na sɛ wo nsa anaa wo nan to wo fintsidua a, twa, na tow fi woho kyen: oye ma wo dɛ edze abasin anaa anansin bɔkɔ nkwa mu kyɛn dɛ ewɔ wo nsa ebien nye w’anan ebien, na wɔbɔtow wo akyen onnyiewiei gya mu.", "#Mat 5.30"
"MAT.18.9", "Na sɛ w’enyiwa to wo fintsidua a, tu, na tow fi woho kyen. Oye ma wo dɛ edze enyiwa kor bɔkɔ nkwa mu kyɛn dɛ ewɔ enyiwa ebien na wɔbɔtow wo akyen ogya amandzehu kurow mu.", "#Mat 5.29"
"MAT.18.10", "Hom nhwɛ yie mma hom eemmbu nkakraba yi mu baako enyimtsia, na mese hom dɛ ɔsor noho hɔn abɔfoe hwɛ m’Egya a ɔwɔ sor no enyim daa.", ""
"MAT.18.11", "(Na nyimpa Ba no bae dɛ ɔrebɛgye dza ayew no nkwa.)", "#18.11 Dɛm nkyekyɛmu yi nnka ho asɔpɔn no mbom tsetse akyerɛwfo no bi dze ka ho."
"MAT.18.12", "Hom dwen dɛn? Sɛ nyimpa bi wɔ nguan ɔha, na hɔn mu baako tɔ gon a, ana onngyaa eduokron akron no hɔ, na ɔnnkɔ nkokwaa do nnkɔhwehwɛ dza ɔayew no?", ""
"MAT.18.13", "Na sɛ ɔba dɛ ohu no a, nokwar mese hom dɛ odzi dɛw wɔ no ho kyɛn eduokron akron no a wɔanntɔ gon no.", ""
"MAT.18.14", "Dɛmara na ɔnnyɛ hom Egya a ɔwɔ sor ne pɛ dɛ nkakraba yi mu baako bɛyew.", ""
"MAT.18.15", "Na sɛ wo nua fom wo a, kɔ na keyi no atsɛn wɔ ɔwo nye ɔno nko ntamu: sɛ otsie wo a, enya wo nua.", ""
"MAT.18.16", "Na sɛ oenntsie wo a, fa kor anaa ebien ka woho, ama nyimpa beenu anaa baasa aayɛ asɛm no ho adasefo.", "#Deut 19.15"
"MAT.18.17", "Na sɛ ɔpow dɛ obetsie hɔn a, kɛka kyerɛ asɔr no, na sɛ ɔpow dɛ obetsie asɔr so a, bu no dɛ amanamamfo mu baako nye towgyenyi.", ""
"MAT.18.18", "Nokwar mese hom dɛ, Biribiara a hom bɛkyekyer wɔ asaase do no, wɔbɛkyekyer no wɔ sor; na biribiara a hom bɛsan wɔ asaase do no, wɔbɛsan no wɔ sor.", "#Mat 16.19; Joh 20.23"
"MAT.18.19", "Bio, mese hom dɛ, Sɛ hom mu beenu yɛ anokor wɔ asaase do wɔ biribi a wobebisa ho a, m’Egya a ɔwɔ sor bɛyɛ ama hɔn.", ""
"MAT.18.20", "Na mbrɛ beenu anaa baasa ehyia wɔ me dzin mu no, nna mowɔ hɔn finimfin.", ""
"MAT.18.21", "Nna Peter bae bɛsee no dɛ, Ewuradze, mpɛn ahen na mo nua fom me a, memfa nkyɛ no? Onkodu mpɛn esuon anaa?", "#Luk 17.3, 4"
"MAT.18.22", "Jesus see no dɛ,  Mennse wo dɛ onkodu mpɛn esuon, na mpɛn eduosuon mbɔho esuon.", "#Gye 4.24"
"MAT.18.23", "Dɛm ntsi sor ahenman no tse dɛ ɔhen bi a ɔpɛɛ dɛ ɔnye no nkowaa bu nkontaa.", ""
"MAT.18.24", "Na ɔhyɛɛ ase rubu no, wɔdze baako a ɔmaa no talent      mpemdu brɛɛ no.", "#18.24 TALENT: Yɛ dɛm ber no mu ɔpaanyi ne mfe duenum akatua."
"MAT.18.25", "Na osiandɛ onnyi dza ɔdze botua ntsi, no wura hyɛɛ dɛ wɔntɔn ɔno, nye ne yer, nye ne mba, nye dza ɔwɔ nyina mfa ntua kaw.", ""
"MAT.18.26", "Dɛm ntsi akowaa no hwee daadze wɔ n’enyim, na ɔtotɔɔe serɛɛ no dɛ, Mo wura, nya abotar wɔ mo ho, na mubotua wo ne nyina.", ""
"MAT.18.27", "Na akowaa no wura ne yamu hyehyee no, na ogyaa no, na ɔdze kaw no kyɛɛ no.", ""
"MAT.18.28", "Na akowaa noara fiir edzi kohun no wura no nkowaa no mu baako a ɔdze no kaw kakraabi denare ɔha;     na osuoo no mu, na ɔtɔɔr ne meneba dɛ, Tua dza edze me.", "#18.28 DENARE: Denare kor yɛ dɛm ber no mu ɔpaanyi ne dakor akatua."
"MAT.18.29", "Na akowaa no hwee daadze wɔ n’enyim na ɔserɛɛ no dɛ, Nya abotar wɔ mo ho, na mubotua wo.", ""
"MAT.18.30", "Na ɔno dze, ɔammpen, na ɔkɔree dze no kɔtoo efiadze dɛ onkodu dɛ obotua dza ɔdze no no.", ""
"MAT.18.31", "Na no wura no nkowaa no hun dza esi no, ɔyɛɛ hɔn yaw dɛ, na wɔkɔree kɛkaa dza esi no nyina kyerɛɛ hɔn wura.", ""
"MAT.18.32", "Na no wura frɛɛ no see no dɛ, Akowaa bɔn, medze wo kaw no nyina kyɛɛ wo osiandɛ eserɛɛ me ntsi:", ""
"MAT.18.33", "ana ɔnnsɛ wo so dɛ nkyɛ ihu wo nyɛnko akowaa no mbɔbɔr, dɛ mbrɛ muhun wo mbɔbɔr no?", ""
"MAT.18.34", "Na no wura no bo fuwii, na oyii no maa ahohiahiafo dɛ wɔntseetsee no araa nkodu dɛ obotua ne kaw no nyinara.", ""
"MAT.18.35", "Dɛmara na mo sor Egya bɛyɛ hom, sɛ hom emmfi hom akoma mu ammfa obiara no nua no bɔn annkyɛ no a.", ""
