"MAT.19.1", "Na Jesus wiee nsɛm yi ka no, osii mu fii Galilii na ɔbaa Judea ntoaado wɔ Jordan egya;", ""
"MAT.19.2", "na nyimpadodow pii kaa no do, na ɔsaa hɔn yarba wɔ hɔ.", ""
"MAT.19.3", "Farisiifo bi baa ne nkyɛn bɔsɔɔ no hwɛe see no dɛ, Ana ɔfa mbra mu dɛ obi gyina asɛm biara do gyaa ne yer awar?", ""
"MAT.19.4", "Na obuae see dɛ,  Ana hom nnkenkaan dɛ nyia ahyɛse no ɔbɔɔ hɔn no yɛɛ hɔn ɔbanyin nye ɔbaa,", "#Gye 1.27; 5.2"
"MAT.19.5", "na ɔsee dɛ, Iyi ntsi na ɔbanyin begya n'egya nye ne na hɔ, na ɔdze noho akɛbata ne yer ho; na hɔn beenu ayɛ honankor?", "#Gye 2.24"
"MAT.19.6", "Dɛm no na wɔnnda ho nnyɛ beenu bio, na wɔyɛ honankor. Ntsi dza Nyankopɔn dze abɔ mu no, mma nyimpa nntsew mu.", ""
"MAT.19.7", "Wɔsee no dɛ, Na ɔyɛ dɛn na Moses hyɛɛ dɛ wɔmma ɔbaa no awargyaa krataa na wongyaa no yi?", ""
"MAT.19.8", "Ɔsee hɔn dɛ,  Hom akoma dzen ntsi na Moses maa hom kwan dɛ hom ngyaa hom yernom, na ofi ahyɛse no dze nna ɔnntse dɛm.", ""
"MAT.19.9", "Na mese hom dɛ, Obiara a obegyaa ne yer, na nnyɛ ndwamanyɛ ntsi, na ɔbɔwar fofor no, ɔato awar.", "#Mat 5.32; 1 Kor 7.10, 11 #19.9Akyerɛwfo binom sɔw do dɛ, “na nyia ɔbɔwar ɔbaa a woegyaa no awar no, ɔato awar”."
"MAT.19.10", "Esuafo no see no dɛ, Sɛ dɛm na ɔbanyin nye ne yer ntamu asɛm tse dze a, nna onnye dɛ wɔwar.", ""
"MAT.19.11", "Na ɔsee hɔn dɛ,  Nnyɛ nyimpa nyina na wobotum agye asɛm yi, gyedɛ hɔn a wɔdze ama hɔn no.", ""
"MAT.19.12", "Binom wɔ hɔ a wɔwoo hɔn fii hɔn na yamu dɛ mma wɔnnwar; na binom so wɔ hɔ a nyimpa yɛɛ hɔn ma wɔnnwar; na binom so wɔ hɔ a sor ahendzi no ntsi wɔnnwar.     Nyia obotum agye no, ma ɔngye.", "#19.12 Griik kasa a wɔdze dzii dwuma wɔ ha no kyerɛ “Ɔsaa”, naaso ndɛ dɛm kasafua no ne ntseasee yɛ dzen kakra."
"MAT.19.13", "Nna wɔdze mbofraba brɛɛ no dɛ ɔmfa ne nsa ngu hɔn do, na ɔmbɔ mpaa mma hɔn; naaso esuafo no kasaa hɔn a wɔdze hɔn bae no enyim.", ""
"MAT.19.14", "Na Jesus see dɛ,  Hom mma mbofraba no kwan ma wɔmbra me nkyɛn, mma hom nnsiw hɔn kwan, na woyinom dɛm na sor ahenman no yɛ hɔndze.", ""
"MAT.19.15", "Na ɔdze ne nsa guu hɔn do no, ofii hɔ kɔree.", ""
"MAT.19.16", "Na hwɛ, obi bae bɛsee no dɛ, Kyerɛkyerɛfo, ebɛn adzepa na menyɛ ama meenya onnyiewiei nkwa?", ""
"MAT.19.17", "Na ɔsee no dɛ,  Ɔyɛ dɛn ntsi na ibisa me papa ho asɛm? Baako pɛ na ɔyɛ papa; na sɛ epɛ dɛ ekɔ nkwa mu a, dzi mbransɛm no do.", ""
"MAT.19.18", "Obisaa Jesus dɛ, Dza ɔwɔ hen a? Jesus see no dɛ,  Mma nndzi ewu, Mma nnto awar, Mma nnwia adze, Mma nndzi dasewia,", "#Eks 20.13; Deut 5.17; Eks 20.14; Deut 5.18; Eks 20.15; Deut 5.19; Eks 20.16; Deut 5.20"
"MAT.19.19", "Dzi w'egya nye wo na nyi, na, Dɔ wo nyɛnko dɛ wankasa woho.", "#Eks 20.12; Deut 5.16; Lev 19.18"
"MAT.19.20", "Aberantsɛ no see no dɛ, Iyi nyina medzi do: aka me ebɛnadze bio?", ""
"MAT.19.21", "Jesus see no dɛ,  Sɛ epɛ dɛ idzi mu a, kɔ kɔtɔn dza ewɔ, na fa kyɛ ehiafo, na ibenya akoradze wɔ sor, na afei bra bɛka mo do.", ""
"MAT.19.22", "Na aberantsɛ no tsee asɛm no, ɔdze yaw kɔree, osiandɛ ɔyɛ nyimpa a ɔwɔ ahonyadze pii.", ""
"MAT.19.23", "Na Jesus see n'esuafo no dɛ,  Nokwar mese hom dɛ ɔyɛ dzen ma ɔhonyanyi dɛ ɔbɔkɔ sor ahenman no mu.", ""
"MAT.19.24", "Na bio mese hom dɛ ɔyɛ mberɛw ma efupɔnkɔ dɛ obodua doroba enyiwa mu kyɛn dɛ ɔhonyanyi bɔkɔ Nyankopɔn ahenman no mu.", ""
"MAT.19.25", "Na esuafo no tsee no, hɔn ho boow hɔn pii, na wɔsee dɛ, Dɛm a nna woana koraa na wobotum agye no nkwa?", ""
"MAT.19.26", "Na Jesus hwɛɛ hɔn see dɛ,  Nyimpa afamu na iyi nntum dɛm yɛ, na Nyankopɔn afamu dze, adze biara nnso no yɛ.", ""
"MAT.19.27", "Nna Peter buae see no dɛ, Hwɛ, yeegyaa ndzɛmba nyina na yɛabɛka wo do: ebɛnadze na yebenya?", ""
