"MAT.25.1", "Nna wɔdze sor ahenman no bɔto mbaabun du a wɔfaa hɔn nkandzea dɛ worikehyia ayeforkun kwan no ho.", "#Luk 12.35"
"MAT.25.2", "Na hɔn mu beenum yɛɛ mbadwemba, na beenum dze, wɔannyɛ mbadwemba.", ""
"MAT.25.3", "Na hɔn a wɔannyɛ mbadwemba no, wɔfaa hɔn nkandzea no, wɔammfa ngo annka ho;", ""
"MAT.25.4", "na mbadwemba no faa ngo guu hɔn ntoa mu kaa hɔn nkandzea no ho.", ""
"MAT.25.5", "Na ayeforkun no kyɛree no, hɔn nyina totɔɔ nkom na wɔdedae.", ""
"MAT.25.6", "Na esuom no, wɔtseaa mu dɛ, Hwɛ, ayeforkun no reba o! Hom nkɔ nkehyia no.", ""
"MAT.25.7", "Nna mbaabun no nyina soɛree na wɔkekaa hɔn nkandzea.", ""
"MAT.25.8", "Na hɔn a wɔannyɛ mbadwemba no see mbadwemba no dɛ, Hom mma hɛn hom ngo no bi, na hɛn nkandzea rudundum.", ""
"MAT.25.9", "Na mbadwemba no buaa dɛ, Oho, bɛyɛ na ɔronnso hɛn nye hom; na mbom hom nkɔ hɔn a wɔtɔn no hɔ nkɔtɔ homdze.", ""
"MAT.25.10", "Na wɔkɔree rokɔtɔ no, ayeforkun no bae, na hɔn a wɔayɛ krado no nye no kɔr ayefor ase, na wɔtoow abow no mu.", ""
"MAT.25.11", "Na ekyir no na mbaabun nkaa no so bae bɛsee dɛ, Owura, owura, bue hɛn.", "#Luk 13.25"
"MAT.25.12", "Na ɔno dze, obuaa hɔn dɛ, Nokwar mese hom dɛ, minnyim hom.", ""
"MAT.25.13", "Dɛm ntsi hom nweɔn, na hom nnyim da no anaa dɔn no, (a Nyimpa ba no bɛba.)", "#25.13 Tsetse Akyerɛwfo binom mmfa a Nyimpa ba no nnka ho."
"MAT.25.14", "Na ɔtse dɛ nyimpa a ɔrodɔ mu akɔ beebi a ɔfrɛɛ no nkowaa, na ɔdze n’adze a ɔwɔ hyɛɛ hɔn nsa.", "#Luk 19.11-27"
"MAT.25.15", "Na ɔmaa baako talent enum, ɔbaako so ebien, na ɔbaako so kor, dɛ mbrɛ hɔn nyina hɔn tum tse, na ɔkɔree.", ""
"MAT.25.16", "Na ntsɛmara nyia onyaa talent enum no kɔree, na ɔdze kedzii gua, na onyaa ho talent enum so.", ""
"MAT.25.17", "Dɛmara so na nyia onyaa ebien no, onyaa ho ebien so.", ""
"MAT.25.18", "Na nyia onyaa kor no, ɔkɔree kɔbɔɔr daadze, na ɔdze no wura ne sika no sumae.", ""
"MAT.25.19", "Na ɔkyɛree kyɛree no, nkowaa no hɔn wura no bae, na ɔnye hɔn bobuu nkontaa.", ""
"MAT.25.20", "Na nyia onyaa talent enum no bae dze talent enum ka ho baa dɛ, Mo wura, edze talent enum hyɛɛ me nsa: hwɛ, menya ho talent enum aka ho.", ""
"MAT.25.21", "No wura see no dɛ, Mbo! Akowaa pa nye nokwafo, edzi ndzɛmba kumaabi ho nokwar: medze wo besi ndzɛmba pii do: kɔ wo wura dɛw mu.", ""
"MAT.25.22", "Na nyia onyaa talent ebien no so bae, na ɔsee dɛ, Mo wura, edze talent ebien hyɛɛ me nsa: hwɛ, menya ho talent ebien aka ho.", ""
"MAT.25.23", "No wura see no dɛ, Mbo! Akowaa pa nye nokwafo, edzi ndzɛmba kumaabi ho nokwar, medze wo besi ndzɛmba pii do: kɔ wo wura dɛw mu.", ""
"MAT.25.24", "Na nyia onyaa talent kor no so bae bɛsee dɛ, Mo wura, minyim wo dɛ eyɛ nyimpa a eyɛ dzen a itwa wɔ mbrɛ innduae, na eboaboa ano wɔ mbrɛ emmfae mmpetsee;", ""
"MAT.25.25", "na musuroi, na mokɔree, na medze wo talent no kosumaa daadze: hwɛ, w’adze nye yi.", ""
"MAT.25.26", "Na no wura buae see no dɛ, Akowaa bɔn nye kwadwefo, inyim dɛ mutwa wɔ mbrɛ munnduae, na moboaboa ano wɔ mbrɛ memmfae mmpetsee:", ""
"MAT.25.27", "dɛm ntsi nkyɛ ɔsɛ wo dɛ edze me sika kɛma sikasesafo, na meba a, mabɛgye m’adze nye no ho nsiho.", ""
"MAT.25.28", "Dɛm ntsi, hom ngye talent no wɔ ne nsamu, na hom mfa mma nyia ɔwɔ talent du no.", ""
"MAT.25.29", "Osiandɛ obiara a ɔwɔ no, wɔbɛma no na oenya mbordo; na nyia onnyi no, dza ɔwɔ no mpo, wɔbɛgye ne nsamu.", "#Mat 13.12; Mar 4.25; Luk 8.18"
"MAT.25.30", "Na akowaa a no ho nnyi mfaso no dze, hom ntow no nkyen ekyirekyir sum no mu: hɔ na osu nye asetwɛr wɔ.", "#Mat 8.12; 22.13; Luk 13.28"
"MAT.25.31", "Na aber a nyimpa Ba no bɛba wɔ n’enyimnyam mu, na n’abɔfoe no nyina ka no ho no, nna ɔbɛtsena n’enyimnyam ahengua no do;", "#Mat 16.27; Mat 19.28"
"MAT.25.32", "na wɔbɔboaboa amanaman nyina ano wɔ n’enyim, na ɔbɛpaapaa hɔn mu dɛ mbrɛ oguanhwɛfo paapaa nguan nye mpɔnkye mu;", ""
"MAT.25.33", "na ɔdze nguan no begyina n’enyimfa, na ɔdze mpɔnkye no egyina n’abankum.", ""
"MAT.25.34", "Nna Ɔhen no bɛse hɔn a wɔwɔ n’enyimfa no dɛ, Hom mbra, hom a m’Egya ehyira hom, hom mbɛfa ahenman a wofitsi wiadze ahyɛse siesiei maa hom no ntsena mu:", ""
"MAT.25.35", "osiandɛ ɔkɔm dzee me, na hom maa me edziban; nsukɔm dzee me, na hom maa me anondze; meyɛɛ hɔho, na hom faa me kɔr fie;", ""
"MAT.25.36", "midzii adagyaw, na hom furaa me tam; meyaree, na hom bɔhwɛɛ me; medaa efiadze na hom baa me nkyɛn.", ""
"MAT.25.37", "Ɔno na atsenenee no bobua ase no dɛ, Ewuradze, dabɛn na yehun wo dɛ ɔkɔm dze wo, na yɛmaa wo edziban, anaa nsukɔm dze wo, na yɛmaa wo anondze?", ""
"MAT.25.38", "Dabɛn na yehun wo dɛ eyɛ hɔho na yɛfaa wo kɔr fie, anaa idzi adagyaw, na yefuraa wo tam?", ""
"MAT.25.39", "Anaa dabɛn na yehun wo dɛ eyar anaa eda efiadze, na yɛbaa wo nkyɛn?", ""
"MAT.25.40", "Na Ɔhen no bobua ase hɔn dɛ, Nokwar mese hom dɛ, Susuampa dɛ hom ayɛ ama mo nuanom nketseaba yi mu kor no, hom ayɛ ama me.", ""
"MAT.25.41", "Ɔno na ɔbɛse hɔn a wɔwɔ bankum no so dɛ, Hom a wɔadom hom, hom mfi me nkyɛn nkɔ onnyiewiei gya a woesiesie ama abɔnsam nye n’abɔfoe no no mu.", ""
"MAT.25.42", "Osiandɛ ɔkɔm dzee me, na hom amma me edziban; nsukɔm dzee me, na hom amma me anondze;", ""
"MAT.25.43", "meyɛɛ hɔho, na hom ammfa me annkɔ fie; midzii adagyaw, na hom emmfura me tam; meyaree na medaa efiadze, na hom ammbɔhwɛ me.", ""
"MAT.25.44", "Ɔno na hɔn so bobua ase dɛ, Ewuradze, dabɛn na yehun wo dɛ ɔkɔm dze wo, anaa nsukɔm dze wo, anaa eyɛ hɔho, anaa idzi adagyaw, anaa eyar, anaa eda efiadze, na yɛannsom wo?", ""
"MAT.25.45", "Ɔno na obobua hɔn dɛ, Nokwar mese hom dɛ, Susuampa dɛ hom annyɛ amma hom nuanom nketseaba yi mu kor no, hom annyɛ amma me.", ""
