"MAT.26.1", "Na ɔbaa dɛ Jesus wiee nsɛm yi nyina ka no, ɔsee n’esuafo no dɛ,", ""
"MAT.26.2", "Hom nyim dɛ aka nda ebien ma apaho no edu, na woribeyi nyimpa Ba no ama, ma wɔaabɔ no mbeamudua mu.", "#Eks 12.1-27"
"MAT.26.3", "Nna asɔfompanyin nye ɔman mpanyimfo no kehyiaa ɔsɔfopanyin a wɔfrɛ no Kaiafas n’aban mu,", ""
"MAT.26.4", "na wotuu egyina wɔ mbrɛ wɔnam nyansa mu bɛkyer Jesus eku no ho.", ""
"MAT.26.5", "Na wɔsee dɛ, Nnyɛ afahyɛ mu bi a, amma wentwiwentwi aammba ɔman no mu.", ""
"MAT.26.6", "Na ber a Jesus wɔ Bɛtani wɔ Simon kwatanyi no ne fie no,", ""
"MAT.26.7", "ɔbaa bi a ɔdze ngohuam a ɔsom bo alabastron toa ma baa ne nkyɛn, na ɔtse edzidzi no, obohuei guu n’etsifi.", "#Luk 7.37, 38"
"MAT.26.8", "Na esuafo no hunii no, wonyaa ebufuw na wɔsee dɛ, Adzesɛɛ a ɔtse dɛm yi ase nye dɛn?", ""
"MAT.26.9", "Nkyɛ wɔbɔtɔn ngohuam yi agye sika pii na wɔdze akyɛ ehiafo.", ""
"MAT.26.10", "Na Jesus tsee no, ɔsee hɔn dɛ,  Ebɛnadze ntsi na hom rehaw ɔbaa no? Na ɔayɛ edwuma pa wɔ mo ho.", ""
"MAT.26.11", "Na hom wɔ ehiafo wɔ hom nkyɛn daa; na emi dze, hom nnyi me daa.", "#Deut 15.11"
"MAT.26.12", "Na dɛ oehue ngohuam yi egu me nyimpadua do yi, ɔayɛ ama me nsiei.", ""
"MAT.26.13", "Meka no nokwar kyerɛ hom dɛ, Beebiara a wɔbɛka asɛmpa yi wɔ wiadze nyina mu no, dza ɔbaa yi ayɛ so wɔbɛka dze ayɛ ne nkaa.", ""
"MAT.26.14", "Nna duebien no mu kor a wɔfrɛ no Judas Iskariot no kɔr asɔfompanyin no hɔ,", ""
"MAT.26.15", "na ɔkɛsee hɔn dɛ, Hom bɛma me ebɛnadze ma meeyi no ama hom? Na wokeer ndwetɛbona eduasa maa no.", "#Zek 11.12"
"MAT.26.16", "Na ofitsi aber no, ɔhwehwɛɛ mbrɛ obenya kwan eyi no ama.", ""
"MAT.26.17", "Na epitsi afahyɛ da a odzi kan no, esuafo no baa Jesus nkyɛn bɛsee no dɛ, Hen na epɛ dɛ yesiesie ma ikedzi apaho no?", ""
"MAT.26.18", "Na ɔsee dɛ,  Hom nkɔ kurow no mu osimesi no hɔ, na hom nkɛse no dɛ, Kyerɛkyerɛfo no se, Me ber abɛn: wo fie na menye m’esuafo bedzi apaho no.", ""
"MAT.26.19", "Na esuafo no kɛyɛɛ dɛ mbrɛ Jesus hyɛɛ hɔn no na wosiesiee apaho no.", ""
"MAT.26.20", "Na odur ewimbir no, ɔnye esuafo duebien no bɛtsenaa edzidzii.", ""
"MAT.26.21", "Na woridzidzi no, ɔsee dɛ,  Ampa, mese hom dɛ, Hom mu baako beyi me ama.", ""
"MAT.26.22", "Na ɔyɛɛ hɔn awerɛhow pii, na wɔhyɛɛ ase see no nkorkor dɛ, Ewuradze, ana emi a?", ""
"MAT.26.23", "Na obuae see dɛ,  Nyia ɔnye me to nsa wɔ ɔsɛn no mu no, ɔnoara na obeyi me ama.", "#Dwom 41.9"
"MAT.26.24", "Na nyimpa Ba no rokɔ, dɛ mbrɛ wɔakyerɛw wɔ no ho: mbom nyimpa a wɔnam no do beyi nyimpa Ba no ama no ndue! Sɛ wɔannwo dɛm nyimpa no a, nkyɛ oye ma no.", ""
"MAT.26.25", "Na Judas a oriyi no ama no buae see dɛ, Kyerɛkyerɛfo, ana emi a? Ɔsee no dɛ,  Aka.", ""
