"MAT.27.1", "Na adze kyee no, asɔfompanyin nye ɔman mpanyimfo no nyina faa Jesus ho apam dɛ woboku no.", ""
"MAT.27.2", "Na wɔkyekyeer no dze no kɔree kɛhyɛɛ ambrado Pilate nsa.", ""
"MAT.27.3", "Nna Judas a oyii no mae no, ohun dɛ woebu no fɔ no, onuu no ho, na ɔdze ndwetɛbona eduasa no brɛɛ asɔfompanyin nye mpanyimfo no dɛ,", "#Ndwu 1.18, 19"
"MAT.27.4", "Mayɛ bɔn dɛ meyi bɔgya a onndzi fɔ ama. Na wobuaa dɛ, Ɔfa hɛn ho bɛn? Woara w'asɛm a.", ""
"MAT.27.5", "Na ɔtoow ndwetɛbona no guu asɔrdan no mu, na osii mu kɔree kɛsɛɛn ne men.", ""
"MAT.27.6", "Na asɔfompanyin no faa ndwetɛbona no na wɔsee dɛ, Ɔmmfa mbra mu dɛ wɔdze to ayɛyɛdze adaka no mu, osiandɛ ɔyɛ bɔgya ho sika.", ""
"MAT.27.7", "Na wɔfaa apam, na wɔdze kɛgyee ɔwemfo asaase no, ama woeesie ahɔho wɔ mu.", ""
"MAT.27.8", "Dɛm ntsi asaase no, wɔfrɛ no bɔgya asaase dze bodu ndɛ.", ""
"MAT.27.9", "Nna dza nkɔnhyɛnyi Jeremia kae no baa mu dɛ, Na wɔfaa ndwetɛbona eduasa no, nyia wodzii ne tsir bo no no bo a Israelmba mu binom twae no,", "#Zek 11.12, 13"
"MAT.27.10", "na wɔdze gyee ɔwemfo asaase no, dɛ mbrɛ Ewuradze hyɛɛ me no.", ""
"MAT.27.11", "Na Jesus gyinaa ambrado no enyim; na ambrado no bisaa no dɛ, Ana Jewfo Hen nye wo a? Na Jesus see no dɛ,  Aka.", ""
"MAT.27.12", "Na asɔfompanyin nye mpanyimfo no toatoaa no, naaso oemmbua hwee.", ""
"MAT.27.13", "Nna Pilate see no dɛ, Ana enntse ndzɛmba pii a woridzi ho dase tsia wo yi?", ""
"MAT.27.14", "Naaso oemmbua no wɔ asɛm kor mpo ho, ma ɔyɛɛ ambrado no nwanwa kɛse.", ""
"MAT.27.15", "Nna afahyɛ du a, ambrado no tɔ dɛ ogyaa daduanyi kor a wɔpɛ ma nyimpadodow no.", ""
"MAT.27.16", "Nna wɔwɔ daduanyi bi wɔ hɔ a wɔfrɛ no Barabbas.", ""
"MAT.27.17", "Dɛm ntsi wobehyiae no, Pilate bisaa hɔn dɛ, Woana na hom pɛ dɛ migyaa no ma hom? Barabbas anaa Jesus a wɔfrɛ no Kraest no a?", ""
"MAT.27.18", "Nna onyim dɛ enyitan ntsi na woyii no mae.", ""
"MAT.27.19", "Na ɔtse atsɛmbu egua do no, ne yer somaa obi wɔ ne nkyɛn dɛ, Mma ennye nyimpa tsenenee no nndzi asɛm bi, na ɔno ntsi mehu amandze pii wɔ adaaso mu ndɛ.", ""
"MAT.27.20", "Na asɔfompanyin nye mpanyimfo no wee guu nyimpadodow no aso mu dɛ wombisa Barabbas, na wonku Jesus.", ""
"MAT.27.21", "Na ambrado no bisaa hɔn dɛ, Hɔn beenu yi mu woana na hom pɛ dɛ migyaa no ma hom? Wɔsee dɛ, Barabbas a.", ""
"MAT.27.22", "Pilate see hɔn dɛ, Na Jesus a wɔfrɛ no Kraest no, menyɛ no dɛn? Hɔn nyina see dɛ, Ma wɔmbɔ no mbeamudua mu.", ""
"MAT.27.23", "Na ɔsee dɛ, Ebɛn bɔn na ɔayɛ? Na wɔtseatseaa mu mbordo dɛ, Ma wɔmbɔ no mbeamudua mu.", ""
"MAT.27.24", "Na Pilate hun dɛ onntum nnyɛ ho hwee, na mbom wentwiwentwi reba no, ɔfaa nsu hohoor ne nsa ho wɔ nyimpadodow no enyim see dɛ, Minndzi so wɔ nyimpa tsenenee yi no bɔgyaa ho: homara hom asɛm.", "#Deut 21.6-9"
"MAT.27.25", "Na ɔman no nyina buae see dɛ, No bɔgyaa ngu hɛn nye hɛn mba etsifi.", ""
"MAT.27.26", "Nna ogyaa Barabbas maa hɔn, na Jesus dze, ɔkaa no mpire no, oyii no mae dɛ wɔnkɔbɔ no mbeamudua mu.", ""
"MAT.27.27", "Nna ambrado no no nsordaafo no faa Jesus kɔr ambrado aban mu hɔ, na wohyiahyiaa nsordaafokuw no nyina baa ne nkyɛn.", ""
"MAT.27.28", "Na wɔpɔɔr n'atar, na wɔdze atar memen hyɛɛ no,", ""
"MAT.27.29", "na wɔween nsoɛ katraka dze hyɛɛ ne tsir, na wɔdze ndzɛmbir hyɛɛ ne nsa nyimfa mu, na wobuu ntwɛr wɔ n'enyim, na wosii no atwetwe dɛ, Jewfo Hen, o!", ""
"MAT.27.30", "Wohinahinaa ntafi guu no do, na wɔgyee ndzɛmbir no na wɔdze bɔɔ n'etsifi.", ""
"MAT.27.31", "Na wowiee no atwetwe si no, wɔpɔɔr atar no wɔ no ho, na wɔdze nankasa n'atar hyɛɛ no, na wɔdze no kɔree dɛ wɔrokɔbɔ no mbeamudua mu.", ""
