"MIC.6.1", "Afei hom ntsie dza EWURADZE se ɛ: Soɛr, bɔ wo nkuro wɔ mbepɔw enyim, na ma nkoko no ntse wo ndze.", ""
"MIC.6.2", "Hom mbepɔw, hom ntsie EWURADZE no nkurobɔ, na hom asaase mfapem a wɔwɔ hɔ daa no: na EWURADZE nye ne man enya ham, na ɔnye Israel beyi atsɛn.", ""
"MIC.6.3", "Ao me man, mayɛ wo dɛn, na mafona wo ebɛnadze mu? Dzi dase tsia me ɛ.", ""
"MIC.6.4", "Na emi na medze wo fii Egypt asaase do bae, na mopoon wo fii nkowaayɛ fi no mu; na mosomaa Moses, Aaron, na Miriam dzii w’enyim.", "#Eks 4.10-16; 12.50-51; 15.20"
"MIC.6.5", "Ao me man, kaa egyina a Moabhen Balak tui, na dza Beor ba Balaam dze buaa no; kaa ofitsi Sittim kodu Gilgal, ama hom eehu EWURADZE ne ndzeyɛtsenenee.", "#Nka 22.2—24.25; Jos 3.1—4.19"
"MIC.6.6", "Ebɛnadze na memfa mbra EWURADZE enyim, na mombɔkotow ɔsorsor Nyankopɔn no? Aso memfa ɔhyew afɔr, nye anantwimba a woedzi afe kor mbra?", ""
"MIC.6.7", "Aso EWURADZE n’enyi bɔsɔ nguannyin mpempem, anaa ngo esutsen mpem du du? Aso memfa m’abakan mma wɔ me mbrato ntsi, mo honam mu aba memma wɔ me kra no bɔn ntsi?", ""
"MIC.6.8", "Ao onyimpa, wɔakyerɛ wo dza oye; na ebɛnadze bio na EWURADZE rohwehwɛ no wo hɔ, dɛ ebɛyɛ tsenenee na ebɔdɔ mbɔbɔrhu ara, na enye wo Nyankopɔn bɛnantsew ahobrɛadze mu?", ""
"MIC.6.9", "EWURADZE ne ndze refrɛ kurow no, na hɔn a wosuro no no yɛ enyansafo: hom nnyɛ aso mma ntsea no, na nyia ɔahyɛ no.", ""
"MIC.6.10", "Aso emumuyɛ akoradze wɔ emumuyɛ fi no mu, na esusudze a ɔnnso a ɔyɛ ekyiwadze no.", ""
"MIC.6.11", "Aso mubobu nyia emumuyɛ nsɛn na foto a nsisi abrambo wɔ mu wɔ ne nsamu no bem anaa?", ""
"MIC.6.12", "Osiandɛ emimdzi ahyɛ no mu ahonyafo no amaama, na no mu atsefo no aka atorsɛm, na hɔn gyirama daadaa wɔ hɔn anomu.", ""
"MIC.6.13", "Dɛm ntsi na mepira wo pira dzen; wo bɔn ntsi na mayɛ wo afoafo.", ""
"MIC.6.14", "Ɔwo ibedzidzi, na eremmee; na ebɛtse kɔm yerɛyerɛɛyerɛw: ibeyi, na ennkɛfa no tɔtrɔtɔ akɔ; na dza edze bɔkɔ no, medze bɛma afona.", ""
"MIC.6.15", "Ibodua, na innkobu: ibetsiatsia ngoaba do, na ennkɛsera woho ngo; na ebɛtsetsew wenyinaba, naaso eronnom nsa no bi.", ""
"MIC.6.16", "Osiandɛ edzi Omri ahyɛdze na Ahab fifo nyɛe nyina do, na enantsew hɔn apam mu: mebɛma aayɛ amamfo, na wo mu atsefo so aayɛ asesardze; na aasoa me man n’enyimguase.", "#1 Ahe 16.23-34; 21.25-26"
