"MRK.1.1", "Jesus Kraest, [Nyankopɔn Ba]  no, ne nsɛmpa no ahyɛse.", "#1.1 Tsetse akyerɛwfo no bi mmfa Nyankopɔn Ba yi nnka ho."
"MRK.1.2", "Dɛ mbrɛ wɔakyerɛw no wɔ nkɔnhyɛnyi Isaia mu dɛ, Hwɛ, morosoma mo bɔfoe ma oeedzi w'enyim kan, Obesiesie wo kwan mu;", "#Mal 3.1"
"MRK.1.3", "Obi ne ndze retsea mu wɔ sar no do dɛ, Hom nsiesie Ewuradze no kwan, Hom mma n'atsempɔn ntsentsen;", "#Isa 40.3"
"MRK.1.4", "John bae bonumae wɔ sar no do na ɔpaa mu kaa nnuho enuma a ɔdze kɔ bɔnfakyɛ mu no ho asɛm.", ""
"MRK.1.5", "Na Judea man nyina, na Jerusalɛmfo nyina puee kɔr no hɔ kɛkaa hɔn bɔn, na onumaa hɔn wɔ Esutsen Jordan mu.", ""
"MRK.1.6", "Nna John fura efupɔnkɔnhwi tam na nwoma abɔdo bɔ n'asen, na odzi mbɛbɛw na kwaa mu ewo.", "#2 Ahe 1.8"
"MRK.1.7", "Na ɔpaa mu kaa dɛ, Obi a no ho yɛ dzen kyɛn me dzi m'ekyir reba a no nsokota ho ahoma mpo mennsɛ dɛ mobɔkotow masan.", ""
"MRK.1.8", "Emi dze, munumaa hom nsu mu, na ɔno, dze, obonuma hom wɔ Sunsum Krɔnkrɔn mu.", ""
"MRK.1.9", "Na ɔbaa dɛ nda no mu no Jesus fii Galilii Nazarɛt bae, na John numaa no wɔ Esutsen Jordan mu.", ""
"MRK.1.10", "Na ntsɛmara a ofi nsu no mu reba no, ohun dɛ sor apaa ebien na Sunsum no tse dɛ ebubur risian ba no do:", ""
"MRK.1.11", "na ndze bi fii sor baa dɛ, Ɔwo nye mo Dɔba a esɔ m'enyi.", "#Gye 22.2; Dwom 2.7; Isa 42.1; Mat 3.17; 12.18; Mar 9.7; Luk 3.22"
"MRK.1.12", "Na amonmu hɔ ara na Sunsum no faa no ɔhardo kɔr sar no do.", ""
"MRK.1.13", "Na odzii sar no do hɔ adaduanan, ma Satan sɔɔ no hwɛe; nna ɔnye hambowa wɔ hɔ; na abɔfo no soom no.", ""
"MRK.1.14", "Na afei woyii John mae no ekyir no, Jesus baa Galilii bɛkaa Nyankopɔn ho asɛmpa no, na ɔsee dɛ,", ""
"MRK.1.15", "Aber no aso na Nyankopɔn ahenman no abɛn: hom nnu homho, na hom ngye asɛmpa no ndzi.", "#Mat 3.2"
"MRK.1.16", "Na ɔnenam Galilii po ho no, ohun Simon nye Simon no nua Andrew dɛ wɔrotow eboa wɔ po mu, osiandɛ wɔyɛ apofo.", ""
"MRK.1.17", "Na Jesus see hɔn dɛ,  Hom mbedzi m'ekyir na mebɛma hom ayɛ nyimpa enufo.", ""
"MRK.1.18", "Na ntsɛmara wɔdaan eboa no gyaae na wobedzii n'ekyir.", ""
"MRK.1.19", "Na ɔkɔr enyim kakra no, ohun James, Zebedee ne ba no, ɔnye no nua John a hɔn so wɔwɔ hɛn mu resa hɔn mboa.", ""
"MRK.1.20", "Na ntsɛmara ɔfrɛɛ hɔn; na wɔdaan hɔn egya Zebedee nye apaafo no gyaa hɛn no mu, na wokedzii n'ekyir.", ""
