"MRK.2.1", "Nda kakra bi ekyir no, ɔkɔr Karpernaum bio, na wɔtsee dɛ ɔwɔ fie.", ""
"MRK.2.2", "Na dodowara behyiaa mu, ma nna wonnya kwan bio mma hɔn, nnyɛ abowano hɔ mpo; na ɔkaa asɛm no kyerɛɛ hɔn.", ""
"MRK.2.3", "Na wɔdze mbubuinyi a nyimpa baanan so no baa no hɔ.", ""
"MRK.2.4", "Na ɔnam nyimpadodow no ntsi na wonnya kwan nntwe mmbɛn no no, wɔkɛpaa dan a ɔwɔ mu no etsifi; na wotuu mu tu na wɔdze kɛtɛ a mbubuinyi no da do no duaa mu gyaagyaa mu sii famu.", ""
"MRK.2.5", "Na Jesus hun hɔn gyedzi no, ɔsee mbubuinyi no dɛ,  Ɔba, wɔdze wo bɔn akyɛ wo.", ""
"MRK.2.6", "Nna kyerɛwfo no binom tsetse hɔ, na wɔdwendween hɔn akoma mu dɛ,", ""
"MRK.2.7", "Ɔyɛ dɛn na oyi kasa dɛm yi? Ebususɛm na ɔka: woana botum dze bɔn akyɛ dɛ Nyankopɔn nkotsee?", ""
"MRK.2.8", "Na ntsɛmara Jesus hun wɔ no sunsum mu dɛ wɔrodwendwen dɛm wɔ hɔn akoma mu no, ɔsee hɔn dɛ,  Ebɛnadze ntsi na hom rodwendwen dɛm wɔ hom akoma mu yi?", ""
"MRK.2.9", "Dza ɔwɔ hen na ɔyɛ mberɛw kɛse, dɛ ebɛse mbubuinyi no dɛ, Wɔdze wo bɔn akyɛ wo, anaa ebɛse dɛ, Soɛr, fa wo kɛtɛ, na nantsew, a?", ""
"MRK.2.10", "Na mbrɛ ɔbɛyɛ ma hom ehu dɛ nyimpa Ba no wɔ tum wɔ asaase do dɛ ɔdze bɔn kyɛ ntsi, ɔsee mbubuinyi no dɛ,", ""
"MRK.2.11", "Mese wo dɛ,  Soɛr, fa wo kɛtɛ na kɔ wo fie.", ""
"MRK.2.12", "Na ɔsoɛree, na ntsɛmara ɔfaa kɛtɛ no, na osii mu wɔ hɔn nyina enyim kɔree. Na ɔmaa hɔn nyina ho boow hɔn, na wɔhyɛɛ Nyankopɔn enyimnyam dɛ, Yennhun dɛm adze yi bi da.", ""
"MRK.2.13", "Na opuee bio kɔr mpoano; na nyimpadodow no nyina kɔr no hɔ, na ɔhyɛɛ ase kyerɛkyerɛɛ hɔn.", ""
"MRK.2.14", "Na ɔresen no ohun Alfaeus ne ba Levi dɛ ɔtse atowgyebea, na ɔsee no dɛ,  Ka mo do.  Na ɔsoɛree kaa no do.", ""
"MRK.2.15", "Na ɔbaa dɛ ɔtse edzidzi wɔ ne fie no; atowgyefo nye ndzebɔnyɛfo pii nye Jesus na n'esuafo bɛtsenatsenaa hɔ: nna hɔn a wɔka no do no dɔɔ so.", ""
"MRK.2.16", "Na akyerɛwfo a wofi Farisiifo no mu no hun dɛ ɔnye ndzebɔnyɛfo nye atowgyefo ridzidzi no, wobisaa n'esuafo no dɛ, Ɔyɛ dɛn na ɔnye atowgyefo nye ndzebɔnyɛfo dzidzi nom yi?", ""
