"MRK.3.1", "Na ɔkɛhɛɛn nhyiamudan no mu bio; na nyimpa bi wɔ hɔ a ne nsa adwedwe.", ""
"MRK.3.2", "Na wɔtsɛɛw no hwɛɛ dɛ ɔbɛyɛ no edur ahomgyeda no, ama wɔaatoa no.", ""
"MRK.3.3", "Na ɔsee nyimpa no a ne nsa adwedwe no dɛ,  Soɛr gyina finimfin.", ""
"MRK.3.4", "Na obisaa hɔn dɛ,  Ana ɔfa mbra mu dɛ ahomgyeda wɔbɛyɛ dza oye, anaa wɔbɛyɛ dza omuo? Wɔbɛgye nkwa, anaa woboku a?", ""
"MRK.3.5", "Na womuaa hɔn ano. Na ɔhwɛɛ hɔn hyiae ebufuw do, na hɔn akoma dzen ntsi ɔyɛɛ no yaw no, ɔsee nyimpa no dɛ,  Tsen wo nsa.  Na ɔtsenee; na ne nsa no sanee dzii mu.", ""
"MRK.3.6", "Na Farisiifo no puei, na ntsɛmara wɔnye Herod akadofo kɛfaa apam wɔ mbrɛ wɔbɛyɛ asɛɛ no ho.", ""
"MRK.3.7", "Na Jesus nye n’esuafo no twee hɔnho kɔr mpoano; na nyimpadodow pii fii Galilii kaa no do;", ""
"MRK.3.8", "na wofi Judea, Jerusalɛm, Idumea, na Jordan egya, na Taere nye Sidon nkyɛn, nyimpadodow pii a wɔtsee ndzɛmba akɛse pii a ɔyɛe no, na wɔbaa ne nkyɛn.", ""
"MRK.3.9", "Na ɔkaa kyerɛɛ n’esuafo no dɛ wɔnyɛ hɛn kakraba bi krado ntweɔn no wɔ nyimpadodow no ntsi, amma wɔaannkyer no do;", "#Mar 4.1; Luk 5.1-3"
"MRK.3.10", "ɔnam dɛ ɔsaa pii yarba ntsi, dodowara a mbusu horow aba hɔn do no bɛkyeer no do dɛ worubosusuo no mu.", ""
"MRK.3.11", "Na esunsum fi so, sɛ wohu no a, wotwa hwe n’enyim, na wɔka mu dɛ, Ɔwo nye Nyankopɔn Ba no.", ""
"MRK.3.12", "Na Jesus braa hɔn ketsee dɛ mma wonnyi no nnkyerɛ.", ""
"MRK.3.13", "Na ɔkɔr koko do, na ɔfrɛɛ hɔn a noara rohwehwɛ hɔn no, na wɔkɔr ne nkyɛn.", ""
"MRK.3.14", "Na oyii duebien, dɛ wɔnye no bɛtsena,", ""
"MRK.3.15", "na dɛ ɔbɔsoma hɔn ama wɔaakɛka asɛm no na woeenya tum dze etu mbɔnsam.", ""
"MRK.3.16", "Na Simon ɔtoo no dzin Peter,", ""
"MRK.3.17", "na Zebedee ba James, nye James no nua John; na ɔtoo hɔn dzin Boanerges, ɔno nye dɛ Senaman Mba;", ""
"MRK.3.18", "nye Andrew, nye Filip, nye Bartholomew, nye Matthew, nye Tomas, nye Alfaeus ba James, nye Tadeus,", ""
"MRK.3.19", "nye Keenannyi Simon, nye Judas Iskariot a ɔno na oyii no mae no.", ""
"MRK.3.20", "Na ɔbaa fie; na nyimpadodow no behyiaa bio, ma dɛm ntsi woenntum enndzidzi mpo.", ""
"MRK.3.21", "Na n’ebusuafo no tsee no, wofiir edzi dɛ wɔrobɔtwe no akɔ, osiandɛ nna binom reka dɛ, N’adwen mu aka.", ""
"MRK.3.22", "Na kyerɛwfo no a wofi Jerusalɛm bae no see dɛ, Ɔwɔ Beelzebul, na mbɔnsam hɔn panyin do na ɔnam tu mbɔnsam no.", "#Mat 9.34; 10.25"
"MRK.3.23", "Na ɔfrɛɛ hɔn baa ne nkyɛn no, obubuu mbɛ see hɔn dɛ,  Ɔbɛyɛ dɛn na Satan botum etu Satan?", ""
"MRK.3.24", "Na sɛ ahenman nye no ho dzi mpaapaamu a, ahenman no nntum nngyina.", ""
"MRK.3.25", "Na sɛ ofi nye no ho dzi mpaapaamu a, ofi no runntum nngyina.", ""
"MRK.3.26", "Na sɛ Satan asoɛr nankasa no do na oedzi mpaapaamu a, onnkotum egyina, nna n’ewiei edu.", ""
"MRK.3.27", "Na obi nntum nnkɔ ɔkatakyi bi ne fie nnkotu nhyɛ n’efidze do mfom mfa, gyedɛ odzi kan kyekyer ɔkatakyi no, ansaana ɔafom ne fie.", ""
"MRK.3.28", "Mereka akyerɛ hom pefee dɛ, Bɔn nyina wɔdze bɛkyɛ nyimpa mba, nye ebususɛm a wɔbɛka nyina;", ""
"MRK.3.29", "naaso nyia ɔbɛka ebususɛm etsia Sunsum Krɔnkrɔn no dze, orinnya fakyɛ da, na onnyiewiei afɔdzi da no do:", "#Luk 12.10"
"MRK.3.30", "osiandɛ wɔsee dɛ, Ɔwɔ sunsum fi.", ""
"MRK.3.31", "Na ne na nye no nuanom bae begyinaa abow no enyim somae ma wɔkɛfrɛɛ no.", ""
"MRK.3.32", "Nna nyimpadodow tsetse ne nkyɛn, na wɔsee no dɛ, Hwɛ, wo na nye wo nuanom gyina abow enyim rohwehwɛ wo.", ""
"MRK.3.33", "Na obuae see hɔn dɛ,  Woana nye me na nye mo nuanom?", ""
"MRK.3.34", "Na ɔtoo n’enyi hwɛɛ hɔn a wɔtsetse ne nkyɛn hyiae no, ɔsee dɛ,  Hwɛ, me na nye mo nuanom.", ""
"MRK.3.35", "Na obiara a ɔbɛyɛ Nyankopɔn ne pɛ no, ɔno nye mo nua, nye m’akyerɛbaa, nye me na.", ""
