"MRK.5.1", "Na wɔbaa po no n'egya wɔ Gerasafo asaase do.", ""
"MRK.5.2", "Na ofii hɛn no mu no, ntsɛmara na nyimpa bi a ɔwɔ sunsum fi fiir abodan mu wɔ esiei behyiaa no:", ""
"MRK.5.3", "ɔno na ɔdze abodan mu ayɛ ne tsenabew; na obiara nntum mmfa nkɔnsɔnkɔnsɔn mpo nnkyekyer no bio,", ""
"MRK.5.4", "mber pii na wɔdze mpokyerɛ nye nkɔnsɔnkɔnsɔn akyekyer no, na ɔatsetsew nkɔnsɔnkɔnsɔn no mu, ebubu mpokyerɛ no mu, na obiara nnyi ahoɔdzen dɛ ɔbɔdwedwe no.", ""
"MRK.5.5", "Na dabaa adzekyee nye adzesaa nyina nna ɔwɔ abodan mu nye nkokwaa do, ɔretseatsea mu, na ɔdze abo rutwitwa noho.", ""
"MRK.5.6", "Na ohun Jesus wɔ ekyirekyir no, otutuu mbirika kɔkotoow no;", ""
"MRK.5.7", "na ɔdze ndze kɛse tseaa mu see dɛ, Menye wo wɔ ebɛn yɛ, Jesus, Ɔsorsor Nyankopɔn Ba? Meka Nyankopɔn dɛ mma nnhaw me!", ""
"MRK.5.8", "Osiandɛ nna Jesus ase no dɛ, Sunsum fi, fi nyimpa no mu!", ""
"MRK.5.9", "Na Jesus bisaa no dɛ,  Wo dzin dze dɛn?  Na ɔsee no dɛ, Me dzin dze Legyin, osiandɛ yɛdɔɔ so.", ""
"MRK.5.10", "Na ɔserɛɛ no pii dɛ mma ɔmmpam hɔn mmfi asaase no do.", ""
"MRK.5.11", "Nna mprekokuw kɛse bi wɔ kokwaa ne nkyɛn a woridzidzi.", ""
"MRK.5.12", "Na wɔserɛɛ no see dɛ, Soma hɛn mpreko no mu, ma yɛnkɔ hɔn mu.", ""
"MRK.5.13", "Na ɔmaa hɔn kwan. Na esunsum fi no fiir edzi kɛhɛɛn mpreko no mu, na okuw no nyina faa twitwi kesiaan ɔbo kronn no koguguu po no mu, wɔbɛyɛ mpemebien, na wɔtseetsee wui wɔ po no mu.", ""
"MRK.5.14", "Na hɔn a wɔrenyɛn mpreko no guanee na wɔkɛkae wɔ kurow no mu na no nkwaado. Na wopuei bɔhwɛɛ adze kor a aba no.", ""
"MRK.5.15", "Na wɔbaa Jesus nkyɛn no, wobohun nyia mbɔnsam faa no no dɛ ɔtse hɔ hyɛ atar, na n'adwen mu atsew no, mekyerɛ nyia a onyaa Legyin no a; na wosuroi.", ""
"MRK.5.16", "Na hɔn a wohunii no kaa mbrɛ ɔyɛɛ nyia mbɔnsam faa no nye mpreko no ho asɛm kyerɛɛ hɔn.", ""
"MRK.5.17", "Na wɔhyɛɛ ase serɛɛ Jesus dɛ omfi hɔn apaamu hɔ nkɔ.", ""
"MRK.5.18", "Na ɔrokɔ hɛn no mu no, nyimpa a nkan no mbɔnsam faa no no serɛɛ no dɛ ɔnye no bɛtsena.", ""
"MRK.5.19", "Naaso Jesus amma no kwan, na ɔsee no dɛ,  Kɔ wo fie wɔ w'ebusuafo nkyɛn kɛka ndzɛmba akɛse a Ewuradze ayɛ ama wo, na mbrɛ oesi ehu wo mbɔbɔr no.", ""
"MRK.5.20", "Na osii mu kɔree, na ɔkɛhyɛɛ ase kaa ndzɛmba akɛse a Jesus yɛe maa no no wɔ Dekapolis, na ɔyɛɛ nyimpa nyina nwanwa.", ""
