"MRK.6.1", "Na Jesus fii hɔ kɔree, na ɔbaa nankasa no kurow mu, na n’esuafo no dzii n’ekyir.", ""
"MRK.6.2", "Na ahomgyeda no durii no, ɔhyɛɛ ase kyerɛkyerɛe wɔ nhyiamudan no mu, na nyimpadodow no tsiee no no, hɔn ho boow hɔn dɛ, Henfa na oyi nyaa dɛm ndzeyɛɛ yi? Ebɛn nyansa nye dza wɔdze ama no yi, na ebɛn tum ndwuma nye dza ɔdze ne nsa ayɛ yi?", ""
"MRK.6.3", "Ana nnyɛ odwimfo no a ɔyɛ Mary ne ba no, James nye Judas nye Simon hɔn nua no nye yi bi? Ana nnyɛ ne nkyerɛbaa na wɔwɔ hɛn nkyɛn ha yi? Na ɔyɛɛ hɔn fintsidua.", ""
"MRK.6.4", "Na Jesus see hɔn dɛ, Enyidzi mmbɔ nkɔnhyɛnyi gyedɛ nankasa no kurow mu, nye n’ebusuafo mu, nye nankasa ne fie.", "#Joh 4.44"
"MRK.6.5", "Na oenntum annyɛ tum edwuma biara wɔ hɔ, gyedɛ ayarfo kumaabi a ɔdze ne nsa too hɔn do yɛɛ hɔn edur.", ""
"MRK.6.6", "Na gyedzi a wonnyi yɛɛ no nwanwa. Nna okekyiin nkurobaase kyerɛkyerɛe.", ""
"MRK.6.7", "Na ɔfrɛɛ duebien no, na ɔhyɛɛ ase somaa hɔn beenu beenu, na ɔmaa hɔn tum wɔ esunsum fi do;", ""
"MRK.6.8", "na ɔhyɛɛ hɔn dɛ mma wɔmmfa biribiara nntu kwan, gyedɛ poma nko: mma wɔmmfa edziban anaa kotoku, anaa sika wɔ hɔn abɔdo mu;", "#Luk 10.4-11"
"MRK.6.9", "na wɔnhyɛ mpaboa, na mma wɔnnhyɛ ntar ebien.", ""
"MRK.6.10", "Na ɔsee hɔn dɛ,  Beebiara mbrɛ hom bɛhɛn fi biara mu no, hom ntsena hɔ nkodu dɛ hom befi hɔ akɔ.", ""
"MRK.6.11", "Na kurow biara a ɔnnkɛgye hom no, na wonnketsie hom wɔ mu no, hom fi hɔ rokɔ a, hom mporoporow hom ananadze huntuma ngye dase ntsia hɔn.", "#Ndwu 13.51"
