"MRK.7.1", "Na Farisiifo no nye kyerɛwfo bi a wofi Jerusalɛm bae behyiaa ne nkyɛn,", ""
"MRK.7.2", "na wohun dɛ n’esuafo no bi dze nsa a ho nntsew, ɔno nye dɛ nsa a wɔannhohor ho, ridzidzi.", ""
"MRK.7.3", "(Na Farisiifo no nye Jewfo nyina, sɛ wɔannhohor hɔn nsa ho yie a, wonndzidzi, na wokitsa mpanyimfo atsetsesɛm no mu;", ""
"MRK.7.4", "na sɛ wofi gua do ba, na wɔannhohor hɔnho a, wonndzidzi, na ndzɛmba pii ka ho a wɔagye dɛ wobosuo mu, nkɔɔpow nye nhina nye nyewasɛn ho hohor.)", ""
"MRK.7.5", "Na Farisiifo no nye kyerɛwfo no bisaa no dɛ, Ebɛnadze ntsi na w’esuafo nnantsew mpanyimfo atsetsesɛm no do, na wɔdze nsa a ho nntsew dzidzi yi?", ""
"MRK.7.6", "Na ɔsee hɔn dɛ,  Isaia hyɛɛ hom ndabrabafo ho nkɔm yie dɛ  (dɛ mbrɛ wɔakyerɛw no), Ɔman yi dze hɔn anofamfa dzi me nyi, Na hɔn akoma dze, ɔnye me ntamu twe kɛse;", "#Isa 29.13"
"MRK.7.7", "Na wɔsɔr me gyan, Wɔkyerɛkyerɛ nkyerɛkyerɛ a ɔyɛ nyimpa ahyɛdze.", ""
"MRK.7.8", "Hom egya Nyankopɔn ne mbra hɔ: na hom esuo nyimpa atsetsesɛm mu.", ""
"MRK.7.9", "Na ɔkɔr do see hɔn dɛ,  Hom pow Nyankopɔn ne mbra no papaara pi, ama hom eedzi hom atsetsesɛm do.", ""
"MRK.7.10", "Na Moses kaa dɛ, Dzi w’egya nye wo na nyi, na, Obiara a ɔhyɛ egya anaa na ahorba no, owu na onwu;", "#Eks 20.12; Eks 21.17; Lev 20.9; Deut 5.16"
"MRK.7.11", "naaso hom dze, hom se dɛ, Sɛ nyimpa bi se n’egya anaa ne na dɛ, biribiara a nkyɛ edze benya mo ho mfaso no yɛ Korban (ɔnye dɛ, Akyɛdze a ɔyɛ Nyankopɔn dze) a,", "#7.11 Anaadɛ, “Ayɛyɛdze”."
"MRK.7.12", "ɔno hom mma no kwan dɛ mma ɔnnyɛ biribi mma n’egya anaa ne na bio:", ""
"MRK.7.13", "ɔnam hom atsetsesɛm a hom dze bae no do, hom amma Nyankopɔn asɛm enntsim; na ndzɛmba a ɔtse dɛm pii na hom yɛ.", ""
"MRK.7.14", "Na ɔfrɛɛ nyimpadodow no baa ne nkyɛn bio no, ɔsee hɔn dɛ,  Hom nyina ntsie me na hom ntse ase:", ""
"MRK.7.15", "biribiara nnyi nyimpa ho a ɔkɔ no mu a obotum egu no ho fi; na dza ofi nyimpa mu ba no, ɔno na ogu nyimpa ho fi.", ""
"MRK.7.16", "Sɛ obiara wɔ aso a wɔdze tsie a, wɔmma ontsie.", ""
"MRK.7.17", "Na ofii nyimpadodow no nkyɛn kɔr fie no, n’esuafo no bisaa no bɛ no ase.", ""
"MRK.7.18", "Na ɔsee hɔn dɛ,  Ana hom so nnyi ntseasee dɛm? Ana hom nnhu dɛ biribiara a ofi nyimpa ho kɔ no mu no, onntum nngu no ho fi,", ""
"MRK.7.19", "osiandɛ ɔnnkɔ n’akoma mu, na mbom ɔkɔ yafun mu, na okeyi gu egyanan mu.  [Ɔkaa yi dze tseew edziban nyina ho.]", ""
"MRK.7.20", "Na ɔsee dɛ,  Dza ofi nyimpa no mu ba no, ɔno na ogu ho fi.", ""
"MRK.7.21", "Na nyimpa akoma mu, na adwembɔn fi ba, ndwamanyɛ,", ""
"MRK.7.22", "adzewia, ewudzi, ayefasɛm, enyiber, emumuyɛ, nsisi, atantanbra, enyibɔn, ebususɛm, ntsɛn, nkwaseasɛm:", ""
"MRK.7.23", "ndzebɔn yinom nyina fi mu na ɔba na ogu nyimpa ho fi.", ""
"MRK.7.24", "Na ɔsoɛree fii hɔ kɔr Taere nye Sidon ntoaado. Na ɔkɔr fi bi mu, na ɔammpɛ dɛ obiara tse, naaso oenntum ennsuma.", ""
"MRK.7.25", "Na ntsɛmara ɔbaa bi a ne babaa kakraba wɔ sunsum fi tsee ne nka no, ɔbae bɔhwee n’ananadze.", ""
"MRK.7.26", "Na ɔbaa no yɛ Griiknyi, na n’awoo mu ɔyɛ Sirofonisianyi; na ɔserɛɛ no dɛ ontu sunsum fi no mfi ne babaa no mu.", ""
"MRK.7.27", "Na Jesus see no dɛ,  Ma mba no mmee ansaana, na ɔnnsɛ dɛ wɔfa mba edziban tow ma mbɔdɔm.", ""
"MRK.7.28", "Na obuae see no dɛ, Mo wura, ɔyɛ nokwar dze; naaso pon ase mbɔdɔm no, wodzi mba hɔn mporoporoba no bi.", ""
"MRK.7.29", "Na Jesus see no dɛ,  Asɛm a aka yi ntsi kɔ: sunsum fi no efi wo babaa no mu.", ""
"MRK.7.30", "Na osii mu kɔr ne fie no, ohun dɛ abofraba no da mpa do, na sunsum fi no efi no mu kɔ.", ""
"MRK.7.31", "Na ofii Taere ntoaado bio koduaa Sidon mu dze faa Dekapolis ntoaado ne finimfin baa Galilii po ho.", ""
"MRK.7.32", "Na wɔdze otsitsifo a ɔpo dodow brɛɛ no, na wɔserɛɛ no dɛ ɔmfa ne nsa nto no do.", ""
"MRK.7.33", "Na ɔdze no fii nyimpadodow no mu kɔr nkyɛn na ɔdze ne nsatseaba hyɛɛ n’asowa mu, na ɔtoo ntafi dze kaa ne tɛkyerɛma,", ""
