"MRK.11.1", "Na wɔbɛɛn Jerusalɛm wɔ Bɛtfage nye Bɛtani, wɔ Ngo Bepɔw ho no, ɔsomaa n'esuafo no mu beenu,", ""
"MRK.11.2", "na ɔsee hɔn dɛ,  Hom nkɔ ekuroba a ɔda hom enyim no mu: na hom du hɔ ara pɛr a, hom bohu asoasopɔnkɔba bi a wɔamontan no a nyimpa biara nntsenaa do da: hom nsan no mfa no mbra.", ""
"MRK.11.3", "Na sɛ obi bisa hom dɛ, Ɔyɛ dɛn na hom reyɛ yi a, hom nse dɛ, Ewuradze wɔ no ho hia, na ntsɛmara ɔbɛma wɔdze no aba ha.", ""
"MRK.11.4", "Na wɔkɔree no wokohun asoasopɔnkɔba no dɛ wɔamontan no abow ho, wɔ abɔntsen petee mu, na wɔsaan no.", ""
"MRK.11.5", "Hɔn a nna wogyina hɔ no bi bisaa dɛ, Hom resan asoasopɔnkɔba no ayɛ dɛn?", ""
"MRK.11.6", "Na wobuaa hɔn dɛ mbrɛ Jesus see hɔn no ara; na wɔmaa hɔn kwan.", ""
"MRK.11.7", "Na wɔdze asoasopɔnkɔba no brɛɛ Jesus, na wɔtoow hɔn ntar guu no do; na ɔtsenaa no do.", ""
"MRK.11.8", "Na dodowara dze hɔn ntar sesɛɛw kwan mu; na binom so dze ndubaa a woetwitwa wɔ efuw mu.", ""
"MRK.11.9", "Na hɔn a wodzii enyim no, na hɔn so a wodzii ekyir no tseaa mu dɛ, Hosanna! Nhyira nye nyia ɔnam Ewuradze dzin mu reba no!", "#Dwom 118.25, 26"
"MRK.11.10", "Nhyira nye hɛn egya David ahendzi a ɔreba no! Hosanna wɔ sorsor!", ""
"MRK.11.11", "Na ɔkɛhɛɛn Jerusalɛm no, ɔkɔr asɔrfi no mu; na ɔahwɛ ndzɛmba nyina ewie, na adze resa no, ɔnye duebien no fii hɔ kɔr Bɛtani.", ""
"MRK.11.12", "Na adze kyee a wofi Bɛtani reba no, ɔkɔm dzee Jesus.", ""
"MRK.11.13", "Na ohun adɔmbadua bi wɔ ekyirekyir dɛ ahaban wɔ do no, ɔkɔr hɔ dɛ bi a nkyɛ obohu biribi wɔ do, naaso odur hɔ no oennhu biribiara dɛ ahaban nko: osiandɛ nna adɔmba ber nndurii.", ""
"MRK.11.14", "Na Jesus see adɔmbadua no dɛ,  Mma obi nndzi wo do eduaba bio da.  Na n'esuafo no tsee.", ""
"MRK.11.15", "Na wodur Jerusalɛm; na ɔkɔr asɔrfi no mu, na ɔhyɛɛ ase paam hɔn a wɔtɔn nye hɔn a wɔtɔ wɔ asɔrfi no mu, na obutuuw sikasesafo hɔn apon nye hɔn a wɔtɔn mbubur no hɔn ngua;", ""
"MRK.11.16", "na ɔamma kwan amma obiara aannsoa adze ammfa asɔrfi no mu.", ""
"MRK.11.17", "Na ɔkyerɛkyerɛe see hɔn dɛ,  Ana wɔnnkyerɛw no dɛ, Wɔbɛfrɛ me fi asɔryɛbea ama amanaman nyinara? Naaso hom dze, hom ayɛ no edwotwafo tu.", "#Isa 56.7; Jer 7.11"
"MRK.11.18", "Na asɔfompanyin nye kyerɛwfo no tsee, na wɔhwehwɛɛ mbrɛ wɔbɛyɛ asɛɛ no: na wosuroo no, osiandɛ ne nkyerɛkyerɛ yɛɛ nyimpadodow nyina ahobow.", ""
"MRK.11.19", "Na adzesae no, Jesus nye n'esuafo no fii kurow no mu hɔ.", ""
"MRK.11.20", "Na anapa no a wɔresen no, wohun adɔmbadua no dɛ ofitsi no ndwow akyenkyen.", ""
"MRK.11.21", "Na Peter kaae na ɔsee no dɛ, Kyerɛkyerɛfo, hwɛ, adɔmbadua a edoom no no akyenkyen.", ""
"MRK.11.22", "Na Jesus buaa hɔn dɛ,  Hom nya gyedzi wɔ Nyankopɔn mu.", ""
"MRK.11.23", "Na nokwar mese hom dɛ, Obiara a ɔbɛse kokwaa yi dɛ, Tutu na kɔhwe po mu, na ɔnnyɛ ekyingye wɔ n'akoma mu, na ɔbɛgye edzi dɛ dza ɔrese no ɔreyɛ hɔ no, ɔbɛyɛ hɔ ama no.", "#Mat 17.20; 1 Kor 13.2"
"MRK.11.24", "Dɛm ntsi mese hom dɛ, Biribiara a hom sɔr bisa no, hom ngye ndzi dɛ hom enya na hom benya.", ""
"MRK.11.25", "Na sɛ hom gyina hɔ rosɔr, na sɛ hom nye obi wɔ asɛm bi a, hom mfa nkyɛ, ama hom Egya a ɔwɔ sor no so dze hom mfom aakyɛ hom.", "#Mat 6.14, 15"
"MRK.11.26", "[Na sɛ hom ammfa annkyɛ a, hom egya a ɔwɔ sor no so nnkɛfa hom mfom akyɛ hom. ]", "#11.26 Tsetse akyerɛw no bi mmfa nkyekyɛmu 26 yi mmba."
"MRK.11.27", "Na wɔbaa Jerusalɛm bio; na ɔnenam asɔrfi no mu no, asɔfompanyin nye kyerɛwfo nye mpanyimfo no baa ne nkyɛn,", ""
"MRK.11.28", "na wobisaa no dɛ, Ebɛn tum na edze yɛ ndzɛmba yi, anaa woana na ɔmaa wo tum dɛ yɛ yinom?", ""
"MRK.11.29", "Na Jesus see hɔn dɛ,  Mibebisa hom asɛm kor, na hom mbua me, na mebɛkyerɛ hom tum kor a medze yɛ yinom:", ""
"MRK.11.30", "John enuma no, ofir sor anaa ofir nyimpa? Hom mbua me.", ""
"MRK.11.31", "Na wɔdwendween ho wɔ hɔn ntamu dɛ, Sɛ yɛka dɛ, Ofir sor a, ɔbɛse dɛ, Ɔyɛ dɛn na hom anngye no enndzi?", ""
"MRK.11.32", "Anaa yɛnka dɛ, Ofir nyimpa? Nna wosuro nkorɔfo no, osiandɛ hɔn nyina buu John dɛ ɔyɛ nkɔnhyɛnyi ampa.", ""
"MRK.11.33", "Ntsi wobuaa Jesus see no dɛ, Yennyim. Na Jesus see hɔn dɛ,  Mo so mennkɛkyerɛ hom tum kor a medze yɛ yinom.", ""
