"MRK.13.1", "Na orifi asɔrfi mu no, n’esuafo no mu baako see no dɛ, Kyerɛkyerɛfo, hwɛ, abo akɛse bi nye aban akɛse bi so!", ""
"MRK.13.2", "Na Jesus see no dɛ,  Ehu aban akɛse yi? Wonnkegya ɔbo kor a ɔda kor do a wonnkodwuruw egu famu.", ""
"MRK.13.3", "Na ɔtse Ngo Bepɔw no do wɔ asɔrfi tsentsendo no, Peter, James, John nye Andrew bisaa no nsumaa mu dɛ,", ""
"MRK.13.4", "Kyerɛ hɛn aber a iyinom bɛyɛ hɔ: na sɛ iyinom nyina rebɛba mu a, n’asɛnkyerɛdze nye dɛn?", ""
"MRK.13.5", "Na Jesus hyɛɛ ase see hɔn dɛ,  Hom nhwɛ yie amma obi aanndaadaa hom.", ""
"MRK.13.6", "Na dodowara bɛba wɔ me dzin mu dɛ, Emi nye no, na wɔadaadaa pii.", ""
"MRK.13.7", "Na sɛ hom tse ko nye akosɛm a, mma hom akoma nntu: na otwar dɛ ɔba, na ewiei no nnyae nndurii.", ""
"MRK.13.8", "Na ɔman bɔsoɛr ɔman do, na ahenman bɔsoɛr ahenman do; na asaasewosow bɛba mbeambea, na ɔkɔm bɛba: iyinom dze, awoko no ahyɛse ara a.", ""
"MRK.13.9", "Na hom nhwɛ homho yie: na wobeyi hom akɔ mpanyimfo bagua mu, na wɔahwe hom wɔ nhyiamudan mu, na hom egyina ambradofo nye ahemfo enyim wɔ me ntsi, dze edzi dase akyerɛ hɔn.", "#Mat 10.17-20; Luk 12.11, 12"
"MRK.13.10", "Na asɛmpa no, otwar dɛ wɔka kyerɛ amanaman nyina ansaana.", ""
"MRK.13.11", "Na sɛ wɔdze hom rokɔ ekeyi hom ama a, mma hom nndwendwen dza hom bɛka ho ansaana: na biribi a wɔdze bɛma hom dɔn no mu no, ɔnoara na hom nka: osiandɛ nnyɛ hom na hom kasa, na Sunsum Krɔnkrɔn no a.", ""
"MRK.13.12", "Na nua beyi nua ama owu, egya beyi ɔba ama; na mba bɔsoɛr wɔ awofo do na wɔama woeku hɔn.", ""
"MRK.13.13", "Na nyimpa nyina bɛtan hom wɔ me dzin ntsi; na nyia ɔbɛtsena mu ekodu ewiei no, ɔno na wɔbɛgye no nkwa.", "#Mat 10.22"
"MRK.13.14", "Na sɛ hom hu amambɔe ekyiwadze no dɛ ogyina mbrɛ ɔnnsɛ a (ma nyia ɔrekenkan no ntse ase dɛ ogyina hɔ ma ohonyi no), ɔno na hɔn a wɔwɔ Judea no nguan nkɔ nkokwaa do;", "#Dan 9.27; 11.31; 12.11"
"MRK.13.15", "na mma nyimpa a ɔwɔ dan etsifi nnsian mmba dan mu, na eso mma ɔnnhɛn mu nnkɛfa biribi wɔ ne dan mu;", "#Luk 17.31"
"MRK.13.16", "na mma nyia ɔwɔ haban mu no nnsan n’ekyir bio mmbɛfa ne nkatado.", ""
"MRK.13.17", "Na hɔn a wɔafa efur nye hɔn a wɔma numfo wɔ nda no mu ndue!", ""
"MRK.13.18", "Na hom nsɔr ma iyinom aammba awɔwber mu.", ""
