"NAM.1.1", "Elkosnyi Nahum n’enyido adzehu nwoma a ɔfa Ninive atsɛmbu ho.", "#Isa 10.5-34; 14.24-27; Zef 2.13"
"NAM.1.2", "Nyankopɔn yɛ EWURADZE nyinkufo a odzi wer a; ampaara, EWURADZE dzi wer na ebufuw tum hyɛ no ma; EWURADZE tɔ n’ahohiahiafo do wer, na n’ebufuw tsim hɔ ma n’atamfo.", ""
"NAM.1.3", "EWURADZE fa ebufuw nyaa, na no tum so, na orummbu fɔdzinyi bem ara da: EWURADZE no kwan wɔ ekyinehyia mframa na ehum mu, na nsuwusiw yɛ n’ananadze huntuma.", ""
"NAM.1.4", "Ɔka po enyim ma ɔwew; na ɔma esutsen nyina memem: Basan na Karmel twintwam, na Lebanon nhyiren kyenkyen.", ""
"NAM.1.5", "Mbepɔw wosow n’enyim, na akoko nan; na asaase wosow wɔ n’enyim, ɛhɛɛ, wiadze, na hɔn a wɔtse mu nyina mpo.", ""
"NAM.1.6", "Woana botum n’ebufuhyew enyim gyina? Na woana na ɔbɔsoɛr etsia n’ebufuw kuntann no mu tsena? N’enyiber ehue dɛ gya, na obubu abotan mu esinesin.", ""
"NAM.1.7", "EWURADZE ye, ɔyɛ guandɔbew wɔ ahohia da mu; na onyim hɔn a wɔdze hɔn werɛ hyɛ no mu no.", ""
"NAM.1.8", "Na n’atamfo dze, ɔdze nsupramee bɛsɛɛ hɔn pasaa, na obetsiw hɔn araa akɔ sum mu.", ""
"NAM.1.9", "Atamfo e! Ebɛnadze na hom dwendwen tsia EWURADZE yi? Obowie hom korakoraa na hom ronnsoɛr nntsia no mpɛn ebien.", ""
"NAM.1.10", "Na sɛ hom ayɛ dɛ nsoɛ kantankantan, na hom afɔw takaa wɔ hom nsanom mu mpo a, wɔbɛhyew hom koraa dɛ mburonan guanee.", ""
"NAM.1.11", "Ɔwo Ninive wo mu na obi a osusu EWURADZE ho mbusu, na ɔpam emumuyɛ apam fi epue.", ""
"NAM.1.12", "Mbrɛ EWURADZE se nye yi: Sɛ hom ayeyɛ petsepetsee, na hom dɔɔ so mpo a, dɛmara so na wobotwitwa hom egu, na hom etwa mu akɔ. Ao Juda, kaansa mehiahia wo ho dɛnara mpo a, afei dze, mirinnhiahia wo ho bio.", ""
"NAM.1.13", "Na afei mubobubu Ninive kɔndua no mu efi wo do, na matsetsew wo nkyehoma mu.", ""
"NAM.1.14", "Na ɔwo Ninive, EWURADZE ahyɛ wo ho mbra, dɛ wo dzin bɛyew efi asaase do: mubotwitwa ehonyi a asen na egu nyina efi w’abosondan mu; mobɔbɔ wo da; osiandɛ hom adan atantandze.", ""
"NAM.1.15", "Hom nhwɛ, hɔn a wɔdze nsɛmpa ba hɔn anamɔn wɔ mbepɔw no do, hɔn a wɔdze asomdwee tahye no a! Ao Juda, dzi wo ndapɔn, ma w’anohobadze: na omumuyɛfo no remmfa wo mu bio; woetwa no akyen koraa.", "#Isa 52.7"
