"NEH.9.1", "Afei dɛm bosoom yi  ne da a otsia eduonu anan no mu no Israelmba no dze mbuadadzi, na eyitam, na hɔnho dɛtsedɛtse, bɔɔ ngua.", "#9.1 BOSOOM YI: Iyi botum egyina hɔ ama bosoom a ɔtɔ do esuon no."
"NEH.9.2", "Na Israelmba no tseew hɔnho fii ahɔho nyinara ho, na wogyinagyinaa hɔ kekaa hɔn bɔn, na hɔn egyanom emumuyɛ no.", ""
"NEH.9.3", "Na wɔsoɛree gyinagyinaa hɔn gyinabew, na wɔkenkaan EWURADZE hɔn Nyankopɔn mbra nwoma no mu, wɔ adzekyee mu nkyɛmu anan mu kor mu; na nkyɛmu anan mu kor so mu wɔdze kaa hɔn bɔn, na wɔdze sɔɔr EWURADZE hɔn Nyankopɔn.", ""
"NEH.9.4", "Nna Jesua, na Bani, Kadmiel, Sebania, Bunni, Serebia, Bani, na Kenani, soɛree gyinagyinaa Levifo sumpii no do, na wɔdze ndze kɛse tseaa mu frɛɛ EWURADZE hɔn Nyankopɔn.", ""
"NEH.9.5", "Nna Levifo no, Jesua, na Kadmiel, Bani, Hasabineia, Serebia, Hodia, Sebania, na Petahia, see dɛ, Hom nsoɛr nhyira EWURADZE hom Nyankopɔn mfi daapem nkesi daapem: na wonhyira w'enyimnyam dzin a wɔama do atra nhyira na ayɛyi nyinara no.", ""
"NEH.9.6", "Ɔwo nye EWURADZE, mekyerɛ wo nkotoo korɛ; ɔwo na eyɛɛ sor, ɔsor mu sor, nye hɔn dɔm nyinara, asaase na ndzɛmba a ɔwɔ do nyinara, po na dza ɔwɔ mu nyinara, na ɔwoara na ekora hɔn nyinara do; na sor dɔm no, ɔwo na wɔsɔr wo.", ""
"NEH.9.7", "Ɔwo nye EWURADZE Nyankopɔn no a esaan mu faa Abram, na edze no fiir edzi fii Kaldeafo Ur bae, na emaa no dzin Abraham;", "#Gye 11.31; 12.1; Gye 17.5"
"NEH.9.8", "ihun n'akoma mu dɛ odzi nokwar wɔ w'enyim, na enye no dzii ahyɛmu dɛ edze Keenanfo, Hitifo, Amorifo, na Perizfo, na Jebusfo, na Girgasfo asaase bɛma, mekyerɛ dɛ edze bɛma n'asefo, na ama wo nsɛm no etsim; osiandɛ ɔwo yɛ ɔtseneneenyi.", "#Gye 15.18-21"
"NEH.9.9", "Na ɔwo hun hɛn egyanom ahohiahia wɔ Egypt, na etsee hɔn nkekamu wɔ Mbɛw Po no ho;", "#Eks 3.7; 14.10-12"
"NEH.9.10", "na ekyerɛɛ nsɛnkyerɛdze na anwanwadze wɔ Farao, na no nkowaa nyinara, na n'asaase do ɔman no nyinara do; na ɔwoara hun dɛ woedzi hɔn do nkontompɔsɛm; na edze gyee dzin, dɛ mbrɛ ɔtse ndɛ da yi.", "#Eks 7.8—12.32"
"NEH.9.11", "Na ɔwo epaa po no mu wɔ hɔn enyim, na wɔfaa po no ne finimfin wɔ asaase kɛsɛɛ do; na hɔn a wotsiiw hɔn no, etoow hɔn guu ebun no mu, dɛ mbrɛ wɔtow ɔbo kyen nsu a ɔyɛ dzen mu.", "#Eks 14.21-29; 15.4, 5"
"NEH.9.12", "Nkyii so ɔwo igyaa hɔn wɔ mununkum dum mu ewiaber; na gya dum mu anadwe, dɛ ɔmma hɔn kan wɔ kwan a ɔwɔ dɛ wodua do no mu.", "#Eks 13.21, 22"
"NEH.9.13", "Eso ɔwo isianee baa bepɔw Sinai do, na ifii sor nye hɔn kasae, na emaa hɔn atsɛmbu tsenenee na nokwar mbra, ahyɛdze a oye na mbransɛm:", "#Eks 19.18—23.33"
"NEH.9.14", "na emaa wohun w'ahomgyeda krɔnkrɔn no, na enam w'akowaa Moses ne nsa do hyɛɛ hɔn mbransɛm, na ahyɛdze, na mbra:", ""
"NEH.9.15", "na emaa hɔn sor edziban dze kum hɔn kɔm, na edze nsu fi botan mu puei maa hɔn dze kum hɔn nsukɔm, na ehyɛɛ hɔn dɛ wɔnkɔ nkɛfa asaase a emaa wo nsa do dɛ edze bɛma hɔn no.", "#Eks 16.4-15; 17.1-7; Deut 1.21"
"NEH.9.16", "Naaso hɔn na hɛn egyanom dzii nkontompɔsɛm, na wɔseen hɔn kɔn, na woenntsie wo mbransɛm no,", ""
"NEH.9.17", "na wɔpoow dɛ wobetsie, nkyii so wɔannkaa w'anwanwadze a eyɛɛ no wɔ hɔn mu no; mbom wɔseen hɔn kɔn, na hɔn etuatsew no mu wɔhyɛɛ hɔn do safohen dɛ wɔresan akɔ hɔn nkowaasom no mu: na ɔwo yɛ fakyɛfakyɛ Nyankopɔn, ɔdomfo na mbɔbɔrhufo, a efa ebufuw nyaa, na w'adɔyɛ so ntsi ammpow hɔn.", ""
"NEH.9.18", "Nyew, aber a wɔyɛɛ nantwiba a woegu maa hɔnho, na wɔsee dɛ, Iyi nye wo Nyankopɔn a ɔdze wo fi Egypt bae, na woyii ehi kɛse mpo;", "#Eks 32.1-4"
"NEH.9.19", "ɔwo wo mbɔbɔrhu pii no ntsi ammpow hɔn wɔ sar no do: mununkum dum no emmfi hɔn do ewiaber, dɛ obegya hɔn wɔ kwan no mu; nkyii so gya dum no anadwe, dɛ ɔbɛma hɔn kan wɔ kwan a ɔwɔ dɛ wɔfa do mu.", "#Deut 8.2-4"
"NEH.9.20", "Ɔwo, edze wo sunsum pa no so maa hɔn dɛ ɔnkyerɛkyerɛ hɔn, na wo  manna   so amma ammpa hɔn ano, na emaa hɔn nsu dze kum hɔn nsukɔm.", ""
"NEH.9.21", "Nyew, ɔwo ehwɛɛ hɔn mfe eduanan wɔ sar no do, na woennhia hwee; hɔn ntar ennsusuw, na hɔn anan annhohon.", ""
"NEH.9.22", "Nkyii so ɔwo maa hɔn nhenman na aman a ɔwoara ekyɛe no dɛ mbrɛ hɔn kyɛpɛn tse: nna wɔfaa Sihon asaase, mekyerɛ Hesbonhen asaase, na Bashanhen Ɔge asaase no.", "#Nka 21.21-35"
"NEH.9.23", "Hɔn mba so, ɔwo maa wɔdɔɔr dɛ sor nworaba, na edze hɔn baa asaase a ɔwoara esee hɔn egyanom dɛ wɔbɔkɔ do akɛfa no do.", "#Gye 15.5; 22.17; Jos 3.14-17"
"NEH.9.24", "Nna mba no kɔree na wɔkɛfaa asaase no, na ɔwo ebrɛɛ hɔn a wɔtse asaase no do no, mekyerɛ Keenanfo no, adze wɔ hɔn enyim, na edze hɔn hyɛɛ hɔn nsa, nye hɔn hen, na asaase no do aman no, ma wɔaayɛ hɔn dɛ mbrɛ wɔpɛ.", "#Jos 11.23"
"NEH.9.25", "Na wɔgyegyee nkurow a wɔabobɔ ho ban, na asaase a ɔadɔ seradze, na wonyaa efi a ndzɛmba pa nyinara ahyehyɛ mu amaama, nsubura a wotwae, wenyin nture, na ngodua nture, na ndua a wodzi no nsowee, piigyan: nna wodzidzii, na wɔmee, na wɔyeyɛɛ abran, na wɔgyee hɔn enyi wɔ wo papayɛ kɛse no mu.", "#Deut 6.10, 11"
"NEH.9.26", "Naaso wɔyɛɛ asoɔdzen, na wɔtseew etua wɔ wo do, na wɔtoow wo mbra kyeen hɔn ekyir, na wokunkum wo nkɔnhyɛfo a wodzii dase tsiaa hɔn dɛ wɔdze resan hɔn aba wo nkyɛn no, na woyii wo ehi kɛse.", "#Atsɛ 2.11-16"
"NEH.9.27", "Dɛm ntsi ɔwo edze hɔn hyɛɛ hɔn atamfo nsa, hɔn na wohiahiaa hɔn ho: na hɔn ahokyer ber mu no a wosui frɛɛ wo no, ɔwo ifi sor tsiee hɔn; na dɛ mbrɛ w'adɔyɛ pii tse no, ɔwo maa hɔn agyefo a wɔgyee hɔn fii hɔn atamfo nsamu.", ""
"NEH.9.28", "Naaso wonyaa asomdwee ara pɛr na wɔyɛɛ w'enyim bɔn bio: dɛm ntsi ɔwo igyaa hɔn hyɛɛ hɔn atamfo nsa, na wonyaa hɔn do tum: naaso aber a wɔsanee, na wosui frɛɛ wo no, nna ɔwo fi sor tsiei; na mber pii na ɔwo gyee hɔn dɛ mbrɛ wo mbɔbɔrhu no tse;", ""
"NEH.9.29", "na ebɔɔ hɔn kɔkɔ dɛ edze hɔn bɛba wo mbra no mu bio: naaso wodzii nkontompɔsɛm, na woenntsie wo mbrasɛm, na wɔyɛɛ bɔn tsiaa w'ahyɛdze a sɛ nyimpa dzi do a obenya mu nkwa no, na wɔmemaa hɔn mbatsir do, na wɔseen hɔn kɔn, na wɔammpɛ dɛ wotsie.", "#Lev 18.5"
"NEH.9.30", "Naaso mber pii na ɔwo ekoraa hɔn, na edze wo sunsum nam wo nkɔnhyɛfo do bɔɔ hɔn kɔkɔ: naaso wɔammpɛ dɛ wotsie: dɛm ntsi ɔwo iyii hɔn hyɛɛ asaase no do aman no nsa.", "#2 Ahe 17.13-18; 2 Mbe 36.15, 16"
"NEH.9.31", "Naaso wo mbɔbɔrhu pii no ntsi, ɔwo ennkum hɔn ase, na ammpow hɔn so; osiandɛ ɔwo yɛ ɔdomfo na mbɔbɔrhufo Nyankopɔn.", ""
"NEH.9.32", "Dɛm ntsi afei, hɛn Nyankopɔn, Onyankopɔn kɛse, ɔkatakyi a wo ho yɛ hu na isie ahyɛmu na adɔyɛ, mma mma ɔfona nyinara a aba hɛn, hɛn ahemfo, hɛn mbapɔmba, hɛn asɔfoe na hɛn nkɔnhyɛfo, hɛn egyanom, na wo man nyinara do, ofitsi Asiria ahemfo ber do araa dze bodu ndɛ yi nnyɛ w'enyi do adze kakraba.", "#2 Ahe 15.19, 29; 17.3-6; Ezra 4.2, 10"
"NEH.9.33", "Naaso ɔwo etsen wɔ dza aba hɛn do nyinara mu; osiandɛ ɔwo edzi no nokwar mu, na hɛn dze, yɛayɛ no emumuyɛ mu:", ""
"NEH.9.34", "nkyii so hɛn ahemfo, hɛn mbapɔmba, hɛn asɔfoe, na hɛn egyanom so, woenndzi wo mbra do, eso woenntsie wo mbransɛm na w'adasesɛm a edze dzii dase tsiaa hɔn no.", ""
"NEH.9.35", "Osiandɛ wɔannsom wo wɔ hɔn ahendzi mu, na wo papayɛ kɛse a edze maa hɔn, na asaase tɛtɛr a ɔadɔ seradze a edze mae wɔ hɔn enyim no mu no, nkyii so wɔannsan emmfi hɔn ndzeyɛɛ bɔn no mu.", ""
"NEH.9.36", "Hwɛ, yɛyɛ nkowaa ndɛ da yi, na asaase a ɔwo edze maa hɛn egyanom, dɛ wondzi no do aba na no do ndzepa bi no, dze, hwɛ, yɛyɛ nkowaa wɔ do.", ""
"NEH.9.37", "Na ɔsow ndɔbaa pii dze ma ahemfo a osian hɛn bɔn ntsi ma edze hɔn esisi hɛn do no: eso wɔwɔ tum wɔ hɛn nyimpadua do, na hɛn mbowa do, dɛ mbrɛ wɔpɛ, na yɛwɔ atseetsee kɛse mu.", ""
"NEH.9.38", "Na iyi nyinara so mpo mu no yeridzi nokwar ahyɛmu, na yɛrekyerɛw; na hɛn mbapɔmba, na hɛn Levifo, na hɛn asɔfoe, rosɔw ano.", ""
