"NEH.10.1", "Afei hɔn a wɔsɔɔw ano nye yi, Nehemia, Tirsata no, Hakalia ba no, na Zedekia;", ""
"NEH.10.2", "Seraia, Azaria, Jeremia;", ""
"NEH.10.3", "Pasur, Amaria, Malkija;", ""
"NEH.10.4", "Hatus, Sebania, Malluk;", ""
"NEH.10.5", "Harim, Meremot, Obadia;", ""
"NEH.10.6", "Daniel, Ginneton, Baruk;", ""
"NEH.10.7", "Mesullam, Abija, Mijamin;", ""
"NEH.10.8", "Maazia, Bilgai, Semaia: woyinom nye asɔfo no.", ""
"NEH.10.9", "Na Levifo no: ɔnye dɛ, Jesua Azania ba no, Binnui a ofi Henadad mba mu, Kadmiel;", ""
"NEH.10.10", "na hɔn nuanom, Sebania, Hodia, Kelita, Pelaia, Hanan;", ""
"NEH.10.11", "Mika, Rehob, Hasabia;", ""
"NEH.10.12", "Zakur, Serebia, Sebania;", ""
"NEH.10.13", "Hodia, Bani, Beninu.", ""
"NEH.10.14", "Ɔman no mu etsitsir: Paros, Pahat-moab, Elam, Zatu, Bani;", ""
"NEH.10.15", "Bunni, Azgad, Bebai;", ""
"NEH.10.16", "Adonija, Bigivai, Adin;", ""
"NEH.10.17", "Ater, Hezekia, Azzur;", ""
"NEH.10.18", "Hodia, Hasum, Bezai;", ""
"NEH.10.19", "Harif, Anathot, Nobai;", ""
"NEH.10.20", "Magpia, Mesullam, Hezir;", ""
"NEH.10.21", "Mesezabel, Zadok, Jadua;", ""
"NEH.10.22", "Pelatia, Hanan, Anaia;", ""
"NEH.10.23", "Hosea, Hanania, Hasub;", ""
"NEH.10.24", "Halohesh, Pilha, Sobek;", ""
"NEH.10.25", "Rehum, Hasabina, Maaseia;", ""
"NEH.10.26", "na Ahia, Hanan, Anan;", ""
"NEH.10.27", "Malluk, Harim, Baana.", ""
