"NUM.2.1", "Na EWURADZE kasaa kyerɛɛ Moses na Aaron dɛ,", ""
"NUM.2.2", "Israelmba no nkyer nsera wɔ nyimpa biara nankasa ne frankaa ho, wɔ hɔn egyanom efi nsɛnkyerɛdze do: ehyiadzibuw no ne tsentsendo na wɔnkyer hɔn nsera no nhyia.", ""
"NUM.2.3", "Na hɔn a wɔnkyer nsera wɔ boka afamu a odzi kɔ wipuei no nye hɔn a wɔwɔ Juda nseraban do frankaa ho no dɛ mbrɛ hɔn dɔm no tse: na Amminadab ne babanyin Nason na ɔnyɛ Judamba no hɔn safohen panyin.", ""
"NUM.2.4", "Na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduosuon anan na ahaesia.", ""
"NUM.2.5", "Na hɔn a wɔnkyer nsera ntoa no do nye Isakar ebusuakuw. Zuar ne babanyin Netanel na ɔnyɛ Isakarmba no hɔn safohen panyin:", ""
"NUM.2.6", "na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduonum anan na ahaanan.", ""
"NUM.2.7", "Zebulun ebusuakuw ntoa do: na Helon ne babanyin Eliab na ɔnyɛ Zebulunmba no hɔn safohen panyin:", ""
"NUM.2.8", "na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduonum esuon na ahaanan.", ""
"NUM.2.9", "Hɔn a wɔkaan hɔn wɔ Juda nseraban do nyinara yɛ mpem ɔha eduowɔtwe esia na ahaanan, dɛ mbrɛ hɔn dɔm no tse. Hɔn na wondzi kan ntu.", ""
"NUM.2.10", "Pomu afamu na Reuben nseraban do frankaa ndzi dɛ mbrɛ hɔn dɔm no tse: na Sedeur ne babanyin Elizur na ɔnyɛ Reubenmba ɔsafohen panyin.", ""
"NUM.2.11", "Na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no yɛ mpemeduanan esia na ahaenum.", ""
"NUM.2.12", "Hɔn a wɔnkyer nsera ntoa no do nye Simeon ebusuakuw: na Zurisadai ne babanyin Selumiel na ɔnyɛ Simeonmba no hɔn safohen panyin:", ""
"NUM.2.13", "na no dɔm a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduonum akron na ahaasa.", ""
"NUM.2.14", "Gad ebusuakuw no ntoa hɔn do: na Reuel ne babanyin Eliasaf na ɔnyɛ Gadmba no hɔn safohen panyin:", ""
"NUM.2.15", "na no dɔm a wɔkaan hɔn wɔ mu no yɛ mpemeduanan enum na ahaesia eduonum.", ""
"NUM.2.16", "Hɔn a wɔkaan hɔn wɔ Reuben nseraban do nyinara wɔyɛ mpem ɔha eduonum biako na ahaanan eduonum, dɛ mbrɛ hɔn dɔm no tse. Na hɔn na wɔntɔ do ebien ntu.", ""
"NUM.2.17", "Nkyii so ehyiadzibuw no, nye Levifo nseraban no ntu ndzi nseraban nseraban no ne finimfin: dɛ mbrɛ wɔbɔ nseraban no, dɛmara na wontu, nyimpa biara wɔ ne dzibew, dɛ mbrɛ hɔn mfrankaa no tse.", ""
"NUM.2.18", "Efraim ne nseraban do frankaa ndzi anee afamu dɛ mbrɛ hɔn dɔm no tse: na Ammihud ne babanyin Elisama na ɔnyɛ Efraimmba no hɔn safohen panyin.", ""
"NUM.2.19", "Na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduanan na ahaenum.", ""
"NUM.2.20", "Na Manaasɛ ebusuakuw ntoa no do: na Pedazur ne babanyin Gamaliel na ɔnyɛ Manaasɛmba no hɔn safohen panyin.", ""
"NUM.2.21", "Na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no yɛ mpemeduasa ebien na ahaenu.", ""
"NUM.2.22", "Benjamin ebusuakuw no, Gideoni ne babanyin Abidan na ɔnyɛ hɔn safohen panyin:", ""
"NUM.2.23", "na no dɔm, na hɔn a wɔkaan hɔn wɔ mu no yɛ mpemeduasa enum na ahaanan.", ""
