"NUM.4.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ.", ""
"NUM.4.2", "Bu Kohat ne mbabanyin no ano fa fi Levi mbabanyin no mu, dɛ mbrɛ hɔn ebusua ebusua, nye hɔn egyanom efi tsetsee,", ""
"NUM.4.3", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do, hɔn a wɔhɛn ɔsom no mu kɛyɛ edwuma wɔ ehyiadzibuw no mu no nyinara.", ""
"NUM.4.4", "Iyi nye Kohat ne mbabanyin no hɔn edwuma wɔ ehyiadzibuw no mu, wɔ krɔnkrɔndze mu adzekrɔnkrɔn ho:", ""
"NUM.4.5", "sɛ nseraban no rubotu a, Aaron nye ne mbabanyin no na wɔnkɔ mu, na wonkeyi ntwamutam nkataano no, na wɔmfa nkata dasedaka no do:", ""
"NUM.4.6", "na wɔmfa esukraman nwoma akatado nto do, na wɔmfa tam a ne nyinara yɛ bibir nkata do, na wɔmfa no mpoma no nhyehyɛ mu.", ""
"NUM.4.7", "Na wɔmfa tam bibir nkata ɔkyerɛpaanoo pon no do, na wɔmfa nkwansɛn no, nye ntser no, nye nkora, nye nkɔɔpow a wɔdze hue no nsisi do: na daa daa paanoo no nsi do:", ""
"NUM.4.8", "na wɔmfa tam memen nkata do, na wɔmfa esukraman nwoma akatado nkata ho, na wɔmfa no mpoma no nhyehyɛ mu.", ""
"NUM.4.9", "Na wɔmfa tam bibir, nkata kandzea no ne kandzeadua nye ne nkandzea, nye n’adabaa, nye no nsompokuwa no, nye no ngo ntoaba nyinara a wɔdze som no ho:", ""
"NUM.4.10", "na wɔmfa ɔno nye no ho adze nyinara nhyɛ esukraman nwoma akatado mu, na wɔmfa nto pata no do.", ""
"NUM.4.11", "Wɔmfa tam bibir nkata sika afɔrmbukyia no do, na wɔmfa esukraman nwoma akatado nkata do, na wɔmfa no mpoma no nhyehyɛ mu:", ""
"NUM.4.12", "na wɔmfa ɔsom ho ndzɛmba nyinara a wɔdze som wɔ ahotseweebea no nhyɛ tam bibir mu, na wɔmfa esukraman nwoma akatado nkata ho, na wɔmfa nto pata no do.", ""
"NUM.4.13", "Na wɔnsesaw nso no wɔ afɔrmbukyia no do, na wɔmfa tam ɔberdum nkata do:", ""
"NUM.4.14", "na wɔmfa no ho ndzɛmba nyinara a wɔdze som wɔ ho no ngu do, ogyasɛn, edzinam, nye nsofi, nye mbɛɛsen, afɔrmbukyia no ho ndzɛmba no nyinara; na wɔmfa esukraman nwoma akatado nkata do, na wɔmfa no mpoma no nhyehyɛ mu.", ""
"NUM.4.15", "Na sɛ nseraban no rubotu, na Aaron nye ne mbabanyin no wie ahotseweebea no, nye ahotseweebea no ho ndzɛmba no nyinara do kata a; nna nkyii Kohat ne mbabanyin no mbra mbɔsoa: ahotseweebea no dze mma wɔnnka, amma woeennwuwu. Ndzɛmba yi nye Kohat ne mbabanyin no hɔn adzesoa wɔ ehyiadzibuw no mu.", ""
"NUM.4.16", "Na ɔsɔfo Aaron ne babanyin Eleazar n’ahwɛdodze nye kandzea no ho ngo no, nduhuanhuam no, daa daa edziban afɔr no, ɔserango no, ntamadan no nye dza ɔayɛ no krɔnkrɔn a ɔwɔ mu no nyinara.", ""
"NUM.4.17", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
