"NUM.14.1", "Na mboanofo no nyinara memaa hɔn ndze do, na wɔkekaa mu; na ɔman no suu anadwe no.", ""
"NUM.14.2", "Na Israelmba no nyinara hwinhwiin Moses nye Aaron ho: na mboanofo no nyinara see hɔn dɛ, Ka hɛn nko a nkyɛ Nyankopɔn maa yewuwui wɔ Egypt asaase do! Anaa sar yi do ha ara mpo, ka hɛn nko a nkyɛ Nyankopɔn maa yewuwui!", ""
"NUM.14.3", "Na ebɛn ntsi na EWURADZE dze hɛn reba asaase yi do, dɛ yɛmbɔtotɔr nkrantsee ano? Hɛn yernom nye hɛn mbofraba bɛyɛ afonam: ana onnye mma hɛn dɛ yɛbɛsan akɔ Egypt bi a?", ""
"NUM.14.4", "Na wɔsesee hɔnho dɛ, Wɔmma yɛnhyɛ ɔpanyin, na yɛnsan nkɔ Egypt.", ""
"NUM.14.5", "Nna Moses nye Aaron dze hɔn enyim butubutuuw famu wɔ Israelmba mboanofo bagua no nyinara enyim.", ""
"NUM.14.6", "Na Nun ne babanyin Josua nye Jefune ne babanyin Kaleb a wofi hɔn a wɔkɛseraa asaase no mu no, sunsuaan hɔn ntar mu:", ""
"NUM.14.7", "na wɔkasaa kyerɛɛ Israelmba mboanofo no nyinara dɛ, Asaase a yetwaa mu kɔree kɛserae no, ɔyɛ asaase pa mbordo.", ""
"NUM.14.8", "Sɛ yɛsɔ EWURADZE enyi a, ɔno ɔdze hɛn bodu asaase no do, na ɔdze ama hɛn; asaase a numfonsu nye ewo pem do.", ""
"NUM.14.9", "EWURADZE do etua ara nko na mma hom nntsew, nkyii so mma hom nnsuro asaase no do nkorɔfo no; na wɔyɛ edziban ma hɛn: hɔn akataman efi hɔn do, na hɛn dze EWURADZE nye hɛn wɔ hɔ: mma wonnsuro hɔn.", ""
"NUM.14.10", "Na mboanofo no nyinara kaa dɛ wonsiw Josua na Kaleb abo. Na EWURADZE enyimnyam puee ehyiadzibuw no mu kyerɛɛ Israelmba no nyinara.", ""
"NUM.14.11", "Na EWURADZE see Moses dɛ, Ɔman yi rubu me enyimtsia ekodu dabɛn? Na dabɛn na wɔrenngye me nndzi, wɔ nsɛnkyerɛdze a mayɛ wɔ hɔn mu nyinara mu no ekodu?", ""
"NUM.14.12", "Medze owuyarba mobɔbɔ hɔn, na masɛɛ hɔn, na medze wo mayɛ ɔman kɛse a ɔwɔ dzin sen hɔn.", ""
"NUM.14.13", "Na Moses see dɛ, Ɔno Egyptfo bɛtse; na ɔwo dze wo tum na edze eyi ɔman yi efi hɔn mu;", ""
"NUM.14.14", "na wɔbɛka akyerɛ asaase yi do atsefo: wɔatse dɛ ɔwo EWURADZE ewɔ ɔman yi mu; na ɔwo EWURADZE wohu wo enyim nye enyim, na wo mununkum gyina hɔn do, na ɔwo na idzi hɔn enyim, wɔ mununkum dum mu adzekyee, nye ogya dum mu adzesaa.", ""
"NUM.14.15", "Afei sɛ iku ɔman yi dɛ nyimpa kor a, ɔno amanaman a wɔatse wo nka no bɛka dɛ,", ""
"NUM.14.16", "Osiandɛ EWURADZE enntum dɛ ɔdze ɔman yi kɔ asaase a ɔkaa hɔn ho ntam no do no, ntsi na oeku hɔn wɔ sar no do no.", ""
"NUM.14.17", "Na afei, mepa wo kyɛw, ma EWURADZE no tum nyɛ kɛse, dɛ mbrɛ ɔwo aka dɛ,", ""
"NUM.14.18", "EWURADZE fa ebufuw nyaa, na n’adɔyɛ so, ɔdze emumuyɛ nye mbrato kyɛ, na bem bi na onnkobu ɔfɔdzinyi no; ɔdze egyanom hɔn emumuyɛ hwɛ mba, kodu ebusuasantsen ebiasa nye anan do.", ""
"NUM.14.19", "Mepa wo kyɛw, fa ɔman yi hɔn emumuyɛ fir hɔn dɛ mbrɛ w’adɔyɛ ne kɛse tse, na dɛ mbrɛ ɔwo dze efir ɔman yi, efi Egypt araa ebodu sesei.", ""
"NUM.14.20", "Na EWURADZE see dɛ, Medze akyɛ dɛ mbrɛ w’asɛm tse no:", ""
"NUM.14.21", "mbom nokwar ara, dɛ metse ase, na dɛ EWURADZE enyimnyam bɛhyɛ asaase nyinara ma yi;", ""
"NUM.14.22", "osiandɛ nyimpa nyina a woehu m’enyimnyam, nye me nsɛnkyerɛdze a meyɛe wɔ Egypt nye sar no do no, naaso wɔasɔ me ahwɛ mpɛn du nye yi, na woenntsie me ndze no;", ""
"NUM.14.23", "ampaara wonnkohu asaase a mekaa ho ntam mekyerɛɛ hɔn egyanom no, nkyii so hɔn mu biara a obu me enyimtsia no runnhu:", ""
"NUM.14.24", "na m’akowaa Kaleb dze, osiandɛ ɔwɔ sunsum bi so wɔ no mu, na oedzi m’ekyir koraa no ntsi, medze no mubodu asaase a ɔkɔr do no do; na n’asefo afa.", ""
"NUM.14.25", "Afei Amalekfo nye Keenanfo tse ɔbɔn no mu: ɔkyena hom ndan, na hom ntu nkɔ sar no do wɔ Mbɛw Po kwan do.", ""
"NUM.14.26", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
"NUM.14.27", "Dabɛn na memma mboanofo bɔn yi a wohwinhwin tsia me yi kwan ma onkodu? Israelmba hɔn ehwinhwin a wohwinhwin tsia me no matse.", ""
"NUM.14.28", "Se hɔn dɛ, Metse ase yi, EWURADZE na ɔse, ampaara dɛ mbrɛ hom akasa wɔ m’asomu no, dɛmara so na mebɛyɛ hom:", ""
"NUM.14.29", "sar yi do ara na hom efun bɛdeda; nye hɔn a wɔkaan hɔn wɔ hom mu no nyinara, dɛ mbrɛ hom dodow nyina tse, ofi hɔn a woedzi mfe eduonu nye ekyir do no a woehwinhwin etsia me no,", ""
"NUM.14.30", "ampaara hom runndu asaase a memaa me nsa do mekyerɛɛ dɛ mebɛma hom atsena do no do, gyedɛ Jefune ne babanyin Kaleb, nye Nun ne babanyin Josua.", ""
"NUM.14.31", "Mbom hom mbofraba a hom see dɛ wɔbɛyɛ afonam no, hɔn na medze hɔn bɔkɔ do, na wobohu asaase a hom apow no.", ""
"NUM.14.32", "Na hom dze, sar yi do ara na hom efun bɛdeda.", ""
"NUM.14.33", "Na hom mba ayɛ aworamafo wɔ sar no do mfe eduanan, na wɔasoa hom ndwamanyɛ, ekodu dɛ hom efun bɛsa wɔ sar no do.", ""
"NUM.14.34", "Nda a hom dze kɛseraa asaase no, no dodow mbrɛ ɔtse no, mekyerɛ adaduanan na da kor nye afe kor, nna hom nsoa hom emumuyɛ, mekyerɛ mfe eduanan, na hom ehu mbrɛ me pa tse.", ""
"NUM.14.35", "Emi EWURADZE na maka, ampaara iyi na medze bɛyɛ mboanofo bɔn yi nyinara a woedzi ehyia etsia me yi: sar yi do ara na wɔbɛsa, na hɔ na wobowuwu.", ""
"NUM.14.36", "Na mbanyin no a Moses somaa hɔn ma wɔkɛseraa asaase no a wɔsanee bae, na wɔmaa mboanofo no nyinara hwinhwinii tsiaa me no, dɛ wɔdze asaase no ho atsenka bɔn bae no,", ""
"NUM.14.37", "mekyerɛ mbanyin no a wɔdze asaase no ho atsenka bɔn bae no, wowuu owuyar wu wɔ EWURADZE enyim.", ""
"NUM.14.38", "Mbom Nun ne babanyin Josua, nye Jefune ne babanyin Kaleb, na wonyaa nkwa wɔ mbanyin a wɔkɔree kɛseraa asaase no mu.", ""
"NUM.14.39", "Na Moses kaa nsɛm yi kyerɛɛ Israelmba no nyinara: na ɔman no gyaam kɛsenara.", ""
"NUM.14.40", "Na wɔsoɛɛr ahanamakye, na wɔfowee kɔr bepɔw no etsifi, dɛ, Hwɛ hɛn nye yi, yɛbɔfow akɔ beebi mbrɛ EWURADZE abɔ ho anohoba no: na yɛayɛ bɔn.", ""
"NUM.14.41", "Na Moses see dɛ, Ɔyɛ dɛn ntsi na afei hom to EWURADZE mbrasɛm yi, na iyi dze ɔrennyɛ yie?", ""
"NUM.14.42", "Mma hom mmfow nnkɔ, na EWURADZE nnyi hom mu; mma hom aanntotɔr wɔ hom atamfo enyim.", ""
"NUM.14.43", "Na Amalekfo nye Keenanfo wɔ hom enyim hɔ, na hom bɔtotɔr wɔ nkrantsee ano: osiandɛ hom asan efi EWURADZE ekyir ntsi EWURADZE so rinndzi hom ekyir.", ""
