"NUM.17.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.17.2", "Kasa kyerɛ Israelmba, na gyegye hɔn hɔ mpoma, egyanom ofi kor mu kor, wɔ hɔn mbapɔmba no nyinara hɔ dɛ mbrɛ hɔn egyanom efi tsetsee, mpoma duebien: kyerɛw nyimpa biara ne dzin wɔ no poma do.", ""
"NUM.17.3", "Na kyerɛw Aaron ne dzin wɔ Levi poma do: na poma kor nyɛ hɔn egyanom efi do tsitsir kor dze.", ""
"NUM.17.4", "Na gyaa mu gu ehyiadzibuw no mu wɔ Dase no enyim, mbrɛ menye hom hyia no.", ""
"NUM.17.5", "Na ɔbɛba dɛ banyin a mibeyi no no, no poma bɛfefɛw: na mebɛma mo ho ehwinhwin a Israelmba hwinhwin tsia hom no egyaa.", ""
"NUM.17.6", "Na Moses kasaa kyerɛɛ Israelmba, na hɔn mbapɔmba no nyinara memaa no mpoma, ɔbapɔmba kor nedze kor, dɛ mbrɛ hɔn egyanom efi tsetsee no, mekyerɛ mpoma duebien: na Aaron no poma wɔ hɔn mpoma no mu.", ""
"NUM.17.7", "Na Moses gyaa mpoma no mu guu EWURADZE enyim wɔ Dasebuw no mu.", ""
"NUM.17.8", "Na ɔbaa dɛ adze kyee no, Moses kɔr Dasebuw no mu no; na, hwɛ, Aaron no poma no a ɔyɛ Levi ofi dze no afefɛw, ayɛ frɔmfrɔm, na egu nhyiren, na asow almɔnd aba beree.", ""
"NUM.17.9", "Na Moses dze mpoma no nyinara fi EWURADZE enyim brɛɛ Israelmba no nyinara: na wɔhwɛe, na nyimpa biara faa no poma.", ""
"NUM.17.10", "Na EWURADZE see Moses dɛ, Fa Aaron no poma no san to Dase no enyim, ma wɔmfa nsie nyɛ asɛnkyerɛdze mma mba asoɔdzenfo no; ama eetwa hɔn ehwinhwin a wohwinhwin tsia me no do, amma woeennwuwu.", ""
"NUM.17.11", "Dɛm na Moses yɛe: dɛ mbrɛ EWURADZE hyɛɛ no no, dɛmara na ɔyɛe.", ""
"NUM.17.12", "Na Israelmba no kasaa kyerɛɛ Moses dɛ, Hwɛ yeruwu, yɛreyera, hɛn nyinara rehera.", ""
"NUM.17.13", "Obiara a ɔba ho, nyia ɔba EWURADZE ntamadan no ho, owu: ana hɛn nyinara yenwuwu?", ""
