"NUM.19.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
"NUM.19.2", "Iyi nye mbra ahyɛdze a EWURADZE ahyɛ, dɛ, Kasa kyerɛ Israelmba no, ma wɔmfa ɔnantwiber memen a nkekaa nnyi ho a onndzi dzɛm a kɔndua nnkɔr no do pɛn:", ""
"NUM.19.3", "na hom mfa no mma ɔsɔfo Eleazar, na ɔmfa no mpue mbra nseraban no ekyir, na obi nku no wɔ n’enyim:", ""
"NUM.19.4", "na ɔsɔfo Eleazar mfa ne nsatseaba mfa no bɔgyaa bi, na ɔmpetse no bɔgyaa no bi ngu ehyiadzibuw no enyim afamu mpɛn esuon:", ""
"NUM.19.5", "na obi nhyew ɔnantwiber no wɔ n’enyim; no nwoma, nye ne nam, nye no bɔgyaa, nye n’egyanan no:", ""
"NUM.19.6", "na ɔsɔfo no mfa kyindur dua, nye odwonhataw, nye serdaa, na ɔntow ngu ɔnantwiber a ɔrehyew no do.", ""
"NUM.19.7", "Na afei ɔsɔfo no nhor ne ntar, na onguar wɔ nsu mu, na n’ekyir no na ɔmbra nseraban no mu, na ɔsɔfo no ho nntsew araa kodu ewimbir.", ""
"NUM.19.8", "Na nyia ɔhyew no no nhor ne ntar wɔ nsu mu, na onguar no honam wɔ nsu mu, na no ho nntsew araa kodu ewimbir.", ""
"NUM.19.9", "Na ɔbanyin bi a no ho tsew nsesaw ɔnantwiber no nso no, na ɔmfa nkogu nseraban no ekyir beebi a ɔtsew, na wɔmfa nsie nyɛ Israelmba mboanofo ahoguar nsu: ɔyɛ bɔn ho afɔr.", ""
"NUM.19.10", "Na nyia ɔsesaw ɔnantwiber no nso no ɔnhor ne ntar, na no ho nntsew araa kodu ewimbir: na ɔnyɛ Israelmba no, nye ɔhɔho a ɔsoɛ hɔn mu no, daa ahyɛdze.", ""
"NUM.19.11", "Nyia ɔka nyimpa biara no fun no no ho nntsew araa nda esuon:", ""
"NUM.19.12", "ɔnoara na ɔmfa iyi nguar noho da a otsia ebiasa no, na da a otsia esuon no na no ho atsew: na sɛ oennguar noho da a otsia ebiasa no, nye da a otsia esuon no a, no ho renntsew.", ""
"NUM.19.13", "Obiara a ɔka nyimpa biara a oewu no fun no, na onnguar noho no, ogu EWURADZE ntamadan no ho fi; na ɔkra no wobotwa no efi Israel akyen: osiandɛ wɔammpetse ahoguar nsu no enngu no do ntsi no ho nntsew; n’ahoɔfi da ho wɔ no do.", ""
"NUM.19.14", "Sɛ nyimpa wu asese mu a no ho mbra nye yi: obiara a ɔba asese no mu, na obiara a ɔwɔ asese no mu no, no ho nntsew araa nda esuon.", ""
"NUM.19.15", "Na kɔɔpow biara a n’ano da hɔ a onnyi ebuado wɔ do no, no ho nntsew.", ""
"NUM.19.16", "Na obiara a ɔka obi a ɔatɔr nkrantsee ano, anaa fun bi, anaa nyimpa biew bi, anaa nda bi wɔ haban mu no, no ho nntsew araa nda esuon.", ""
"NUM.19.17", "Na nyia no ho nntsew no wɔmfa bɔn ho afɔr nhyewee no no nso no bi, na wɔmfa mbasu ngu do wɔ kɔɔpow mu mma no:", ""
"NUM.19.18", "na nyimpa a no ho tsew bi mfa odwonhataw, na ɔmfa mbɔ nsu no mu, na ɔmfa mpetse asese no, nye ndzɛmba no nyinara, nye nyimpa a wɔwɔ hɔ no, nye nyia ɔka biew, anaa ɔtɔfo, anaa fun, anaa nda bi no do:", ""
"NUM.19.19", "na nyimpa a no ho tsew no mfa mpetse nyia no ho nntsew no do da a otsia ebiasa no, nye da a otsia esuon no: na da a otsia esuon no onguar no; na ɔnhor ne ntar, na onguar wɔ nsu mu, na no ho ntsew ewimbir no.", ""
"NUM.19.20", "Na nyimpa a no ho nntsew, na oennguar noho no, ɔkra no wobotwa no efi bagua no mu, osiandɛ oegu EWURADZE krɔnkrɔn bea ho fi: wɔmmpetsee ahoguar nsu no wɔ no do; no ho nntsew.", ""
"NUM.19.21", "Na ɔnyɛ daa ahyɛdze mma hɔn: na nyia ɔpetse ahoguar nsu no nhor ne ntar; na nyia ɔka ahoguar nsu no no ho nntsew araa kodu ewimbir.", ""
"NUM.19.22", "Na adze biara a nyimpa a no ho nntsew no ka no, no ho nntsew; na ɔkra a ɔka no no ho nntsew araa kodu ewimbir.", ""
