"NUM.25.1", "Na Israel tsenaa Sittim, na ɔman no hyɛɛ ase nye Moab mbabaa no yɛɛ ehuhudze:", ""
"NUM.25.2", "na wohyiahyiaa ɔman no kɔr hɔn enyame okum afɔr ho; na ɔman no dzidzii, na wɔbɔɔ hɔn mu adze maa hɔn enyame no.", ""
"NUM.25.3", "Na Israel dze noho bɔɔ Baal-peor ho: na EWURADZE ebufuw dzɛɛw Israel do.", ""
"NUM.25.4", "Na EWURADZE see Moses dɛ, Fa ɔman no mu etsitsir nyinara, na sensɛn hɔn ma EWURADZE wɔ ewia do, ma EWURADZE ebufuhyew no ndan mfi Israel do.", ""
"NUM.25.5", "Na Moses see Israel atsɛmbuafo no dɛ, Hom mu obiara nkuku ne mbanyin a wɔdze hɔnho akɔbɔ Baal-peor ho no.", ""
"NUM.25.6", "Na, hwɛ, Israelmba no mu kor dze Midiannyi ɔbaa bi baa no nuanom no nkyɛn wɔ Moses n'enyim, nye Israelmba mboanofo no nyinara enyim, aber a worususu wɔ ehyiadzibuw no n'abowano.", ""
"NUM.25.7", "Na aber a ɔsɔfo Aaron ne babanyin Eleazar, ne babanyin Finehas, hunii no, ɔsoɛree fii mboanofo no mu, na ɔfaa nkambaa kitsaa ne nsamu;", ""
"NUM.25.8", "na odzii Israelnyi no ekyir kɔr pia no mu, na ɔdze wowɔɔ hɔn beenu nyina hwira hwiraa hɔn mu, Israelnyi no, nye ɔbaa no ohwiraa no fur mu. Nna ɔyardɔm no siankae fii Israelmba no do.", ""
"NUM.25.9", "Na hɔn a wowuwui wɔ ɔyardɔm no mu no wɔyɛ mpemeduonu anan.", ""
"NUM.25.10", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.25.11", "Ɔsɔfo Aaron ne babanyin Eleazar, ne babanyin Finehas, adan m'ebufuw efi Israelmba do, wɔ dɛ ɔatwe me nyinkuntwe no nyinkun wɔ hɔn mu, ma mannhyew Israelmba no wɔ me nyinkuntwe mu.", ""
"NUM.25.12", "Dɛm ntsi se dɛ, Hwɛ, medze m'asomdwee ahyɛmu mema no:", ""
"NUM.25.13", "ɔnyɛ ɔno, nye n'asefo a wobedzi n'ekyir no daa asɔfodzi ahyɛmu; osiandɛ ɔatwe ne Nyankopɔn ho nyinkun, na ɔapata ama Israelmba no.", ""
"NUM.25.14", "Na Israelnyi no a wokum no no, nyia wokum no kaa Midiannyi ɔbaa no ho no, ne dzin dze Zimri, Salu ne babanyin a, ɔyɛ Simeonfo egyanom ofi mu ɔbapɔmba.", ""
"NUM.25.15", "Na Midiannyi ɔbaa no a wokum no no, ne dzin dze Kozbi, Zur a ɔyɛ otsitsir wɔ Midian egyanom ofi bi mu nkorɔfo do no, ne babaa a.", ""
"NUM.25.16", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.25.17", "Hom nhiahia Midianfo no ho, na hom nku hɔn:", ""
"NUM.25.18", "osiandɛ hɔn so wɔdze hɔn ndaadaa a wɔdze tseetsee hom wɔ Peor ho asɛm no mu, nye hɔn akyerɛbaa Kozbi, Midian ɔsafohen no ne babaa no a wokum no wɔ ɔyardɔm da no mu wɔ Peor ho asɛm no mu no, ehiahia hom ho.", ""
