"NUM.26.1", "Na ɔbaa dɛ ɔhaw no ekyir no, EWURADZE kasaa kyerɛɛ Moses nye ɔsɔfo Aaron ne babanyin Eleazar dɛ,", ""
"NUM.26.2", "Hom nkan Israelmba mboanofo no nyinara, ofi hɔn a woedzi mfe eduonu do dze rokɔ no, dɛ mbrɛ hɔn egyanom efi tsetsee, hɔn a wotum ɔsa kɔ wɔ Israel nyinara.", ""
"NUM.26.3", "Na Moses nye ɔsɔfo Eleazar nye hɔn kasae wɔ Moab tɛtɛr mu wɔ Jeriko Jordan nkyɛn dɛ,", ""
"NUM.26.4", "Hom nkan ɔman no, ofi hɔn a woedzi mfe eduonu do dze rokɔ no; dɛ mbrɛ EWURADZE hyɛɛ Moses nye Israelmba a wofi Egypt asaase do bae no.", ""
"NUM.26.5", "Reuben, Israel n'abakan no: Reuben ne mbabanyin; Hanok dze, Hanokfo ebusua: Pallu dze, Pallufo ebusua:", ""
"NUM.26.6", "Hezron dze, Hezronfo ebusua: Karmi dze, Karmifo ebusua.", ""
"NUM.26.7", "Iyinom nye Reubenfo ebusua ebusua: na hɔn a wɔkaan hɔn wɔ mu wɔyɛ mpemeduanan ebiasa nye ahaesuon eduasa.", ""
"NUM.26.8", "Na Pallu ne ba; Eliab.", ""
"NUM.26.9", "Na Eliab ne mbabanyin; Nemuel, nye Datan, nye Abiram. Iyinom nye Datan, nye Abiram no a wɔfrɛɛ hɔn wɔ mboanofo no mu no a wɔhaam Moses nye Aaron ho wɔ Kora no kuw no mu, wɔ aber a wɔhaam EWURADZE ho:", ""
"NUM.26.10", "na asaase buee n'ano, na ɔmemeen hɔn dze kaa Kora ho, aber a kuw no wuwui no; wɔ aber a ogya memeen nyimpa ahaenu eduonum, dze yɛɛ asɛnkyerɛdze no.", ""
"NUM.26.11", "Naaso Kora ne mbabanyin no dze, woennwuwu.", ""
"NUM.26.12", "Simeon ne mbabanyin dɛ mbrɛ hɔn ebusua tsetsee: Nemuel dze, Nemuelfo ebusua: Jamin dze, Jaminfo ebusua: Jakin dze, Jakinfo ebusua:", ""
"NUM.26.13", "Zera dze, Zerafo ebusua: Saul dze, Saulfo ebusua.", ""
"NUM.26.14", "Iyinom nye Simeonfo ebusua, mpemeduonu ebien nye ahaenu.", ""
"NUM.26.15", "Gad ne mbabanyin dɛ mbrɛ hɔn ebusua tsetsee: Zefon dze, Zefonfo ebusua: Hagi dze, Hagifo ebusua: Suni dze, Sunifo ebusua:", ""
"NUM.26.16", "Ozni dze, Oznifo ebusua: Eri dze, Erifo ebusua:", ""
"NUM.26.17", "Arod dze, Arodfo ebusua: Areli dze, Arelifo ebusua.", ""
"NUM.26.18", "Iyinom nye Gad ne mbabanyin ebusua ebusua dɛ mbrɛ hɔn a wɔkaan hɔn wɔ mu tse, mpemeduanan nye ahaenum.", ""
"NUM.26.19", "Juda ne mbabanyin, Er nye Onan: na Er nye Onan wowui wɔ Keenan asaase do.", ""
"NUM.26.20", "Na Juda ne mbabanyin dɛ mbrɛ hɔn ebusua tsetsee nye yi; Sela dze, Selafo ebusua: Perez dze, Perezfo ebusua: Zera dze, Zerafo ebusua.", ""
"NUM.26.21", "Na Perez ne mbabanyin nye yi; Hezron dze, Hezronfo ebusua: Hamul dze, Hamulfo ebusua.", ""
"NUM.26.22", "Iyinom nye Juda ebusua ebusua dɛ mbrɛ hɔn a wɔkaan hɔn wɔ mu tse, mpemeduosuon esia nye ahaenum.", ""
