"NUM.31.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.31.2", "Dzi Midianfo wer ma Israelmba ho: na n'ekyir no akɛka wo nkorɔfo ho wɔ nsamankyir.", ""
"NUM.31.3", "Na Moses kasaa kyerɛɛ ɔman no dɛ, Hom mma hom mu mbanyin mmia mma ɔsa no, ama woeetu akɔ Midian do, na wɔmfa EWURADZE n'awerdzi nkɔ Midianfo do.", ""
"NUM.31.4", "Hom mma Israel ebusuakuw ebusuakuw nyinara mu, ebusuakuw biara mu nyimpa apem nkɔ ɔsa no.", ""
"NUM.31.5", "Nna woyiyii Israel mpempem mu mpemduebien a womiae maa ɔsa no, ebusuakuw biara mu apem.", ""
"NUM.31.6", "Na Moses somaa hɔn, ebusuakuw biara mu apem no, ma wɔkɔr ɔsa no, hɔn nye ɔsɔfo Eleazar ne babanyin Finehas ɔdze ahotseweebea ndzɛmba no na ewubɔ ntotorobɛnto no wɔ ne nsamu na wɔkɔr ɔsa no.", ""
"NUM.31.7", "Na wɔnye Midian kɔkoe dɛ mbrɛ EWURADZE hyɛɛ Moses no; na wokunkum mbanyin no nyinara.", ""
"NUM.31.8", "Na wokunkum Midian ahemfo no kaa hɔn atɔfo nkaa no ho. Evi, Rekem, Zur, Hur, nye Reba Midian ahemfo beenum no; na wɔdze nkrantsee kum Beor ne babanyin Balaam so.", ""
"NUM.31.9", "Na Israelmba no faa Midian mbaa no nye hɔn mbofraba no ndɔmmum; na wɔfoom hɔn ofiembowa nyinara, nye hɔn nguankuw nyinara, nye hɔn ahodze nyinara.", ""
"NUM.31.10", "Na wɔdze ogya hyehyeew hɔn nkurow nyinara wɔ mbeambea a wɔtsetsee no, nye hɔn nseraban nyinara.", ""
"NUM.31.11", "Na wɔfaa asadze no nyinara, nye afonam no nyinara, nyimpa nye abowa nyina.", ""
"NUM.31.12", "Na wɔdze ndɔmmum no, nye afonam no, nye asadze no, brɛɛ Moses, nye ɔsɔfo Eleazar, nye Israel mboanofo no; wɔ nseraban no mu wɔ Moab tɛtɛr a ɔda Jeriko Jordan ho no do.", ""
"NUM.31.13", "Na Moses, nye ɔsɔfo Eleazar, nye mboanofo no mu mbapɔmba no nyinara fiir edzi kehyiaa hɔn wɔ nseraban no ekyir.", ""
"NUM.31.14", "Na Moses no bo fuuw dɔm no hɔn asafohemfo no, apem apem do asafohemfo nye ɔha ɔha do asafohemfo a wofi asayɛ bae no.", ""
"NUM.31.15", "Na Moses see hɔn dɛ, Ana hom agye mbaa no nyinara nkwa?", ""
"NUM.31.16", "Hwɛ, iyinom, na ɔnam Balaam apam do, wɔmaa Israel yɛɛ bɔn tsiaa EWURADZE wɔ Peor asɛm no mu, na ɔmaa ɔyardɔm baa EWURADZE no mboanofo mu no.", ""
"NUM.31.17", "Afei dɛm ntsi hom nkuku mbofraba no mu mbanyin nyinara, na wonku ɔbaa biara a oehu ɔbanyin dɛ ɔnye no ada.", ""
"NUM.31.18", "Na mbaa mbofraba a wonnhun ɔbanyin dɛ wɔnye no ada no dze, hom ngye hɔn nkwa mma homho.", ""
"NUM.31.19", "Na hom nkyer nsera wɔ nseraban no ekyir nda esuon: obiara a oeku nyimpa bi no, nye obiara a ɔaka ɔtɔfo bi no, hom ntsew homho da a otsia ebiasa no, nye da a otsia esuon no, hom nye hom ndɔmmumfo no.", ""
"NUM.31.20", "Na atar biara dze, nye adze a wɔdze nwoma ayɛ nyinara, nye mpɔnkyenhwi edwuma nyinara, nye adze a wɔdze dua ayɛ nyinara, homara hom ntsew ho.", ""
"NUM.31.21", "Na ɔsɔfo Eleazar see mbanyin akofo a wɔkɔr akono no dɛ, Iyi nye mbra a EWURADZE dze ahyɛ Moses no mu ahyɛdze:", ""
"NUM.31.22", "naaso sika nye dwetɛ, boran, dadze, seenyaa, nye sumbui no,", ""
"NUM.31.23", "adze biara a obotum ogya no, hom mma ɔnkɛfa ogya mu, na no ho ntsew; naaso hom mfa ahoguar nsu no ntsew ho: na adze a onnkotum ogya no nyinara, hom mma ɔnkɛfa nsu mu.", ""
"NUM.31.24", "Na hom nhor hom ntar da a otsia esuon no, na hom ho ntsew, na n'ekyir no na hom mbra nseraban no mu.", ""
"NUM.31.25", "Na EWURADZE kasaa kyerɛɛ Moses dɛ mbu,", ""
"NUM.31.26", "Ɔwo nye ɔsɔfo Eleazar nye mboanofo no egyanom efi mu etsitsir no, afonam a wɔfae no ano, nyimpa nye mbowa nyina,", ""
"NUM.31.27", "na kyɛ afonam no mu akyɛkyɛ ebien; ma mbanyin akofo a wɔkɔr akono no, nye mboanofo no nyinara:", ""
"NUM.31.28", "na gye mbanyin asayɛfo a wɔkɔr akono no hɔ tow ma EWURADZE: nyimpa, nye anantwi, nye nsoasopɔnkɔ, nye nguankuw mu ahaenum mu nkorkor:", ""
"NUM.31.29", "gye no wɔ hɔn ɔfa no mu, na fa ma ɔsɔfo Eleazar, dɛ EWURADZE ɔmado afɔr.", ""
"NUM.31.30", "Na Israelmba ɔfa mu dze, gye nyimpa, anantwi, nsaso, nye nguankuw no, mekyerɛ ofiembowa nyinara mu eduonum eduonum mu nkorkor, na fa ma Levifo no a wɔhwɛ EWURADZE ntamadan ahwɛdodze do no.", ""
"NUM.31.31", "Na Moses nye ɔsɔfo Eleazar yɛɛ dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
