"NUM.35.1", "Na EWURADZE kasaa kyerɛɛ Moses wɔ Moab tɛtɛr mu wɔ Jeriko Jordan do dɛ,", ""
"NUM.35.2", "Hyɛ Israelmba no ma wɔmfa hɔn enyadze egyapadze no mu nkurow bi mma Levifo no ma wɔntsena mu; na nkurow no ho mfikyisaase no so hom mfa mma Levifo no.", ""
"NUM.35.3", "Na nkurow no na wɔntsena mu: na no ho mfikyisaase no ndeda ho mma hɔn fiembowa, nye hɔn ahodze, nye hɔn mbowa nyinara.", ""
"NUM.35.4", "Na nkurow no ho mfikyisaase a hom dze bɛma Levifo no, mfi kurow no fasu ekyir nkɔ basafa ahaenum ahaenum ntwa ho nhyia.", ""
"NUM.35.5", "Na hom nsusu kurow no ekyir boka afamu basafa apem, nye pomu afamu basafa apem, nye anee afamu basafa apem, nye kwaamu afamu basafa apem, na kurow no nda ne finimfin. Iyi na ɔnyɛ nkurow no ho mfikyisaase mma hɔn.", ""
"NUM.35.6", "Na nkurow no a hom dze bɛma Levifo no nyɛ guansumabew nkurow esia no a, hom dze bɛma dɛ onyimpakumfo nguan nkɔ hɔ no: na hom mfa nkurow eduanan ebien nka ho.", ""
"NUM.35.7", "Nkurow a hom dze bɛma Levifo no nyinara nyɛ nkurow eduanan awɔtwe: hom mfa nka ne mfikyisaase no ho mma hɔn.", ""
"NUM.35.8", "Na nkurow a hom bɛgye no wɔ Israelmba enyadze mu ama Levifo no ho dze, hɔn a hɔndze dɔɔ so no hɔ na hom ngye dza ɔdɔɔ so: na hɔn a hɔndze suar no hɔ na hom ngye dza osuar: obiara dɛ mbrɛ n’egyapadze a oenya no tse no na ɔmfa no nkurow no mu bi mma Levifo no.", ""
"NUM.35.9", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.35.10", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom twa Jordan kɔ Keenan asaase do a,", ""
"NUM.35.11", "ɔno hom nyiyi nkurow ma ɔnyɛ guansumabew nkurow mma hom; na onyimpakumfo a oku nyimpa bi wɔ ber a ɔannhyɛ da no oeeguan akɔ hɔ.", ""
"NUM.35.12", "Na nkurow no nyɛ hom guansumabew wɔ ɔwerdzinyi no nsamu; amma onyimpakumfo no eennwu, ma eekodu dɛ obegyina mboanofo no enyim ma woeebu no atsɛn ana.", ""
"NUM.35.13", "Na nkurow a hom beyi ama no nyɛ hom guansumabew nkurow esia.", ""
"NUM.35.14", "Hom nyi nkurow ebiasa mma wɔ Jordan egya, na nkurow ebiasa so na hom nyi mma wɔ Keenan asaase do; ɔnyɛ guansumabew nkurow.", ""
"NUM.35.15", "Na Israelmba, nye ɔhɔho, nye ɔkwantunyi a ɔwɔ hɔn mu, nye nkurow esia yi nyɛ hɔn guansumabew: na obiara a ne nsa apa no oeeguan akɔ hɔ.", ""
"NUM.35.16", "Na sɛ obi dze dadze bi bɔ obi, ma owu a, ɔyɛ onyimpakumfo; oku na wonku onyimpakumfo no.", ""
"NUM.35.17", "Na sɛ obi kitsa ɔbo a obotum eku nyimpa na ɔdze bɔ no, ma owu a, ɔyɛ onyimpakumfo: oku na wonku onyimpakumfo no.", ""
"NUM.35.18", "Anaa sɛ okitsa dua a obotum eku nyimpa dze bɔ no, ma owu a, ɔyɛ onyimpakumfo: oku na wonku onyimpakumfo no.", ""
"NUM.35.19", "Bɔgya ho ɔwerdzinyi no noara na onku onyimpakumfo no: sɛ ɔto no a, onku no.", ""
"NUM.35.20", "Na sɛ ɔtan do na osun no, anaa ɔboapa tow biribi dze bɔ no ma owu;", ""
"NUM.35.21", "anaa enyitan do na ɔdze ne nsa dze bɔ no ma owu a: oku na wonku nyia ɔbɔ no no; ɔyɛ onyimpakumfo: bɔgya ho ɔwerdzinyi no nku onyimpakumfo no, sɛ ɔto no a.", ""
"NUM.35.22", "Na sɛ osun no awerɛfir mu na nnyɛ enyitan do, anaa ɔtow adze biara ma ɔbɔ no na ɔannhyɛ da,", ""
"NUM.35.23", "anaa ɔdze ɔbo biara a obotum eku nyimpa, na oennhu no, na ɔtow bɔ no, ma owu, na nnyɛ ne tamfo nkyii so ɔmmpɛ no bɔn bi a:", ""
"NUM.35.24", "ɔno mboanofo no mbu nyia ɔbɔe nye no bɔgyaa ho ɔwerdzinyi no ntamu atsɛn dɛ mbrɛ ntsɛmbu yi tsetsee:", ""
"NUM.35.25", "na mboanofo no nyi onyimpakumfo no mfi bɔgya ho ɔwerdzinyi no nsamu, na mboanofo no mfa no nsan nkɔ no guansumabew kurow no mu, mbrɛ oguanee kɔree no: na ɔnkɛtsena hɔ ma onkodu ɔsɔfopanyin a wɔdze ngo krɔnkrɔn asera no no wu.", ""
"NUM.35.26", "Na sɛ onyimpakumfo no fir edzi aber biara tra no guansumabew kurow a oguanee kɔr hɔ no ne he do;", ""
"NUM.35.27", "na bɔgya ho ɔwerdzinyi no hu no wɔ no guansumabew kurow no ne he ekyir, na bɔgya ho ɔwerdzinyi no koku onyimpakumfo no a; onndzi bɔgya bi ho so:", ""
"NUM.35.28", "osiandɛ no guansumabew kurow no mu na ɔsɛ no dɛ nkyɛ ɔtsena kodu ɔsɔfopanyin no no wu do: na ɔsɔfopanyin no no wu ekyir no dze onyimpakumfo no nsan mbra n’enyadze asaase do bio.", ""
"NUM.35.29", "Na iyi nyɛ atsɛmbu ahyɛdze mma hom wɔ hom ebusuasantsen nyina mu wɔ hom tsenabew nyinara mu.", ""
"NUM.35.30", "Obiara a oku nyimpa biara no, adasefo enum na wɔmfa do nku onyimpakumfo no: na ɔdasefo kor dze mma onndzi dase nntsia nyimpa biara mma onnwu.", ""
"NUM.35.31", "Nkyii so mma hom nngye onyimpakumfo a ɔsɛ owu no nkwa tsir mpata biara: na oku ara na wonku no.", ""
"NUM.35.32", "Na mma hom nngye nyia oeguan kɔ no guansumabew kurow mu ne tsir mpata biara dɛ ɔnsan mbɛtsena asaase no do bio, nkodu ɔsɔfo no wu do.", ""
"NUM.35.33", "Dɛm ntsi mma hom nngu asaase no a hom tse do no ho fi: na bɔgya ara na ogu asaase no ho fi: na wɔrennyɛ mpatadze biara mma asaase no wɔ bɔgya a woehue egu do no ntsi, gyedɛ nyia ɔkaa bɔgya gui no ara no bɔgyaa mu.", ""
