"PHM.1.1", "Paul, Kraest Jesus daduanyi, nye onua Timoti dze kɛma Faelemɔn hɛn dɔfo nye hɛn nyɛnko dwumayɛnyi,", ""
"PHM.1.2", "nye hɛn akyerɛbaa Afiya, nye hɛn nyɛnko sordaanyi Aakipus, nye asɔr a ɔwɔ wo fie no:", "#Kol 4.17"
"PHM.1.3", "Adom nka hom nye asomdwee a ofir hɛn Egya Nyankopɔn nye Ewuradze Jesus Kraest hɔ.", ""
"PHM.1.4", "Mekaa wo wɔ me mpaabɔ mu a, meda me Nyankopɔn ase daa,", ""
"PHM.1.5", "osiandɛ metse wo dɔ a ewɔ wɔ ahotseweefo nyina ho, nye wo gyedzi wɔ Ewuradze Jesus Kraest mu no.", ""
"PHM.1.6", "Mobɔ mpaa dɛ ndzepa nyina a ɔnam Kraest do wɔ wo mu no ho nyimdzee bɛma wo gyedzi ayamuyie ndwuma no ada edzi yie.", ""
"PHM.1.7", "Mo nua, menya enyigye nye awerɛkyekyer kɛse wɔ wo dɔ ho, osiandɛ ahotseweefo akoma atɔ hɔn yamu wɔ ɔwo ntsi.", ""
"PHM.1.8", "Dɛm ntsi, kaansa meyɛ ndam pii wɔ Kraest mu dɛ mebɛhyɛ wo wɔ dza ɔsɛ ho a,", ""
"PHM.1.9", "ɔdɔ ntsi mokotow serɛ wo mbom, emi Paul a meyɛ akɔdaa, na afei meyɛ Jesus Kraest daduanyi so:", ""
"PHM.1.10", "mototɔ serɛ wo ma me ba a mawo no wɔ m'efiadze ndae mu,", "#Kol 4.9"
"PHM.1.11", "Onɛsimɔs (a nkan no nna no ho nnyi mfaso mma wo, na afei dze no ho wɔ mfaso ma emi nye ɔwo no).", ""
"PHM.1.12", "Ɔnoarankasa na masoma no wo hɔ bio, onyia a ɔtse dɛ mara m'akoma no a.", ""
"PHM.1.13", "Na nkyɛ mepɛ dɛ misianka no me nkyɛn, ama oeedzi w'ananmu asom me wɔ asɛmpa no n'efiadze ndae no mu:", ""
"PHM.1.14", "naaso mammpɛ dɛ migya wo ekyir yɛ biribiara, amma w'ayamuyie aannyɛ dɛ ofi nhyɛ mu, na mbom efi woara wo pɛ mu.", ""
"PHM.1.15", "Na bi a iyi ntsi na ɔnye wo dzii mpaamu kakra, ama eenya no daa,", ""
"PHM.1.16", "nnyɛ dɛ akowaa bio, mbom nyia ɔsen akowaa, onua dɔfo a oye ma me kɛse, na ankantam ɔwo, wɔ honam nye Ewuradze mu.", ""
"PHM.1.17", "Dɛm ntsi sɛ ibu me dɛ nyɛnko pa dze a, gye no dɛ mankasa.", ""
"PHM.1.18", "Na sɛ ɔayɛ wo bɔn biara, anaa ɔdze wo kaw bi a, fa yɛ mo nkontaa.", ""
"PHM.1.19", "Marankasa Paul na medze me nsa rekyerɛw dɛ emi mara mubotua. Na woara wo kaw a edze me a wankasa wo ho mpo ka ho no dze, menka ho hwee.", ""
"PHM.1.20", "Nyew, onua, ma minnya wo ho mfaso wɔ Ewuradze mu; na m'ahom nka mo ho wɔ Kraest mu.", ""
"PHM.1.21", "Ɔnam dɛ mowɔ awerɛhyɛmu wɔ wo setsie ho ntsi na merekyerɛw wo, minyim dɛ ebɛyɛ ma akyɛn dza mebisa yi mpo.", ""
"PHM.1.22", "Afei so, siesie dabew bi ma me, na mowɔ enyisun dɛ ɔnam hom mpaabɔ ntsi, wɔdze me bɛsan abrɛ hom.", ""
"PHM.1.23", "Epafras, me nyɛnko daduanyi wɔ Kraest Jesus mu no kyia wo,", "#Kol 1.7; 4.12"
"PHM.1.24", "Mark, Aristarkus, Demas, Luke, m'anyɛnkofo edwumayɛfo no kyiakyia wo.", "#Ndwu 12.12, 25; 13.13; 15.37-39; Kol 4.10; Ndwu 19.29; 27.2; Kol 4.10; Kol 4.14; 2 Tim 4.10; Kol 4.14; 2 Tim 4.11"
"PHM.1.25", "Ewuradze Jesus Kraest adom nka hom sunsum.", ""
