"PRO.10.1", "Solomon ne Mbɛbusɛm. Ɔba nyansafo ma n’egya n’enyi gye: Na ɔba kwasea dze, ɔhyɛ ne na n’awerɛhow.", ""
"PRO.10.2", "Emumuyɛ akoradze nnyɛ mfaso biara: Na ndzeyɛtsenenee dze, ɔgye nkwa fi owu mu.", ""
"PRO.10.3", "EWURADZE nnkɛma ɔkɔm adze ɔtseneneenyi ne kra: Mbom omumuyɛfo apɛdze dze, ɔbɔ petse.", ""
"PRO.10.4", "Nyia ɔyɛ adze akwadwer mu no obedzi hia. Na mbɔdzembɔfo nsa dze, ɔma ahonya.", ""
"PRO.10.5", "Nyia ɔboaboa ano ɔhyewber mu no ɔyɛ ɔba nyansafo: Na nyia ɔda twaber mu no dze, ɔyɛ ɔba a ɔdze enyimguase ba.", ""
"PRO.10.6", "Nhyira gu ɔtseneneenyi etsifi: Na akakabensɛm kata omumuyɛfo ano.", ""
"PRO.10.7", "Ɔtseneneenyi ho nkaa yɛ nhyira: Naaso omumuyɛfo ne dzin dze, ɔbɔprɔw.", ""
"PRO.10.8", "Akoma mu enyansafo bɛgye mbrasɛm: Na ɔkwasea a ɔkrɔw pii no dze, ɔbɔhwe ase.", ""
"PRO.10.9", "Nyia ɔnantsew tɔɔtsen no ɔnantsew sɔkyee: Na nyia ɔkyeakyea n’akwan no dze, wobohu no.", ""
"PRO.10.10", "Nyia obubu n’enyiwa no, oyi awerɛhow: Na ɔkwasea a ɔkrɔw pii no dze, ɔbɔhwe ase.", ""
"PRO.10.11", "Tseneneenyi ano yɛ nkwa nsunyiwa: Na akakabensɛm kata omumuyɛfo ano.", ""
"PRO.10.12", "Enyitan kenyan mansotwe: Na ɔdɔ dze, ɔkata mbrato nyinara do.", ""
"PRO.10.13", "Nyia ɔwɔ nhumu n’anomu na wohu nyansa: Na nyia onnyi ntseasee dze, n’ekyir fata abaa.", ""
"PRO.10.14", "Enyansafo boaboa nyimdzee ano: Na nkwasea ano dze, ɔdze ɔsɛɛ ba ntsɛm.", ""
"PRO.10.15", "Obirɛmpɔn n’ahonya nye no kurow a ɔyɛ dzen: Abɔbɔfo dze, hɔn sɛɛe nye hɔn hia.", ""
"PRO.10.16", "Ɔtseneneenyi ne berɛ ho akatua yɛ nkwa: Na omumuyɛfo no ndɔbaa dze, ɔdze kɔ bɔn pii mu.", ""
"PRO.10.17", "Nyia obu nkyerɛkyerɛ bi no, ɔwɔ nkwa kwan mu: Na nyia ɔpow nkaenyim dze, ɔfom kwan.", ""
"PRO.10.18", "Nyia ɔkata enyitan do no odzi ator; Na nyia ɔkasa sɛɛ obi dzin no, ɔyɛ ɔkwasea.", ""
"PRO.10.19", "Kasa dodow mu mmpa mbrato: Na nyia osianka n’ano dze, ɔyɛ onyansafo.", ""
"PRO.10.20", "Ɔtseneneenyi tɛkyerɛma tse dɛ dwetɛ a wɔasan mu eyi: Naaso emumuyɛfo akoma dze, ɔnnsɛ hwee.", ""
"PRO.10.21", "Ɔtseneneenyi n’ano nyɛn nyimpa pii: Na nkwasea dze, ntseasee a wonnyi ntsi wowu.", ""
"PRO.10.22", "EWURADZE ne nhyira ma ahonya, Na ɔmmfa awerɛhow biara mmbata ho.", ""
"PRO.10.23", "Emumuyɛ tse dɛ agodzi ma ɔkwasea. Naaso nyimpa a ɔwɔ ntseasee dze, nyansa yɛ no fɛw.", ""
"PRO.10.24", "Dza omumuyɛfo no suro no ara na ɔbɛba no do: Na ɔtseneneenyi dze, wɔbɛyɛ n’apɛdze ama no.", ""
"PRO.10.25", "Sɛ ekyinehyia mframa bɔ twa mu a, nna omumuyɛfo nnyi hɔ: Naaso ɔtseneneenyi dze, ɔyɛ ɔdomankoma fapem.", ""
"PRO.10.26", "Mbrɛ nsa yerɛyerɛw tse ma ese, na wusiw tse ma enyiwa no, Mbrɛ ɔkwadwefo tse ma hɔn a wɔsoma no ara nye no.", ""
"PRO.10.27", "EWURADZE ho suro ma nda tsentsen: Na emumuyɛfo hɔn mfe dze wobotwa do tsia.", ""
"PRO.10.28", "Atseneneefo enyidado bɛyɛ ahomka: Naaso emumuyɛfo enyidado dze, ɔbɛhera.", ""
"PRO.10.29", "EWURADZE no kwan yɛ akoban ma tɔɔtsenyɛfo; Na ɔyɛ ɔsɛɛ dze ma emumuyɛfo.", ""
"PRO.10.30", "Ɔtseneneenyi nnkefi n’ananmu dabiarada: Naaso emumuyɛfo dze, wɔnnkɛtsena asaase no do.", ""
"PRO.10.31", "Ɔtseneneenyi n’ano wo nyansa: Na tɛkyerɛma kɔntɔnkye dze, wobotwa akyen.", ""
"PRO.10.32", "Ɔtseneneenyi n’ano nyim adze a ɔsɔ enyi: Naaso omumuyɛfo ano dze, ɔka nkɔntɔnkyesɛm.", ""
