"PRO.30.1", "Jakɛ ne ba Agur, ne nsɛm; Nkɔnhyɛsɛm no. Ɔbarimba no ka kyerɛ Itiel, ɔka kyerɛ Itiel na Ukal:", ""
"PRO.30.2", "Ampaara dɛ mayɛ mbowadze asen nyimpa biara, Nna minnyi nyimpa ne ntseasee:", ""
"PRO.30.3", "Na munnsuaa nyansa, Eso minnyi Krɔnkrɔnnyi no ho nyimdzee.", ""
"PRO.30.4", "Woana na ɔafow akɔ ɔsor, na ɔasan esian? Woana na ɔaboaboa mframa ano ekitsa? Woana na ɔabɔ nsu boa wɔ n'atar ano? Woana na ɔdze asaase ano nyinara etsintsim hɔ? Ne dzin dze dɛn, na ne ba ne dzin dze dɛn, sɛ inyim a ka ɛ?", ""
"PRO.30.5", "Nyankopɔn n'asɛm biara wɔasɔ ahwɛ: Ɔyɛ kyɛm ma hɔn a wɔdze hɔn werɛ hyɛ no mu no.", ""
"PRO.30.6", "Mma mmfa biribi nnka ne nsɛm ho, Amma ɔaannka w'enyim, na woeennhu wo dɛ ɔtorfo.", ""
"PRO.30.7", "Ndzɛmba ebien na mebisa no wo hɔ; Mma mmfa nnkam me ansaana mewu.", ""
"PRO.30.8", "Yi egyangyandze na atorsɛm fi me nkyɛn koraa: Mma mma me ohia anaa ahonya; Edziban a mihia ara na fa nyɛn me.", ""
"PRO.30.9", "Amma maammee, na mammpa wo, na mannse dɛ, EWURADZE so nye woana? Anaa menndzi hia, na mennwiawia adze, Na menngu me Nyankopɔn ne dzin ho fi.", ""
"PRO.30.10", "Mma nnsɛɛ akowaa nnkyerɛ no wura, Ɔno ɔbɔdom wo, na woebu wo fɔ.", ""
"PRO.30.11", "Ebusuasantsen bi wɔ hɔ a wɔdom hɔn egya, Na wonnhyira hɔn na.", ""
"PRO.30.12", "Ebusuasantsen bi wɔ hɔ a hɔn ho tsew hɔnara hɔn enyiwa do, Naaso nna wɔnnhohor hɔnho mmfii hɔn efifidze ho.", ""
"PRO.30.13", "Ebusuasantsen bi wɔ hɔ, ao mbrɛ hɔn enyi dua tra hɔn ntɔn a! Na hɔn enyisoatsɛw amema do.", ""
"PRO.30.14", "Ebusuasantsen bi wɔ hɔ a hɔn se ayeyɛ dɛ nkrantsee na hɔn adadaw mu se ayeyɛ dɛ asekan, Dɛ wɔdze bɔwe abɔbɔfo efi asaase do, na ehiafo efi adasa mu.", ""
"PRO.30.15", "Esukun wɔ mbabaa beenu a wɔkeka mu dɛ, Fa ma me, fa ma me. Ndzɛmba ebiasa na wɔwɔ hɔ a wɔmmee ara da, Nyew, baanan na wɔnnse dɛ, Ayɛ yie:", ""
"PRO.30.16", "Adakamona; na yafun bɔnyin; Asaase a nsu mmee no; Na ogya a ɔnnse dɛ, Ayɛ yie", ""
"PRO.30.17", "Enyiwa a osi n'egya atwetwe, Na obu ne na hɔ setsie enyimtsia no, Bɔnsa mu akonkoran botutu, Na ɔkɔrmba bedzi.", ""
"PRO.30.18", "Ndzɛmba ebiasa na wɔwɔ hɔ a wɔyɛ me nwanwa dodow, Nyew, anan na minnyim:", ""
"PRO.30.19", "Ɔkɔr no kwan wɔ wimu; Abowatsena no kwan wɔ ɔbotan do; Nsuhɛn no kwan wɔ po mu; Na ɔbarimba no kwan wɔ akataasia ho.", ""
"PRO.30.20", "Mbrɛ ɔbaa awartofo no kwan tse ara nye no; Odzidzi, na ɔpepa n'ano, Na ɔka dɛ, Mommbɔɔ mbusu biara.", ""
"PRO.30.21", "Ndzɛmba ebiasa ntsi na asaase wosow, Nyew, anan ntsi, na onntum nnsoa.", ""
"PRO.30.22", "Akowaa a oebedzi hen ntsi; Na ɔkwasea a oedzidzi amee;", ""
"PRO.30.23", "Ɔbaa a onnyi ɔpɛfo na oenya kun; Na abaawa a odzi no wuraba adze.", ""
"PRO.30.24", "Ndzɛmba anan wɔ hɔ a wosusuar wɔ asaase do, Naaso wɔyɛ enyansafo ara mbordo:", ""
"PRO.30.25", "Mpataakowa yɛ kuw bi a hɔn ho nnyɛ dzen, Naaso wosiesie hɔn edziban wɔ ɔhyewber mu;", ""
"PRO.30.26", "Twambowa yɛ mbowa a wɔyɛ mberɛw, Naaso wɔyɛ hɔn adan wɔ abotan mu;", ""
"PRO.30.27", "Mbɛbɛw nnyi ɔhen, Naaso hɔn nyinara wɔnam ekuwekuw mu kɔ;", ""
"PRO.30.28", "Ɔketsew a wotum dze nsa suo no mu, Naaso ɔwɔ ahemfie.", ""
"PRO.30.29", "Ndzɛmba ebiasa na wɔwɔ hɔ a wɔkyea wɔ nantsew mu, Ampaara, baanan na hɔn kɔsu yɛ fɛw:", ""
"PRO.30.30", "Ogyata a ɔyɛ mbowa nyinara mu ɔkatakyi, Na ɔnndan mmfi obiara enyim no;", ""
"PRO.30.31", "Ɔsapɔnkɔ a n'asen emia; apɔnkyenyin so; Na ɔhen a obi nntsew no do etua.", ""
"PRO.30.32", "Sɛ ayɛ nkwaseadze na ama woho do, Anaa sɛ adwen ebusudze ho a, Ɔno fa wo nsa mua w'ano.", ""
"PRO.30.33", "Na numfonsu no bɔ na ɔma buter, Na hwen ne minkyimii na ɔma bɔgya: Dɛmara so na ebufuhyɛ ɔma aperper.", ""
