"PSA.5.1", "Ao EWURADZE, yɛ aso ma me nsɛm, Na dwen mo nkɔmbɔdzi ho.", ""
"PSA.5.2", "Tsie me nkekamu ndze, me Hen, na me Nyankopɔn: Na ɔwo na mobɔ wo mpaa.", "#Dwom 84.3"
"PSA.5.3", "EWURADZE, anapa na ebɛtse me ndze; Anapa na mebɛhyehyɛ me mpaabɔ ama wo, na mahwɛ kwan do.", ""
"PSA.5.4", "Na ɔwo nnyɛ Nyame a epɛ emumuyɛ; Mbusu rennye wo nntsena.", ""
"PSA.5.5", "Nkwasea rinngyina w'enyim: Ɔwo ikyir emumuyɛfo nyinara.", ""
"PSA.5.6", "Ɔwo bɛsɛɛ hɔn a wɔka atorsɛm: EWURADZE kyir bɔgyakafo na esisifo.", ""
"PSA.5.7", "Na emi dze, menam w'adɔyɛ dodow no do mebɛba wo fie: Wo ho suro mu na mobɔkotow asɔr akyerɛ w'asɔrfi krɔnkrɔn no do.", "#Dwom 26.8"
"PSA.5.8", "EWURADZE, gya me kwan wɔ wo tsenenee mu, wɔ m'atamfo ntsi: Ma wo kwan nyɛ tɔɔtsen wɔ m'enyim.", ""
"PSA.5.9", "Na nokwardzi bi nnyi hɔn anomu; Hɔn yamu wɔ emumuyɛ; Hɔn meneba yɛ asamandan a ebue; Wɔdze hɔn gyirama dzɛfɛdzɛfɛw.", "#Rom 3.13"
"PSA.5.10", "Nyankopɔn, bu hɔn fɔ, Ma womfi hɔnankasa hɔn egyinatu ho nhwe ase: Sunsun hɔn gu wɔ hɔn mbrato dodow ntsi: Na wɔatsew wo do etua.", ""
"PSA.5.11", "Na ma hɔn a wɔdze hɔn werɛ hyɛ wo mu nyinara ndzi ehurusi; Ma wɔmbɔ ose daa wɔ enyigye ntsi. Tserɛw wo bambɔ no wɔ hɔn do. Ama hɔn a wɔdɔ wo dzin so enyi agye wɔ wo mu.", "#Dwom 40.16"
"PSA.5.12", "Na ɔwo na ibehyira ɔtseneneenyi: EWURADZE, ɔwo na edze enyimnyam dɛ kyɛm botwa no ho ehyia.", "#Dwom 103.4"
