"PSA.7.1", "Ao, M'EWURADZE Nyankopɔn, ɔwo na muguan modɔ wo: Gye me fi hɔn a wotsiw me nyinara nsamu na yi me:", "#1 Sam 24.10; 26.19; 2 Sam 16.5-11"
"PSA.7.2", "Bɛyɛ na wɔaatsetsew me kra mu dɛ gyata, Esunsuan no esinesin, ber a obi nnyi hɔ a obeyi me.", "#Dwom 10.8-9"
"PSA.7.3", "M'EWURADZE, Nyankopɔn, sɛ mafom; Sɛ emumuyɛdze bi wɔ me nsamu;", "#Job 31.7-34"
"PSA.7.4", "Sɛ medze bɔn bi ayɛ nyia ɔnye me tse asomdwee mu a: Na medzi nyia ɔhaw me no mpo emim gyan ara a:", ""
"PSA.7.5", "Ma ɔtamfo no ntsiw me kra, na ɔnkyer no; Nyew, ma ontsiatsia mo nkwa do wɔ famu; Na ɔmfa m'enyimnyam nto huntuma mu.", ""
"PSA.7.6", "EWURADZE, soɛr wɔ w'ebufuw mu, Ma woho do tsia m'atamfo hɔn gyigyeegye yɛ: Na keka wo ho ma me; na ɔwo na ibu atsɛn.", ""
"PSA.7.7", "Na ma aman mboanofo ntwa wo ho nhyia: Na fa hɔn do san kɔ sor.", ""
"PSA.7.8", "EWURADZE bobu aman atsɛn: EWURADZE, bu me atsɛn dɛ mbrɛ me tsenenee tse, na mbrɛ bemdzi a ɔwɔ mo mu tse.", "#Dwom 18.20-26"
"PSA.7.9", "Ao, ma emumuyɛfo hɔn emumuyɛ mbɔ adze, na ma ɔtseneneenyi ntsim: Na ɔwo nye tsenenee Nyankopɔn a ihu akoma na adwen mu.", "#Dwom 104.35; Jer 11.20; 17.10; Nyi 2.23"
"PSA.7.10", "Me kyɛm wɔ Nyankopɔn nsamu, Ɔno na ɔgye akoma mu tseneneenyi nkwa.", "#Dwom 3.3"
"PSA.7.11", "Nyankopɔn yɛ ɔtsɛmbuafo tsenenee, Nyew, Nyankopɔn a ɔda n'ebufuw edzi da biara.", "#Dwom 9.4"
"PSA.7.12", "Sɛ nyimpa bi ennya nnuho a, Nyankopɔn bɛsew n'afona: Ɔakontom n'egyen, na oewie no siesie.", "#Deut 32.41; Kwa 2.4; 3.12"
"PSA.7.13", "Oesiesie owu adze so ama dɛm nyimpa no; Ɔyɛ n'egyen menaba ano ma ɔhye.", ""
"PSA.7.14", "Omumuyɛnyi no nyinsen emumuyɛ; Nyew, oenyinsen ewurkadze, na ɔwo atorsɛm.", ""
"PSA.7.15", "Otu mona, na ofun mu, Naaso ɔtɔ mona a noara tui no mu.", "#Mbɛ 26.27"
"PSA.7.16", "N'ewurkadze bɛsan ebua nankasa n'etsifi, Na n'emim edwir nankasa n'apampamu.", ""
"PSA.7.17", "Mebɛda EWURADZE ase dɛ mbrɛ ne tsenenee tse: Na matow ayɛyindwom ama Ɔsorsor EWURADZE ne dzin.", ""
