"PSA.19.1", "Ɔsor da Nyankopɔn n'enyimnyam edzi; Na wimu kyerɛ ne nsaano edwuma.", "#Rom 1.20"
"PSA.19.2", "Da kor biara hue asɛm kyerɛ, Na anadwe biara so kyerɛ nyimdzee.", ""
"PSA.19.3", "Ɔnnyɛ asɛm eso ɔnnyɛ nkasafua; Wɔnntse hɔn ndze.", ""
"PSA.19.4", "Naaso hɔn ndze ekodu asaase nyinara do. Na hɔn nsɛm edu wiadze n'ewiei. Hɔn mu na oesi ntamadan ama ewia,", "#Rom 10.18"
"PSA.19.5", "Ɔno a ofir edzi dɛ ayeforkun a ofi ne pia mu, Tse dɛ ɔhoɔdzenfo a otu enguan no, Ɔdze ahosɛpɛw guan fa no kwan do.", ""
"PSA.19.6", "N'edzifir wɔ ɔsor ano no ho, Na n'aprɔwbɔ kodu n'ase: Na hweeara nnyi hɔ a ohuntsa fi ne hyew ano.", "#Dwom 104.19"
"PSA.19.7", "EWURADZE n'akwankyerɛ dzi mu, ɔdwedwe ɔkra: EWURADZE ne nkyerɛkyerɛ tsen, ɔyɛ okotobonyi onyansafo.", "#Dwom 119.50; 130"
"PSA.19.8", "EWURADZE ahyɛdze tsen, ɔma akoma tɔ yamu: EWURADZE ne mbrasɛm ho tsew, ɔma enyibuei.", "#Dwom 12.6; 18.30; 119.105"
"PSA.19.9", "EWURADZE ho enyidzi yɛ wansawansa, ɔwɔ hɔ daa: EWURADZE ne n'atsɛmbu yɛ nokwar, na ɔtsen koraa.", ""
"PSA.19.10", "Ɔyɛ akɔndɔ sen sika, nyew, ɔsen sika mapa pii: Ɔyɛ fenemfenem so sen ewo na wokyɛm nsosɔe.", "#Dwom 119.72"
"PSA.19.11", "Nkyii so wɔnam hɔn do bɔ w'akowaa nkaa: Na hɔn ndzido mu wɔ akatua kɛse.", ""
"PSA.19.12", "Woana na otum hu no mfom mu? Ɔwoara san mo ho fi bɔn a ohuntsa no mu.", "#Job 9.3; Dwom 130.3"
"PSA.19.13", "Twe w'akoma ekyir so fi enyidaho bɔn ho; Mma mma wonndzi mo do tum: ɔno na mibedzi mu, Na mo ho bɛsan efi emumuyɛ kɛse ho.", "#Dwom 18.23"
"PSA.19.14", "Ma m'anomu nsɛm na m'akoma mu adwendwen nyɛ enyisɔ wɔ w'enyi do, Ao EWURADZE, mo botan, na mo pomfo.", ""
