"PSA.31.1", "EWURADZE, wo mu na medze mo werɛ hyɛ; mma mma m’enyim nngu ase dabiarada: Gye me wɔ wo tsenenee mu.", ""
"PSA.31.2", "Brɛ w’aso adze ma me; gye me ntsɛmara: Yɛ ɔbotantsim ma me, na mo guansumabew dɛ ebɛgye me.", "#Dwom 18.2"
"PSA.31.3", "Na ɔwo nye mo botan na m’akoban; Dɛm ntsi, kyerɛ me kwan na kegya me, osian wo dzin ntsi.", "#Dwom 23.3"
"PSA.31.4", "Yi me fi efir a woesua no nsumaa mu no mu; Na ɔwo nye m’akoban.", "#Dwom 25.15"
"PSA.31.5", "Wo nsamu na medze mo sunsum hyɛ: EWURADZE, ɔwo nokwar Nyankopɔn no, ɔwo na agye me,", "#Luk 23.46"
"PSA.31.6", "Mikyir hɔn a wodzi ator egyangyandze ekyir: Na emi dze, motwer EWURADZE.", ""
"PSA.31.7", "M’enyi bɛgye na medzi ehurusi wɔ wo mbɔbɔrhu mu, Na ɔwo ahwɛ m’ahohia; Ɔwo ehu me kra wɔ amandzehu mu:", ""
"PSA.31.8", "Na ɔwo annka me annhyɛ ɔtamfo no nsamu: Ɔwo edze m’anan esi mbrɛ hɔ tserɛw.", "#Dwom 18.36"
"PSA.31.9", "EWURADZE, hu me mbɔbɔr, na mowɔ ahokyer mu: Awerɛhow ntsi m’enyiwa resɛɛ, nyew, me kra na me nyimpadua so.", "#Dwom 6.7"
"PSA.31.10", "Na mo nkwa rohwer wɔ yaw mu, me mfe so wɔ apensi mu: M’ahoɔdzen apa wɔ m’emumuyɛ ntsi, na me mbiew afomfɔn wɔ m’atamfo ntsi.", ""
"PSA.31.11", "M’atamfo nyinara ntsi mayɛ ɔsesɛba, Nyew, mo sɔnmufo so moho afon hɔn, na mo ho ayɛ hu ama m’amanyimfo. Hɔn a wohu me guado no guan me.", "#Dwom 69.10-12"
"PSA.31.12", "Nkorɔfo werɛ efir me dɛ owufo efi adwen mu: Metse dɛ senaba bobɔe.", ""
"PSA.31.13", "Na matse dodowara hɔn huhuhuhu, Ihu etwa mo ho ehyia: Ber a wɔrokɔ me tsir do apam no, Wɔhyehyɛɛ dɛ wobeyi mo nkwa efi hɔ.", "#Jer 20.10; 46.5"
"PSA.31.14", "Naaso emi dze, ɔwo EWURADZE, na medze mo werɛ hyɛ wo mu: Mese dɛ, Ɔwo nye me Nyankopɔn.", ""
"PSA.31.15", "Me mber wɔ wo nsamu: Gye me fi m’atamfo nsamu, na hɔn a wohiahia mo ho no.", "#Dwom 139.16"
"PSA.31.16", "Tsew w’enyim kyerɛ w’akowaa: Gye me nkwa wɔ w’adɔyɛ mu.", "#Nka 6.25; Dwom 80.3"
"PSA.31.17", "EWURADZE, mma mma m’enyim nngu ase, na mesu afrɛ wo: Ma ndzebɔnyɛfo enyi nto, na wɔnyɛ foo wɔ Samanadze.", ""
"PSA.31.18", "Ma atorfo ano ntɔ mmum; Hɔn a wɔdze ntsɛn na enyiammbɔho keka nsɛm, Nsɛm a ɔyɛ dzen tsia tseneneenyi no a.", ""
"PSA.31.19", "Ao, mbrɛ wo papayɛ a edze esie ama hɔn a wosuro wo no dua dɔɔ so a! Dza ɔwo ayɛ ama hɔn a woguan toa wo wɔ nyimpa mba enyim no a.", ""
"PSA.31.20", "W’enyim ehuntsae mu na edze hɔn bohuntsa efi nyimpa tsirdo apam mu: Ɔwo na edze hɔn huntsa nsumaa mu wɔ w’asesee mu fi gyirama ntokwadzi ho.", "#Dwom 27.5"
"PSA.31.21", "Nhyira nka EWURADZE, Osiandɛ ɔakyerɛ me n’adɔyɛ nwanwa no, wɔ kurow a ahohia wɔ hɔ mu.", "#Dwom 17.7"
"PSA.31.22", "Na emi dze, me ntsɛmpɛ mu, mesee dɛ, Woetwa me efi w’enyi do: Naaso aber a musui mefrɛɛ wo no, ɔwo itsiee mo nkotoserɛ ndze no.", "#Dwom 116.11"
"PSA.31.23", "Hom ndɔ EWURADZE, hom n’ahotseweefo nyinara: EWURADZE kora nokwardzifo no do, Na otua nyia ɔyɛ ntsɛn no kaw berdzedzeedze.", ""
"PSA.31.24", "Hom nhyɛ dzen, na hom nya akokodur, Hom a hom enyi da EWURADZE do nyinara.", "#Dwom 27.14"
