"PSA.40.1", "Abotar mu na motweɔɔn EWURADZE; Na ɔbrɛɛ n’aso adze maa me, na otsiee mo sufrɛ.", ""
"PSA.40.2", "Na oyii mo so fii ɔsɛɛ mona no mu, fii adɛtsebir atɛkyɛ no mu; Na ɔdze m’anan sii ɔbotan do, na ɔmaa m’anamɔn tsintsimii.", ""
"PSA.40.3", "Na ɔdze ndwom fofor bi ahyɛ m’anomu, mekyerɛ hɛn Nyankopɔn ayɛyindwom: Dodowara bohu na woesuro, Na wɔatwer EWURADZE.", ""
"PSA.40.4", "Osiarfo nye nyimpa a ɔdze EWURADZE ayɛ n’awerɛhyɛmu, Na ommbu ahopɔwfo bi, anaa hɔn a wɔman kedzi ator.", ""
"PSA.40.5", "EWURADZE, me Nyankopɔn, w’anwanwa ndwuma a ayɛ dɔɔ so, Na w’adwen a ɔwɔ hɛn do: Worunntum nnhyehyɛ no akyerɛpɛn wɔ w’enyim; Sɛ mereka na makasa ho a, Wɔdɔɔ so sen dɛ wobotum kan.", ""
"PSA.40.6", "Afɔrbɔ na ayɛyɛdze ɔwo nnyi enyigye wɔ mu; Hyew afɔr na bɔn ho afɔr ɔwo emmbisa: Ɔwo na akyerɛ me setsie.", ""
"PSA.40.7", "Nna mesee dɛ, Hwɛ maba: Nwoma mbobɔwee no mu na wɔakyerɛw wo mbra no wɔ:", ""
"PSA.40.8", "Me Nyankopɔn, mepɛ dɛ meyɛ wo pɛ, Nyew, wo mbra wɔ m’akoma mu.", ""
"PSA.40.9", "Maka tsenenee ho asɛmpa wɔ mboanofo kɛse no mu; Hwɛ, merennka m’ano nnto mu, EWURADZE, ɔwoara inyim.", ""
"PSA.40.10", "Medze wo tsenenee siee m’akoma mu; Maka wo nokwardzi na wo nkwagye akyerɛ: Memmfaa w’adɔyɛ na wo nokwar nnsumaa mboanofo kɛse no.", ""
"PSA.40.11", "EWURADZE, mma nnkam me w’ayamuhyehye: Ma w’adɔyɛ na wo nokwar nkora mo do daa.", ""
"PSA.40.12", "Mbusu a wonnyim ano etwa mo ho ehyia, M’emumuyɛ ato me, ma munntum mma m’enyi do; Ɔdɔɔ so sen me tsir do nhwi, na m’akoma apa me.", ""
"PSA.40.13", "Ao EWURADZE, ma ɔnyɛ wo fɛw dɛ ebɛgye me: Ao EWURADZE, yɛ ntsɛm bɔboa me.", ""
"PSA.40.14", "Ma hɔn a wɔhwehwɛ me kra asɛɛ no no, Hɔn enyi nto na hɔn enyim ngu ase prɛko: Ma hɔn a wɔpɛ me bɔn no Nsan hɔn ekyir na wɔndan adapaafo.", ""
"PSA.40.15", "Ma hɔn a wɔse me dɛ, Yɛɛ, yɛɛ, no Hɔn ho ndwuruw hɔn dɛ hɔn enyito ho akatua.", ""
"PSA.40.16", "Ma hɔn a wɔhwehwɛ wo nyinara ndzi ehurusi na hɔn enyi ngye wo mu: Ma hɔn a wɔdɔ wo nkwagye nse daa dɛ, Wɔntonton EWURADZE.", ""
"PSA.40.17", "Na emi dze meyɛ ɔbɔbɔfo na ohianyi; Naaso EWURADZE dwen mo ho: Ɔwo nye mo boafo na me gyefo; Ao Me Nyankopɔn, mma nnkyinkyim.", ""
