"PSA.41.1", "Osiarfo nye nyia ɔdwen ɔbɔbɔfo do: EWURADZE bɛgye no mbusu da no mu.", ""
"PSA.41.2", "EWURADZE bɔkora no do, na ɔama no nkwa, na wobehyira no wɔ asaase do; Na ɔwo irinnyi no nnhyɛ n'atamfo hɔn pɛ nsa.", ""
"PSA.41.3", "EWURADZE bɔwowaw no wɔ yar mpa do: Ne mpa nyinara ɔwo na esɛw wɔ ne yarba mu.", ""
"PSA.41.4", "Mesee dɛ, EWURADZE, hu me mbɔbɔr: Sa me yarba; na mayɛ bɔn etsia wo.", ""
"PSA.41.5", "M'atamfo ka mo ho nsɛmbɔn, dɛ, Aber bɛn na obowu ma ne dzin ayew?", ""
"PSA.41.6", "Na sɛ obi ba bɔhwɛ me a, ɔka atorsɛm; N'akoma tase emumuyɛ ma nankasa noho: Sɛ opue kɔ gua do a, nna ɔkɔbɔ no dawur.", ""
"PSA.41.7", "Hɔn a wɔtan me no nyinara wɔyɛ huhuhuhu tsia me: Wosusu mo ho bɔn.", ""
"PSA.41.8", "Wɔse dɛ, Mbusu yarba bi ekitsa no: Na afei ɔda hɔ yi ɔronnsoɛr bio.", ""
"PSA.41.9", "Nyew, mankasa me nyɛnko berɛbo mpo a mo werɛ wɔ no mu no a odzi m'edziban bi no, Ɔama n'anantsir do etsia me.", ""
"PSA.41.10", "Na ɔwo, EWURADZE, hu me mbɔbɔr, na ma me do, Ma muntua hɔn ho kaw.", ""
"PSA.41.11", "Iyi na medze bohu dɛ ɔwo epɛ m'asɛm, Osiandɛ me tamfo rinndzi mo do konyim.", ""
"PSA.41.12", "Na emi dze, ɔwo na isuo mo mu gyina m'emudzi mu, Na edze me si w'enyim daa nyina.", ""
"PSA.41.13", "Nhyira nka EWURADZE, Israel Nyankopɔn, Ofi tsetse na ɔdze kesi daa. Amen, na Amen.", ""
